"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","60.71%","16:38","51.92%","475:23","205.09‱"
"2","Evolve","9.25%","04:39","6.56%","07:10","38.63‱"
"3","Team Fortress 2","7.79%","08:56","37.19%","78:14","146.21‱"
"4","Unturned","6.14%","07:27","25.47%","23:24","118.09‱"
"5","Garry's Mod","5.07%","06:06","11.84%","58:52","49.35‱"
"6","Dota 2","4.63%","18:24","21.47%","185:11","84.42‱"
"7","Euro Truck Simulator 2","4.43%","06:36","7.91%","81:06","32.28‱"
"8","Counter-Strike","3.44%","07:52","19.48%","522:59","81.16‱"
"9","The Elder Scrolls V: Skyrim","2.87%","06:43","9.71%","98:55","39.39‱"
"10","Terraria","2.75%","09:38","6.45%","70:09","26.09‱"
"11","Rocket League","2.72%","07:52","3.07%","52:58","12.28‱"
"12","Rust","2.52%","12:18","3.16%","76:19","12.75‱"
"13","Hurtworld","2.33%","19:58","1.98%","109:32","8.17‱"
"14","PAYDAY 2","2.23%","07:02","6.94%","51:50","28.51‱"
"15","Life Is Strange","2.2%","01:48","2.01%","05:37","15.25‱"
"16","The Forest","2%","06:47","3.13%","27:34","12.66‱"
"17","Warframe","1.9%","10:44","7.9%","56:32","46.34‱"
"18","Sid Meier's Civilization V","1.73%","11:28","6.45%","86:07","26.94‱"
"19","Grand Theft Auto V","1.73%","07:39","2.06%","106:51","8.22‱"
"20","Mount & Blade: Warband","1.61%","05:37","4.14%","97:12","16.82‱"
"21","Left 4 Dead 2","1.58%","03:39","14.65%","28:20","63.15‱"
"22","Robocraft","1.56%","04:49","11.45%","17:10","57.27‱"
"23","Trove","1.56%","07:02","9.54%","19:08","46.25‱"
"24","SMITE","1.51%","08:14","4.77%","31:56","25.63‱"
"25","War Thunder","1.39%","05:55","7.38%","44:56","44.05‱"
"26","BLOCKADE 3D","1.36%","05:53","9.61%","12:26","46.25‱"
"27","Moirai","1.21%","00:13","0.53%","00:13","2.67‱"
"28","AdVenture Capitalist","1.21%","04:13","6.67%","28:14","33.46‱"
"29","H1Z1: King of the Kill","1.19%","05:05","1.76%","26:00","9.49‱"
"30","Warface","1.19%","04:24","7.62%","10:30","43.16‱"
"31","Brawlhalla","1.19%","02:26","3.27%","07:08","14.66‱"
"32","Don't Starve Together Beta","1.16%","03:52","4.35%","24:00","21.43‱"
"33","Clicker Heroes","1.06%","09:07","6.16%","66:41","31.98‱"
"34","Heroes & Generals","1.04%","03:12","8.93%","10:06","46.93‱"
"35","ARK: Survival Evolved","0.94%","11:24","1.55%","98:47","6.4‱"
"36","Ghost in the Shell: Stand Alone Complex - First Assault Online","0.94%","02:43","0.58%","03:55","3.56‱"
"37","Arma 3","0.89%","13:37","1.75%","136:20","6.9‱"
"38","Shakes and Fidget","0.89%","13:52","3.05%","32:42","14.1‱"
"39","Borderlands 2","0.79%","08:13","4.34%","53:24","18.55‱"
"40","Riders of Icarus","0.77%","05:35","0.79%","07:17","7.88‱"
"41","American Truck Simulator","0.77%","03:42","0.95%","29:11","3.73‱"
"42","Saints Row: The Third","0.77%","04:14","5.18%","31:34","23.25‱"
"43","Fallout 4","0.72%","05:48","1.56%","76:11","6.23‱"
"44","Starbound","0.69%","12:33","0.82%","40:22","3.3‱"
"45","Pro Evolution Soccer 2016 myClub","0.67%","05:55","2.55%","11:31","15.16‱"
"46","Path of Exile","0.67%","10:55","5.83%","34:33","32.57‱"
"47","Counter-Strike: Source","0.64%","04:40","6.47%","244:27","30.92‱"
"48","S.K.I.L.L. - Special Force 2","0.64%","02:37","4.52%","11:52","24.02‱"
"49","Hero Zero","0.64%","08:32","0.48%","11:24","2.54‱"
