"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","58.35%","16:49","53.75%","560:00","187.95‱"
"2","Euro Truck Simulator 2","5.89%","08:02","9.02%","90:12","32.16‱"
"3","Team Fortress 2","5.84%","06:22","37.13%","82:58","129.22‱"
"4","Unturned","5.47%","05:58","28.21%","28:28","114.99‱"
"5","Paladins","5.1%","04:22","15.29%","18:16","59.89‱"
"6","PAYDAY 2: Ultimate Edition","4.9%","05:38","16.66%","35:23","82.32‱"
"7","H1Z1: King of the Kill","4.01%","10:19","5.51%","64:20","20.36‱"
"8","Garry's Mod","3.9%","08:03","12.54%","83:59","45.58‱"
"9","PLAYERUNKNOWN'S BATTLEGROUNDS","3.47%","17:08","1.85%","69:12","6.49‱"
"10","Dota 2","3.47%","14:48","20.85%","200:55","72.56‱"
"11","Rocket League","3.33%","06:48","4.48%","81:30","15.94‱"
"12","Grand Theft Auto V","2.42%","09:30","3.11%","136:34","10.88‱"
"13","Terraria","2.28%","09:04","6.37%","71:10","22.35‱"
"14","Warframe","2.19%","21:01","8.51%","64:17","42.91‱"
"15","The Elder Scrolls V: Skyrim","2.08%","06:48","9.06%","121:46","33.03‱"
"16","Zula Europe","2.02%","03:39","2.21%","09:10","9.24‱"
"17","Warface: Ice Breaker","1.85%","10:09","8.49%","17:30","42.91‱"
"18","Left 4 Dead 2","1.79%","02:04","14.13%","30:25","54.11‱"
"19","Shadow Warrior","1.62%","03:17","1.28%","05:07","13.99‱"
"20","Rust","1.59%","06:46","5.13%","93:52","18.73‱"
"21","Counter-Strike","1.48%","10:06","17.06%","517:14","63.59‱"
"22","War Thunder","1.39%","09:04","8.31%","32:22","43.43‱"
"23","Jotun: Valhalla Edition","1.37%","01:37","0.73%","02:15","9.52‱"
"24","Mount & Blade: Warband","1.31%","06:33","4.21%","94:07","15.1‱"
"25","Europa Universalis IV","1.25%","10:07","1.91%","256:28","6.77‱"
"26","Tom Clancy's Rainbow Six Siege","1.22%","08:11","1%","125:12","3.55‱"
"27","Gigantic","1.22%","02:01","0.49%","02:01","2.43‱"
"28","Heroes & Generals","1.14%","04:31","11.7%","11:07","52.95‱"
"29","Middle-earth: Shadow of Mordor","1.11%","05:08","3.03%","22:55","13.19‱"
"30","Sid Meier's Civilization V","1.11%","09:20","6.27%","119:56","23.11‱"
"31","The Forest","1.05%","04:26","3.58%","32:37","12.87‱"
"32","Arma 3","1.05%","30:06","2.24%","216:14","7.85‱"
"33","BLOCKADE 3D","1%","03:53","10.81%","11:37","44.79‱"
"34","Fallout 4","1%","12:45","2.24%","97:40","8.01‱"
"35","Path of Exile","0.94%","08:43","7.76%","40:15","36.82‱"
"36","Don't Starve Together","0.94%","04:30","4.77%","26:28","18.97‱"
"37","Trove","0.91%","05:18","10.11%","17:32","42.75‱"
"38","Hurtworld","0.91%","17:45","1.76%","192:09","6.53‱"
"39","ARK: Survival Evolved","0.91%","13:54","2.26%","120:14","8.17‱"
"40","Argo","0.88%","01:03","1.36%","01:44","8.61‱"
"41","SMITE","0.88%","15:52","5.5%","33:07","25.66‱"
"42","7 Days to Die","0.85%","14:45","1.31%","75:47","4.62‱"
"43","Darkest Dungeon","0.85%","08:48","1.17%","34:41","4.14‱"
"44","Brawlhalla","0.83%","03:05","5.19%","09:54","19.84‱"
"45","Metin2","0.83%","01:33","2.35%","07:44","10.56‱"
"46","The Binding of Isaac: Rebirth","0.83%","03:10","1.67%","111:46","5.82‱"
"47","The Witcher 3: Wild Hunt","0.8%","15:48","1.48%","99:41","5.42‱"
"48","Killing Floor","0.77%","03:02","3.01%","33:24","17.09‱"
"49","Robocraft","0.74%","02:34","12.22%","19:01","52‱"
"50","Borderlands 2","0.74%","04:59","4.16%","51:43","16.3‱"
