"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","61.27%","14:25","52.27%","471:10","206.64‱"
"2","Team Fortress 2","5.75%","07:52","36.33%","77:46","143.04‱"
"3","Unturned","5.42%","04:56","25.97%","22:21","121.09‱"
"4","Euro Truck Simulator 2","4.23%","05:27","7.71%","86:09","31.05‱"
"5","Dota 2","4.04%","16:13","20.98%","176:28","82.61‱"
"6","Rocket League","3.97%","08:01","3.42%","53:40","13.79‱"
"7","Garry's Mod","3.38%","06:13","10.69%","55:37","44.29‱"
"8","Counter-Strike","2.78%","06:50","18.74%","538:32","78.75‱"
"9","Rust","2.42%","19:43","4.4%","88:20","17.89‱"
"10","Paladins","2.39%","02:53","1%","02:53","5.13‱"
"11","Evolve","2.08%","03:00","7.38%","08:09","40.15‱"
"12","The Elder Scrolls V: Skyrim","1.93%","05:57","9.29%","111:30","37.69‱"
"13","Sid Meier's Civilization V","1.91%","09:59","6.45%","104:27","27.55‱"
"14","PAYDAY 2","1.81%","05:16","6.98%","55:51","28.54‱"
"15","Tropico 4","1.69%","03:32","1.6%","07:27","14.63‱"
"16","Heroes & Generals","1.6%","05:23","9.73%","10:17","50.61‱"
"17","Terraria","1.52%","08:29","6.23%","65:40","25.36‱"
"18","Grand Theft Auto V","1.5%","07:00","2.2%","100:54","8.75‱"
"19","Robocraft","1.4%","03:34","11.4%","19:35","57.68‱"
"20","Warframe","1.4%","14:07","7.26%","54:03","42.42‱"
"21","Europa Universalis IV","1.33%","12:39","1.61%","180:32","6.52‱"
"22","The Forest","1.28%","03:03","2.98%","23:28","11.89‱"
"23","Mount & Blade: Warband","1.21%","08:08","4.21%","108:10","17.29‱"
"24","BLOCKADE 3D","1.18%","02:48","9.1%","10:13","45.08‱"
"25","War Thunder","1.18%","04:43","7.65%","35:20","46.99‱"
"26","Trove","1.18%","05:10","9.46%","15:05","44.72‱"
"27","Dead Island Riptide","1.11%","03:17","2.64%","11:49","15.07‱"
"28","Path of Exile","1.11%","22:01","5.81%","43:03","33.19‱"
"29","H1Z1: King of the Kill","1.06%","05:05","2.12%","31:17","12.05‱"
"30","Brawlhalla","1.04%","02:46","3.13%","07:04","14.51‱"
"31","S.K.I.L.L. - Special Force 2","1.04%","02:29","5.12%","12:59","27.59‱"
"32","AdVenture Capitalist","1.02%","03:08","6.34%","27:35","32.24‱"
"33","Clicker Heroes","1.02%","07:23","6.37%","54:40","32.6‱"
"34","Hurtworld","0.97%","17:30","1.97%","93:28","7.91‱"
"35","SMITE","0.97%","08:54","4.58%","19:25","24.85‱"
"36","Left 4 Dead 2","0.94%","03:01","14.67%","29:00","62.49‱"
"37","Company of Heroes 2","0.92%","07:27","2.15%","88:28","10.42‱"
"38","Warface","0.89%","05:12","7.34%","15:43","42.34‱"
"39","Don't Starve Together Beta","0.8%","02:45","4.41%","21:51","21.63‱"
"40","Shakes and Fidget","0.73%","19:19","2.99%","29:42","13.52‱"
"41","Arma 3","0.73%","08:53","2.02%","146:59","7.99‱"
"42","Fallout 4","0.73%","09:28","1.8%","85:31","7.12‱"
"43","Borderlands 2","0.7%","04:10","4.32%","49:21","18.41‱"
"44","ARK: Survival Evolved","0.68%","23:15","1.48%","127:36","6‱"
"45","American Truck Simulator","0.6%","01:49","0.98%","26:39","3.9‱"
"46","The Witcher 2: Assassins of Kings Enhanced Edition","0.6%","05:30","3.96%","18:38","19.48‱"
"47","TrackMania Nations Forever","0.6%","02:27","3.28%","08:40","17.13‱"
"48","Football Manager 2016","0.6%","19:32","0.67%","147:23","2.62‱"
"49","The Binding of Isaac: Rebirth","0.58%","04:24","1.57%","90:42","6.2‱"
"50","Mafia II","0.58%","04:55","4.07%","28:33","19.52‱"
