"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","50.78%","19:22","36.16%","166:27","155.67‱"
"2","PAYDAY 2","9.6%","08:20","14.41%","39:24","68.12‱"
"3","Counter-Strike","9.14%","08:10","21.87%","332:05","122.04‱"
"4","Counter-Strike: Source","7.99%","06:53","23.01%","245:48","128.7‱"
"5","Garry's Mod","7.53%","05:40","15.64%","52:56","69.32‱"
"6","Dota 2","5.74%","28:48","7.31%","430:48","30.95‱"
"7","DayZ","3.87%","09:59","7.49%","74:02","31.82‱"
"8","Unturned","3.63%","03:22","17.76%","09:22","102.5‱"
"9","Rust","3.51%","06:47","10%","75:44","42.57‱"
"10","Warframe","3.46%","12:43","8.89%","59:21","59.22‱"
"11","Caster","3.43%","01:15","1.53%","01:18","10.15‱"
"12","War Thunder","3.34%","09:40","7.88%","35:00","55.29‱"
"13","Left 4 Dead 2","3.19%","07:45","22.34%","43:55","105.56‱"
"14","The Elder Scrolls V: Skyrim","3.02%","08:49","9.89%","97:00","44.54‱"
"15","Heroes & Generals","2.72%","05:07","8.09%","06:41","53.22‱"
"16","Sid Meier's Civilization V","2.08%","08:01","7.79%","65:34","35.86‱"
"17","Euro Truck Simulator 2","2.02%","04:56","4.27%","43:47","19.49‱"
"18","Dying Light","1.99%","08:25","2.19%","29:23","9.82‱"
"19","Killing Floor","1.9%","04:38","6.46%","33:43","47.65‱"
"20","Terraria","1.84%","03:33","9.2%","35:12","40.77‱"
"21","Arma 2: Operation Arrowhead","1.84%","14:20","5.74%","50:30","26.14‱"
"22","Grand Theft Auto IV","1.79%","02:51","9.02%","21:52","43.34‱"
"23","Infinite Crisis™","1.67%","02:41","0.73%","02:41","5.95‱"
"24","Robocraft","1.55%","04:00","7.82%","13:14","51.36‱"
"25","No More Room in Hell","1.55%","03:34","5.5%","07:53","36.62‱"
"26","Call of Duty: Modern Warfare 3 - Multiplayer","1.52%","06:36","7.58%","145:02","33.57‱"
"27","Borderlands 2 RU","1.52%","08:39","5.72%","43:36","26.69‱"
"28","Mortal Kombat Komplete Edition","1.46%","02:48","5.14%","18:49","23.09‱"
"29","Counter-Strike Nexon: Zombies","1.32%","05:29","7.79%","07:51","53.16‱"
"30","Arma 3","1.29%","17:15","2.09%","82:29","9.01‱"
"31","Nosgoth","1.26%","01:27","3.43%","03:13","28‱"
"32","Don't Starve Together Beta","1.17%","02:38","3.12%","11:18","14.52‱"
"33","Far Cry® 3","1.14%","05:40","4.95%","20:49","23.58‱"
"34","The Forest","1.11%","01:13","3.34%","08:49","14.68‱"
"35","Insurgency","1.11%","03:38","2.78%","12:08","13.21‱"
"36","DARK SOULS™ II","1.08%","04:56","2.14%","89:46","10.1‱"
"37","Cities: Skylines","1.08%","05:17","0.64%","08:59","2.78‱"
"38","PAYDAY: The Heist","1.05%","01:35","8.8%","05:34","50.11‱"
"39","Saints Row IV","0.97%","04:07","5.03%","18:12","25.16‱"
"40","Besiege","0.97%","03:10","1.59%","04:32","6.88‱"
"41","The Crew","0.88%","04:20","1.13%","35:45","4.8‱"
"42","Men of War: Assault Squad 2","0.88%","02:32","0.9%","21:51","153.37‱"
"43","Tom Clancy's Ghost Recon Phantoms - EU","0.88%","03:42","4.65%","09:05","36.62‱"
"44","Portal 2","0.88%","02:22","10.09%","13:40","49.29‱"
"45","Chivalry: Medieval Warfare","0.85%","02:26","4.25%","12:41","21.23‱"
"46","H1Z1","0.82%","05:25","1.34%","22:04","5.73‱"
"47","BLOCKADE 3D","0.82%","01:53","2.31%","03:07","14.46‱"
"48","Call of Duty: Modern Warfare 2 - Multiplayer","0.82%","03:16","8.35%","252:27","36.46‱"
"49","Neverwinter","0.79%","13:06","4.19%","28:24","28.55‱"
"50","The Witcher 2: Assassins of Kings Enhanced Edition","0.79%","01:36","4.49%","15:15","25.49‱"
