"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","48.7%","15:24","33.83%","278:37","156.19‱"
"2","Dota 2","45.04%","22:57","67.11%","509:47","306.29‱"
"3","Grand Theft Auto V","6.88%","10:27","5.96%","103:42","27.74‱"
"4","Counter-Strike","5.03%","08:36","16.57%","291:15","97.37‱"
"5","Unturned","4.37%","03:39","16.92%","14:23","107.97‱"
"6","Counter-Strike: Source","4.01%","07:34","17.32%","226:54","104.53‱"
"7","Garry's Mod","3.87%","06:02","12.57%","60:47","59.86‱"
"8","Team Fortress 2","3.71%","05:28","29.47%","66:05","134.5‱"
"9","PAYDAY 2","3.3%","05:50","11.8%","48:02","56.66‱"
"10","Rust","2.86%","08:50","7.44%","86:55","34.3‱"
"11","War Thunder","2.81%","07:58","9.01%","39:16","67.69‱"
"12","The Elder Scrolls V: Skyrim","2.74%","08:25","8.56%","91:16","41.78‱"
"13","Fallout 4","2.6%","16:03","1.64%","68:04","7.72‱"
"14","Left 4 Dead 2","2.52%","04:06","16.51%","40:32","84.41‱"
"15","Warframe","2.38%","19:13","9.69%","62:50","71.32‱"
"16","Terraria","2.11%","07:10","7.08%","48:12","33.83‱"
"17","Insurgency","2.1%","03:10","3.08%","15:32","15.91‱"
"18","DayZ","1.95%","08:02","4.68%","94:00","21.47‱"
"19","Euro Truck Simulator 2","1.81%","05:49","3.63%","52:09","17.31‱"
"20","Clicker Heroes","1.38%","22:19","3.87%","58:33","26.95‱"
"21","Sid Meier's Civilization V","1.2%","12:02","5.36%","86:15","26.5‱"
"22","Heroes & Generals","1.16%","05:41","9.03%","10:03","63.98‱"
"23","Hurtworld","1.1%","15:55","0.44%","17:02","2.13‱"
"24","Trove","1.09%","07:22","4.43%","16:48","27.74‱"
"25","The Witcher 3: Wild Hunt","1.08%","09:50","1.89%","84:14","9.55‱"
"26","Dying Light","1.03%","05:12","2.13%","25:22","10.77‱"
"27","Arma 3","0.98%","14:53","1.89%","127:44","8.86‱"
"28","Don't Starve Together Beta","0.98%","03:56","2.94%","13:55","19.3‱"
"29","Arma 2: Operation Arrowhead","0.96%","11:30","4.61%","65:35","23‱"
"30","Rocket League","0.96%","04:49","0.94%","23:49","4.4‱"
"31","SMITE","0.95%","09:11","2.27%","15:49","14.83‱"
"32","Portal 2","0.93%","02:09","7.4%","13:11","41.07‱"
"33","Robocraft","0.92%","03:52","7.5%","15:05","54.4‱"
"34","ARK: Survival Evolved","0.92%","16:14","1.61%","52:29","7.89‱"
"35","The Binding of Isaac: Rebirth","0.83%","08:41","0.75%","78:47","3.57‱"
"36","Don't Starve","0.79%","03:02","2.86%","14:12","15.49‱"
"37","Borderlands 2 RU","0.76%","07:05","4.49%","48:27","23.01‱"
"38","MechWarrior Online","0.69%","04:31","0.27%","04:29","1.71‱"
"39","Call of Duty: Modern Warfare 3 - Multiplayer","0.69%","06:42","4.99%","153:40","24.19‱"
"40","AdVenture Capitalist","0.69%","04:43","1.69%","19:48","11.66‱"
"41","Fallout: New Vegas","0.69%","08:49","3.75%","49:00","19.86‱"
"42","The Forest","0.66%","02:47","2.59%","11:12","12.04‱"
"43","Killing Floor 2","0.63%","07:33","0.54%","27:58","2.62‱"
"44","Call of Duty: Black Ops II - Multiplayer","0.63%","04:41","3.31%","78:52","16.4‱"
"45","Saints Row IV","0.63%","04:09","4.53%","18:29","23.45‱"
"46","Chivalry: Medieval Warfare","0.63%","02:13","4.71%","11:13","23.64‱"
"47","7 Days to Die","0.63%","11:40","1.48%","31:33","7.06‱"
"48","Just Cause 2","0.59%","02:25","4.07%","09:52","23.27‱"
"49","Counter-Strike Nexon: Zombies","0.58%","06:36","6.79%","13:40","53.19‱"
