"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Dota 2","45.73%","22:10","66.32%","497:44","325.72‱"
"2","Counter-Strike: Global Offensive","45.5%","18:36","31.87%","253:59","158.14‱"
"3","Counter-Strike","5.58%","08:47","16.31%","313:08","104.01‱"
"4","Unturned","5.55%","03:58","16.16%","13:20","112.76‱"
"5","Grand Theft Auto V","4.73%","08:07","5%","99:11","24.91‱"
"6","Counter-Strike: Source","4.13%","07:35","17.08%","219:02","111.41‱"
"7","Team Fortress 2","4.08%","07:47","29.62%","65:35","145.48‱"
"8","Garry's Mod","3.79%","06:20","11.91%","62:39","61.18‱"
"9","Warframe","2.88%","16:44","9.23%","71:35","72.82‱"
"10","PAYDAY 2","2.84%","07:04","10.65%","48:16","55.53‱"
"11","Rust","2.78%","12:15","7.1%","82:34","35.02‱"
"12","War Thunder","2.43%","06:59","8.33%","36:22","68.87‱"
"13","Left 4 Dead 2","2.2%","03:45","16.1%","42:38","87.63‱"
"14","The Elder Scrolls V: Skyrim","2.19%","07:37","8.05%","93:17","41.73‱"
"15","Terraria","1.81%","07:19","6.88%","45:33","35.49‱"
"16","SMITE","1.79%","08:20","1.58%","09:19","11.33‱"
"17","Aftermath","1.68%","01:49","0.95%","01:55","6.77‱"
"18","Euro Truck Simulator 2","1.68%","06:19","3.5%","49:08","17.95‱"
"19","Clicker Heroes","1.66%","14:43","3.46%","47:47","26.32‱"
"20","DayZ","1.61%","07:15","4.63%","90:56","22.75‱"
"21","The Witcher 3: Wild Hunt","1.32%","08:19","1.71%","76:54","8.96‱"
"22","Trove","1.3%","07:24","3.65%","14:05","25.77‱"
"23","Block N Load Beta","1.18%","03:55","0.56%","06:50","4.06‱"
"24","Arma 2: Operation Arrowhead","1.16%","07:46","4.48%","61:44","24.1‱"
"25","Sid Meier's Civilization V","1.16%","09:53","5.32%","77:14","28.15‱"
"26","Arma 3","1.09%","13:17","1.8%","106:36","8.94‱"
"27","METAL GEAR SOLID V: THE PHANTOM PAIN","1.03%","13:28","0.68%","50:09","3.47‱"
"28","Heroes & Generals","1.01%","06:43","8.56%","09:21","66.71‱"
"29","Tomb Raider","0.99%","05:49","4.15%","12:53","24.08‱"
"30","Robocraft","0.94%","03:35","6.93%","15:30","55.7‱"
"31","Borderlands 2 RU","0.89%","06:38","4.42%","47:33","24.45‱"
"32","AdVenture Capitalist","0.85%","05:09","1.5%","16:35","11.78‱"
"33","ARK: Survival Evolved","0.84%","14:04","1.15%","40:54","6.06‱"
"34","Rocket League","0.82%","04:58","0.71%","17:47","3.5‱"
"35","Dirty Bomb","0.8%","01:46","1.27%","03:39","9.9‱"
"36","SpeedRunners","0.78%","02:26","0.68%","05:39","111.12‱"
"37","Call of Duty: Modern Warfare 3 - Multiplayer","0.72%","07:09","4.96%","154:47","25.52‱"
"38","Counter-Strike Nexon: Zombies","0.71%","10:28","6.52%","13:42","55.12‱"
"39","Call of Duty: Black Ops II - Multiplayer","0.7%","05:45","3.35%","73:43","18.14‱"
"40","Quake Live","0.68%","01:20","3.3%","02:46","29.89‱"
"41","Dying Light","0.67%","08:23","1.67%","29:15","8.62‱"
"42","Prison Architect","0.66%","04:35","0.72%","13:00","3.88‱"
"43","Insurgency","0.65%","02:56","2.47%","12:52","13.25‱"
"44","Saints Row IV","0.64%","02:17","4.1%","19:15","23.62‱"
"45","Sniper Elite 3","0.64%","03:22","0.8%","09:25","4.66‱"
"46","The Binding of Isaac: Rebirth","0.63%","08:50","0.66%","55:06","3.32‱"
"47","WARMODE","0.61%","01:25","0.94%","01:47","6.02‱"
"48","Don't Starve Together Beta","0.61%","02:53","2.74%","13:42","19.6‱"
"49","Saints Row: The Third","0.6%","04:52","4.08%","27:33","24.32‱"
