"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Dota 2","43.75%","24:22","65.54%","516:28","288.53‱"
"2","Counter-Strike: Global Offensive","43.71%","14:51","36.37%","307:06","161.65‱"
"3","Grand Theft Auto V","6.91%","10:39","6.5%","126:52","29.13‱"
"4","Unturned","4.37%","05:33","18.02%","17:14","105.58‱"
"5","Counter-Strike","4.24%","07:48","15.44%","261:53","92.03‱"
"6","Garry's Mod","3.97%","07:33","12.12%","68:32","55.57‱"
"7","Team Fortress 2","3.62%","06:59","27.84%","64:28","122.56‱"
"8","Counter-Strike: Source","3.5%","06:17","16.11%","204:01","99.11‱"
"9","Rust","3.1%","14:11","7.63%","103:12","34‱"
"10","PAYDAY 2","2.63%","05:57","11.53%","46:36","53.32‱"
"11","The Witcher 3: Wild Hunt","2.59%","17:54","2.38%","100:45","11.55‱"
"12","Warframe","2.51%","14:50","10.1%","83:15","68.98‱"
"13","War Thunder","2.37%","06:44","9.36%","40:39","64.87‱"
"14","The Elder Scrolls V: Skyrim","2.36%","07:14","8.07%","91:36","37.75‱"
"15","Left 4 Dead 2","1.89%","03:43","15.12%","39:17","73.75‱"
"16","Terraria","1.88%","09:05","6.77%","50:24","31.15‱"
"17","Rocket League","1.8%","04:53","2.05%","31:36","9.25‱"
"18","DayZ","1.67%","08:20","3.82%","102:31","16.89‱"
"19","Euro Truck Simulator 2","1.57%","07:01","3.61%","65:33","16.38‱"
"20","SMITE","1.3%","09:54","3.74%","26:06","22.37‱"
"21","Sid Meier's Civilization V","1.25%","11:57","5.1%","93:10","23.93‱"
"22","Don't Starve Together Beta","1.25%","04:39","3.61%","18:58","20.22‱"
"23","Arma 3","1.22%","20:01","1.96%","142:29","8.77‱"
"24","Robocraft","1.21%","04:54","7.67%","17:13","52.45‱"
"25","Clicker Heroes","1.16%","12:13","4.22%","46:44","26.15‱"
"26","Heroes & Generals","1.12%","06:44","9.88%","12:46","64.12‱"
"27","Everlasting Summer","0.95%","06:11","3.18%","11:13","20.35‱"
"28","Insurgency","0.91%","02:41","3.1%","12:12","15.15‱"
"29","ARK: Survival Evolved","0.91%","19:10","2.02%","82:55","9.55‱"
"30","Trove","0.9%","03:32","5.05%","17:38","29.15‱"
"31","DOOM","0.83%","08:45","0.57%","18:13","2.61‱"
"32","Fallout 4","0.77%","09:09","1.7%","93:20","7.59‱"
"33","Total War: WARHAMMER","0.77%","20:31","0.4%","37:49","1.79‱"
"34","Killing Floor 2","0.76%","05:27","0.74%","40:56","3.7‱"
"35","Arma 2: Operation Arrowhead","0.73%","12:38","4.37%","71:59","20.97‱"
"36","Dead by Daylight","0.7%","05:24","0.25%","05:24","1.38‱"
"37","The Witcher 2: Assassins of Kings Enhanced Edition","0.65%","07:00","3.9%","17:18","23.23‱"
"38","Call of Duty: Black Ops II - Multiplayer","0.58%","04:00","2.91%","78:33","14.08‱"
"39","Tom Clancy's Rainbow Six Siege","0.57%","10:06","0.56%","60:52","2.56‱"
"40","Call of Duty: Modern Warfare 3 - Multiplayer","0.57%","05:14","4.28%","170:54","19.82‱"
"41","Borderlands 2 RU","0.57%","06:14","4.28%","47:28","21.06‱"
"42","Brawlhalla","0.56%","03:59","1.1%","06:08","5.79‱"
"43","Portal 2","0.56%","03:38","6.91%","14:00","36.78‱"
"44","Dark Souls: Prepare to Die Edition","0.56%","08:17","2.47%","42:31","12.78‱"
"45","The Forest","0.56%","04:40","2.57%","12:51","11.5‱"
"46","Dying Light","0.54%","06:46","2.44%","35:57","11.4‱"
"47","Dirty Bomb","0.54%","03:28","2.5%","07:36","15.87‱"
"48","Insanity Clicker","0.53%","08:43","0.19%","08:43","1.01‱"
