"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Dota 2","50.68%","24:02","66.09%","470:25","306.39‱"
"2","Counter-Strike: Global Offensive","42.49%","18:18","30.99%","204:44","145.43‱"
"3","Grand Theft Auto V","6.03%","12:42","4.75%","77:04","22.48‱"
"4","Counter-Strike","5.94%","07:51","16.78%","305:48","102.81‱"
"5","Counter-Strike: Source","5.02%","05:51","18.3%","217:24","112.61‱"
"6","Garry's Mod","4.75%","06:21","11.95%","56:08","57.94‱"
"7","Left 4 Dead 2","4.35%","04:21","17.13%","38:21","88.25‱"
"8","Team Fortress 2","3.84%","07:37","29.74%","64:58","137.89‱"
"9","PAYDAY 2","3.82%","07:42","10.73%","43:16","52.57‱"
"10","Clicker Heroes","3.26%","14:37","2.47%","31:00","15.82‱"
"11","Unturned","3.13%","03:17","14.12%","10:59","92.48‱"
"12","The Elder Scrolls V: Skyrim","2.83%","07:34","8.35%","86:40","41.39‱"
"13","Rust","2.59%","09:00","6.74%","79:14","31.44‱"
"14","DiggerOnline","2.43%","01:12","3%","01:26","17.94‱"
"15","Chivalry: Medieval Warfare","2.34%","02:31","4.52%","11:18","23.7‱"
"16","The Witcher 3: Wild Hunt","2.3%","18:34","1.55%","60:24","7.84‱"
"17","Terraria","2.29%","05:15","6.93%","36:05","33.83‱"
"18","War Thunder","2.28%","06:34","7.3%","40:34","56.39‱"
"19","Euro Truck Simulator 2","2.05%","06:44","3.47%","42:50","16.97‱"
"20","DayZ","2.03%","07:34","4.8%","81:22","22.31‱"
"21","How to Survive","1.87%","03:32","2.54%","05:50","14.85‱"
"22","Warframe","1.82%","14:25","8.31%","60:52","61.11‱"
"23","Castle Crashers","1.71%","03:12","3.3%","07:35","17.62‱"
"24","Sid Meier's Civilization V","1.56%","08:40","5.64%","74:13","28.27‱"
"25","Arma 2: Operation Arrowhead","1.56%","13:30","4.6%","53:14","23.25‱"
"26","Fallout: New Vegas","1.43%","08:31","3.21%","44:14","17.8‱"
"27","Portal 2","1.26%","03:28","7.16%","13:28","40.55‱"
"28","Heroes & Generals","1.25%","04:05","7.82%","08:14","55.2‱"
"29","Insurgency","1.24%","03:22","2.5%","11:57","13‱"
"30","Robocraft","1.1%","04:59","6.79%","14:33","50.1‱"
"31","The Witcher 2: Assassins of Kings Enhanced Edition","1.1%","05:56","3.93%","16:14","24.94‱"
"32","Arma 3","1.07%","13:42","1.87%","100:58","8.83‱"
"33","Don't Starve Together Beta","1.01%","04:30","2.47%","12:21","18.5‱"
"34","The Forest","1.01%","02:34","2.31%","08:48","10.9‱"
"35","BattleBlock Theater","1.01%","03:00","1.74%","06:16","9.29‱"
"36","AdVenture Capitalist","1%","03:52","1.03%","15:44","7.04‱"
"37","Borderlands 2 RU","0.91%","06:17","4.4%","44:21","23.27‱"
"38","ARK: Survival Evolved","0.89%","16:44","0.52%","17:27","2.6‱"
"39","Call of Duty: Modern Warfare 3 - Multiplayer","0.84%","05:54","5.29%","154:12","25.89‱"
"40","Grand Theft Auto IV","0.82%","03:44","6.37%","20:16","33.94‱"
"41","Total War: ROME II - Emperor Edition","0.8%","06:54","1.99%","81:18","157.02‱"
"42","Call of Duty: Black Ops II - Multiplayer","0.79%","03:39","3.36%","75:57","16.85‱"
"43","Mortal Kombat Komplete Edition","0.72%","02:08","3.93%","15:43","19.77‱"
"44","The Witcher: Enhanced Edition","0.69%","04:50","2.47%","17:04","17.51‱"
"45","Saints Row IV","0.68%","03:33","4.09%","19:15","21.53‱"
"46","Survarium","0.67%","05:27","2.27%","04:34","19.37‱"
"47","Half-Life 2","0.67%","03:42","4.68%","10:28","33.73‱"
"48","Arma 2","0.67%","00:29","4.23%","03:59","22.74‱"
"49","Counter-Strike Nexon: Zombies","0.66%","05:47","6.27%","11:50","49.9‱"
"50","Hitman: Absolution","0.64%","03:23","2.96%","15:25","17.22‱"
