"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","38.42%","13:51","37.15%","393:44","148.85‱"
"2","Dota 2","34.66%","20:16","64.42%","544:26","255.82‱"
"3","PLAYERUNKNOWN'S BATTLEGROUNDS","9.47%","17:03","4.05%","99:36","16.18‱"
"4","Grand Theft Auto V","5.84%","08:09","8.01%","162:27","32.21‱"
"5","Paladins","3.63%","05:43","9.17%","23:32","41.79‱"
"6","Garry's Mod","3.44%","08:32","11.67%","87:32","47.69‱"
"7","Counter-Strike","3.33%","11:12","14.11%","274:56","72.59‱"
"8","Unturned","2.82%","05:40","19.87%","27:51","98.84‱"
"9","Team Fortress 2","2.8%","07:46","26.31%","65:32","104.49‱"
"10","Rust","2.63%","15:05","8.12%","139:10","32.61‱"
"11","War Thunder","2.55%","06:53","10.18%","48:15","60.18‱"
"12","Warframe","2.3%","14:06","11.27%","75:15","64.68‱"
"13","PAYDAY 2: Ultimate Edition","2.27%","07:48","13.84%","47:45","65.08‱"
"14","Counter-Strike: Source","2.11%","09:11","13.55%","208:36","73.21‱"
"15","Crossout","2.09%","10:47","2.01%","18:16","9.7‱"
"16","Rocket League","1.98%","06:21","3.03%","55:43","12.35‱"
"17","Euro Truck Simulator 2","1.93%","05:33","4.21%","78:24","17.16‱"
"18","World of Tanks Blitz","1.89%","08:07","3.76%","31:05","18.66‱"
"19","Divinity: Original Sin 2","1.84%","25:24","0.64%","39:52","2.68‱"
"20","Outlast","1.65%","02:12","1.94%","03:58","14.81‱"
"21","Left 4 Dead 2","1.61%","03:31","14.61%","39:06","64.36‱"
"22","Dead by Daylight","1.58%","12:34","2.09%","68:28","8.56‱"
"23","Insurgency","1.54%","02:50","4.11%","17:28","18.31‱"
"24","Tom Clancy's Rainbow Six Siege","1.53%","09:33","1.43%","115:15","5.8‱"
"25","The Elder Scrolls V: Skyrim","1.43%","08:23","7.41%","107:55","30.79‱"
"26","Terraria","1.42%","07:41","6.6%","69:26","27.05‱"
"27","Wallpaper Engine","1.4%","02:12","1.17%","11:37","4.75‱"
"28","Heroes & Generals","1.27%","04:14","12.32%","17:52","64.89‱"
"29","Path of Exile","1.21%","13:57","3.99%","46:26","23.35‱"
"30","Fallout Shelter","1.21%","03:07","4.13%","12:17","21.76‱"
"31","Arma 3","1.08%","21:04","2.19%","241:36","8.8‱"
"32","The Witcher 3: Wild Hunt","1.07%","10:10","2.8%","117:12","12.29‱"
"33","Don't Starve Together","1.07%","03:17","4.43%","27:21","20.65‱"
"34","Sid Meier's Civilization V","0.97%","08:12","4.81%","105:00","20.28‱"
"35","Fallout: A Post Nuclear Role Playing Game","0.96%","01:14","0.73%","04:57","11.34‱"
"36","ARK: Survival Evolved","0.96%","25:27","2.68%","150:02","11.37‱"
"37","Mortal Kombat X","0.94%","04:40","1.73%","27:35","7.63‱"
"38","The Elder Scrolls V: Skyrim Special Edition","0.85%","11:26","2.16%","24:59","17.15‱"
"39","SMITE","0.84%","14:02","4.77%","51:29","24.96‱"
"40","Black Squad","0.67%","08:43","1.03%","07:43","5.83‱"
"41","DayZ","0.63%","10:44","3.44%","125:23","13.69‱"
"42","Fallout 4","0.63%","17:39","2%","107:46","8.3‱"
"43","Everlasting Summer","0.61%","03:03","4.03%","15:05","20.93‱"
"44","Stellaris","0.6%","17:28","0.69%","81:47","2.87‱"
"45","Depth","0.6%","04:54","1.4%","08:29","5.89‱"
"46","Robocraft","0.6%","04:47","7.81%","21:00","44.83‱"
"47","H1Z1: King of the Kill","0.57%","06:03","1.15%","61:29","6.36‱"
"48","Dying Light","0.56%","06:37","2.59%","40:49","10.74‱"
"49","7 Days to Die","0.56%","12:53","2.22%","62:06","9.12‱"
"50","The Binding of Isaac: Rebirth","0.55%","05:21","0.97%","117:09","3.98‱"
