"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","46.16%","16:46","36.38%","284:25","167‱"
"2","Dota 2","42.56%","23:08","65.65%","499:55","297.96‱"
"3","Grand Theft Auto V","6.13%","08:25","6.39%","113:13","29.54‱"
"4","Counter-Strike","5.07%","09:17","16.26%","266:35","100.52‱"
"5","PAYDAY 2","4.43%","05:59","12.44%","45:46","60.36‱"
"6","Unturned","4.36%","04:30","17.85%","15:42","108.49‱"
"7","Garry's Mod","4.22%","06:49","12.64%","64:07","60.06‱"
"8","Counter-Strike: Source","3.82%","07:36","16.86%","205:09","106.83‱"
"9","Team Fortress 2","3.67%","07:10","28.43%","64:56","129.02‱"
"10","Rust","3.55%","17:16","7.91%","90:36","36.3‱"
"11","The Elder Scrolls V: Skyrim","2.77%","07:00","8.43%","85:35","40.57‱"
"12","Warframe","2.62%","20:27","9.76%","75:50","69.69‱"
"13","War Thunder","2.51%","07:09","8.95%","38:39","66.1‱"
"14","Left 4 Dead 2","2.24%","03:24","16.09%","40:58","80.71‱"
"15","Terraria","1.76%","06:07","7.18%","50:54","33.94‱"
"16","Euro Truck Simulator 2","1.61%","08:17","3.72%","58:18","17.51‱"
"17","Rocket League","1.58%","05:26","1.73%","26:22","8.02‱"
"18","Heroes & Generals","1.49%","05:43","9.93%","10:38","66.02‱"
"19","Robocraft","1.44%","04:06","7.63%","16:46","53.29‱"
"20","SMITE","1.37%","10:40","3.26%","19:37","19.86‱"
"21","Tom Clancy's The Division","1.22%","31:19","0.5%","48:17","2.31‱"
"22","DayZ","1.16%","08:28","4.31%","96:15","19.65‱"
"23","Sid Meier's Civilization V","1.15%","11:09","5.22%","93:45","25.19‱"
"24","Arma 3","1.14%","18:47","1.98%","137:50","9.1‱"
"25","Clicker Heroes","1.12%","08:13","4.03%","62:19","26.07‱"
"26","Don't Starve Together Beta","1.1%","05:33","3.43%","15:30","20.5‱"
"27","Borderlands 2 RU","1.07%","07:10","4.35%","49:41","22.55‱"
"28","ARK: Survival Evolved","1.01%","19:47","1.89%","65:58","9.24‱"
"29","Trove","1.01%","05:47","4.81%","18:40","28.47‱"
"30","Fallout 4","1.01%","11:01","1.54%","79:11","7.2‱"
"31","Arma 2: Operation Arrowhead","0.98%","12:20","4.47%","73:50","21.99‱"
"32","Dying Light","0.95%","05:54","2.63%","31:41","12.63‱"
"33","The Witcher 3: Wild Hunt","0.9%","07:21","2.06%","87:13","10.46‱"
"34","Survarium","0.81%","05:43","3.54%","08:13","27.51‱"
"35","The Forest","0.79%","03:52","2.79%","12:50","12.87‱"
"36","Counter-Strike Nexon: Zombies","0.77%","04:56","6.7%","14:55","50.81‱"
"37","Insurgency","0.76%","04:26","3.15%","13:25","15.94‱"
"38","Serious Sam 3: BFE","0.74%","04:31","3.45%","13:08","18.39‱"
"39","Aftermath","0.72%","03:42","2.52%","06:00","14.69‱"
"40","Portal 2","0.69%","02:28","7.45%","13:50","40.74‱"
"41","Warhammer 40,000: Dawn of War II Retribution","0.67%","06:26","1.58%","41:07","9.78‱"
"42","Call of Duty: Black Ops II - Multiplayer","0.63%","03:07","3.13%","65:16","15.45‱"
"43","Call of Duty: Modern Warfare 3 - Multiplayer","0.59%","07:08","4.47%","155:36","21.32‱"
"44","Dark Souls: Prepare to Die Edition","0.59%","07:14","2.47%","43:59","13.26‱"
"45","Far Cry 3","0.59%","05:02","3.36%","22:03","16.99‱"
"46","Planetary Annihilation","0.58%","04:39","1.07%","08:12","6.49‱"
"47","Call of Duty: Modern Warfare 2 - Multiplayer","0.58%","05:55","5.12%","256:05","24.18‱"
"48","The Culling","0.57%","04:56","0.29%","07:34","1.4‱"
"49","Tom Clancy's Rainbow Six Siege","0.57%","04:22","0.56%","55:35","2.56‱"
"50","HITMAN","0.56%","05:48","0.26%","06:39","1.32‱"
