"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","47.52%","20:52","39.78%","339:42","155.24‱"
"2","Paladins","10.53%","08:37","23.72%","30:42","103.43‱"
"3","Dota 2","10.01%","22:12","34.08%","425:46","131.79‱"
"4","PLAYERUNKNOWN'S BATTLEGROUNDS","5.65%","17:13","2.85%","61:56","11.17‱"
"5","Grand Theft Auto V","5.37%","09:57","8.31%","139:32","32.56‱"
"6","Brawlhalla","4.25%","04:29","14.2%","16:20","58.32‱"
"7","Jotun: Valhalla Edition","3.94%","01:37","1.75%","01:49","17.29‱"
"8","Rocket League","3.76%","08:33","4.99%","102:08","19.7‱"
"9","Left 4 Dead 2","3.6%","04:57","15.81%","35:34","67.81‱"
"10","Unturned","3.56%","05:13","25.71%","24:51","112.91‱"
"11","PAYDAY 2: Ultimate Edition","3.51%","05:14","12.96%","28:55","74.03‱"
"12","Euro Truck Simulator 2","3.42%","08:14","5.05%","123:43","20.17‱"
"13","H1Z1: King of the Kill","3.08%","10:32","5.39%","81:47","24.13‱"
"14","Tom Clancy's Rainbow Six Siege","2.9%","18:54","2.72%","182:16","10.71‱"
"15","Warframe","2.88%","18:00","10.5%","76:13","61.72‱"
"16","Team Fortress 2","2.53%","07:47","26.88%","69:00","103.95‱"
"17","Gigantic","2.08%","02:02","0.77%","02:02","4.95‱"
"18","Counter-Strike","1.99%","11:03","10.31%","346:53","45.67‱"
"19","Garry's Mod","1.86%","05:15","7.88%","62:58","32.17‱"
"20","Terraria","1.86%","07:20","5.13%","75:40","20.71‱"
"21","Trove","1.79%","15:11","10.53%","28:24","46.56‱"
"22","Black Squad","1.76%","03:09","0.74%","03:39","4.15‱"
"23","Don't Starve Together","1.57%","06:12","4.74%","32:51","21.1‱"
"24","Infestation: The New Z","1.5%","07:12","7.59%","13:33","37.87‱"
"25","Shadow Warrior","1.45%","02:38","1.07%","06:41","12.08‱"
"26","Portal 2","1.39%","04:25","6.17%","15:03","29.27‱"
"27","Last Man Standing","1.36%","03:26","3.4%","05:43","19.08‱"
"28","SMITE","1.36%","12:07","4.68%","23:57","25.2‱"
"29","Argo","1.34%","01:39","2.45%","01:59","15.97‱"
"30","Insurgency","1.27%","03:40","3.69%","18:18","16.87‱"
"31","Path of Exile","1.19%","17:30","8.81%","57:41","45.86‱"
"32","Rust","1.18%","13:43","4.22%","136:38","16.72‱"
"33","Middle-earth: Shadow of Mordor","1.1%","05:53","2.76%","20:09","12.81‱"
"34","ARK: Survival Evolved","1.09%","25:30","2.84%","199:02","11.3‱"
"35","Age of Empires II HD","1%","05:53","3.82%","33:40","16.43‱"
"36","Arma 3","0.98%","12:43","1.84%","196:49","7.21‱"
"37","The Elder Scrolls V: Skyrim","0.98%","10:05","5.37%","85:17","22.14‱"
"38","Tree of Savior (English Ver.)","0.92%","11:36","7.09%","79:09","32.35‱"
"39","Creativerse","0.87%","04:37","7.38%","09:08","32.53‱"
"40","The Witcher 3: Wild Hunt","0.87%","05:29","1.96%","65:39","8.74‱"
"41","Counter-Strike: Source","0.83%","06:23","5.74%","211:33","29.65‱"
"42","Stardew Valley","0.72%","12:24","1.58%","47:05","6.35‱"
"43","Robocraft","0.71%","03:47","9.53%","17:40","46.06‱"
"44","Transformice","0.69%","02:28","5.24%","11:47","24.03‱"
"45","Borderlands 2","0.69%","09:15","3.95%","44:58","16.67‱"
"46","SpeedRunners","0.63%","03:46","2.39%","19:19","9.62‱"
"47","Killing Floor","0.62%","05:38","3.64%","25:44","19.62‱"
"48","Fallout Shelter","0.62%","04:25","2.17%","06:43","11.87‱"
"49","Grand Theft Auto: San Andreas","0.62%","03:11","3.07%","15:24","16.2‱"
"50","War Thunder","0.62%","04:48","4.85%","39:33","32.06‱"
