"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","38.59%","14:50","31.57%","228:22","146.15‱"
"2","Dota 2","19.06%","24:27","42.33%","364:16","192.4‱"
"3","Grand Theft Auto V","9.8%","12:11","7.53%","102:17","35.17‱"
"4","Unturned","5.75%","03:48","24.79%","19:08","129.87‱"
"5","H1Z1","5.3%","11:51","4.64%","69:08","21.54‱"
"6","Left 4 Dead 2","5.02%","03:58","19.85%","32:15","100.84‱"
"7","Team Fortress 2","4.89%","08:39","32.16%","74:15","146.17‱"
"8","Garry's Mod","4.25%","05:35","9.06%","51:31","44.4‱"
"9","Euro Truck Simulator 2","4.19%","06:14","5.29%","98:26","25.29‱"
"10","Rocket League","3.6%","06:27","2.48%","37:06","11.43‱"
"11","The Elder Scrolls V: Skyrim","3.38%","08:47","7.39%","70:52","36.65‱"
"12","Brawlhalla","3.2%","03:27","3.2%","05:31","16.95‱"
"13","AdVenture Capitalist","2.89%","07:18","5.9%","33:38","32.46‱"
"14","Warframe","2.67%","15:47","8.38%","62:52","56.86‱"
"15","Counter-Strike","2.6%","13:23","14.07%","359:26","71.05‱"
"16","Terraria","2.59%","07:51","6.03%","66:40","29.46‱"
"17","Insurgency","2.47%","04:20","3.13%","18:36","17.07‱"
"18","Rust","2.46%","16:47","4.34%","106:02","20‱"
"19","PAYDAY 2","2.3%","08:28","7.37%","41:27","36.23‱"
"20","Path of Exile","2.17%","14:20","6.95%","37:38","44.87‱"
"21","Trove","2.03%","05:22","8.69%","22:05","46.25‱"
"22","ARK: Survival Evolved","1.74%","18:09","2.31%","121:21","10.98‱"
"23","Portal 2","1.69%","02:37","7.16%","12:24","38.99‱"
"24","Clicker Heroes","1.61%","13:07","3.8%","57:00","21.78‱"
"25","TERA","1.54%","10:57","5.13%","28:18","39.18‱"
"26","Counter-Strike: Source","1.47%","06:28","8.16%","219:11","46.72‱"
"27","Don't Starve Together Beta","1.46%","04:46","3.11%","17:40","22.04‱"
"28","EasyAntiCheat eSports","1.43%","12:07","0.95%","28:21","4.8‱"
"29","Creativerse","1.29%","03:51","1.99%","07:07","10.33‱"
"30","Sid Meier's Civilization V","1.29%","10:50","3.57%","72:44","18.2‱"
"31","Robocraft","1.26%","05:39","9.1%","14:58","52.38‱"
"32","Age of Empires II: HD Edition","1.26%","05:31","4.05%","27:18","20.96‱"
"33","Tomb Raider","1.18%","03:11","5.34%","14:24","29.86‱"
"34","War Thunder","1.18%","07:50","4.53%","44:33","34.96‱"
"35","Don't Starve","1.18%","04:23","3.77%","22:19","18.87‱"
"36","Arma 3","1.17%","07:33","1.64%","145:05","7.61‱"
"37","Borderlands 2","1.14%","04:11","4.82%","50:50","24.14‱"
"38","Dying Light","1.14%","06:38","1.38%","29:52","6.74‱"
"39","Mitos.is: The Game","1.12%","03:09","2.3%","07:25","11.94‱"
"40","Chivalry: Medieval Warfare","1.12%","03:05","4.4%","13:41","21.64‱"
"41","Call of Duty: Black Ops III","1.11%","15:10","0.56%","48:48","2.62‱"
"42","Call of Duty: Black Ops II - Multiplayer","1.09%","02:47","2.85%","105:17","13.44‱"
"43","SpeedRunners","1.08%","01:36","2.27%","16:28","12.95‱"
"44","The Witcher 3: Wild Hunt","1.05%","09:25","1.2%","73:56","6.46‱"
"45","DayZ","1.03%","06:42","2.3%","94:57","10.49‱"
"46","Grand Theft Auto: San Andreas","0.96%","04:30","3.52%","11:40","24.26‱"
"47","The Binding of Isaac: Rebirth","0.94%","08:31","0.8%","71:43","3.7‱"
"48","Castle Crashers","0.92%","01:54","5.92%","11:56","28.94‱"
"49","Tom Clancy's Rainbow Six Siege","0.88%","18:05","0.4%","33:47","1.99‱"
"50","Saints Row IV","0.86%","04:46","2.89%","19:25","15.64‱"
