"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","45.54%","18:24","37.6%","283:01","168.09‱"
"2","Paladins","12.97%","07:22","17.77%","18:44","88.33‱"
"3","Dota 2","12.07%","20:10","35.81%","373:36","158.54‱"
"4","Grand Theft Auto V","6.71%","11:02","8.14%","122:59","36.79‱"
"5","H1Z1: King of the Kill","4.6%","11:22","4.59%","59:21","26.03‱"
"6","Infestation: The New Z","4.26%","08:04","5.59%","10:36","30.98‱"
"7","Rocket League","4.1%","07:42","4.46%","78:45","20.1‱"
"8","Unturned","3.99%","06:11","26.66%","23:56","131.76‱"
"9","Euro Truck Simulator 2","3.74%","08:20","4.82%","118:33","21.95‱"
"10","Brawlhalla","3.71%","04:55","12.47%","13:41","57.87‱"
"11","Left 4 Dead 2","3.32%","02:58","16.43%","31:23","78.9‱"
"12","Team Fortress 2","2.97%","08:44","28.78%","66:03","127.4‱"
"13","Tom Clancy's Rainbow Six Siege","2.85%","16:30","2.13%","129:30","9.68‱"
"14","Garry's Mod","2.43%","05:59","8.21%","55:57","38.43‱"
"15","Warframe","2.19%","16:29","10.22%","67:04","67.92‱"
"16","The Forest","2.02%","07:13","2.05%","16:32","9.4‱"
"17","Don't Starve Together Beta","1.84%","09:19","4.29%","29:41","23‱"
"18","The Elder Scrolls V: Skyrim","1.72%","07:26","5.9%","87:13","27.82‱"
"19","Counter-Strike","1.69%","11:00","10.58%","309:44","53.24‱"
"20","Rust","1.61%","13:02","4.06%","140:33","18.15‱"
"21","SMITE","1.56%","10:21","2.77%","20:42","16.76‱"
"22","Tree of Savior (English Ver.)","1.54%","24:49","6.79%","73:18","35.12‱"
"23","Terraria","1.52%","12:42","4.92%","95:01","22.32‱"
"24","PAYDAY 2","1.28%","04:35","6.52%","43:24","31.35‱"
"25","ARK: Survival Evolved","1.24%","12:42","2.47%","172:16","11.38‱"
"26","Insurgency","1.15%","03:30","3.21%","18:49","16.63‱"
"27","Path of Exile","1.15%","12:01","7.88%","34:42","47.58‱"
"28","Trove","1.11%","05:15","10.5%","23:44","52.4‱"
"29","The Witcher 3: Wild Hunt","1.08%","12:23","1.75%","78:47","8.75‱"
"30","Robocraft","1.06%","07:00","10.09%","16:23","55.22‱"
"31","Arma 3","1.02%","14:43","1.63%","179:31","7.42‱"
"32","AdVenture Capitalist","1%","02:23","6.67%","24:21","33.79‱"
"33","Age of Empires II: HD Edition","0.98%","05:16","3.74%","35:19","18.27‱"
"34","Stardew Valley","0.91%","08:25","1.05%","39:10","5.1‱"
"35","Life Is Strange","0.91%","02:53","4.17%","06:48","30.7‱"
"36","Resident Evil 7 / Biohazard 7 Teaser: Beginning Hour","0.89%","00:42","0.96%","00:57","5.63‱"
"37","DiRT Showdown","0.85%","01:13","0.73%","04:01","11.87‱"
"38","Castle Crashers","0.85%","03:23","4.93%","12:15","23.31‱"
"39","Counter-Strike: Source","0.83%","07:55","6.08%","185:00","35.49‱"
"40","BARRIER X","0.82%","01:55","0.32%","02:02","2.72‱"
"41","War Thunder","0.82%","09:19","5.02%","48:22","36.11‱"
"42","DARK SOULS III","0.82%","15:13","0.73%","88:13","3.25‱"
"43","Creativerse","0.72%","05:50","5.57%","09:06","27.64‱"
"44","Transformice","0.72%","02:16","5.02%","13:10","26.03‱"
"45","H1Z1","0.72%","08:39","4.16%","75:05","18.55‱"
"46","The Binding of Isaac: Rebirth","0.7%","09:10","0.56%","85:21","2.57‱"
"47","Borderlands 2","0.7%","10:36","3.96%","45:57","19.57‱"
"48","Dirty Bomb","0.69%","01:46","5.69%","06:56","39.14‱"
"49","TERA","0.69%","12:00","5.69%","30:25","40.41‱"
"50","Portal 2","0.69%","02:51","5.91%","13:20","31.19‱"
