"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","30.43%","17:06","26.91%","141:54","136.55‱"
"2","Dota 2","15.21%","23:35","24.27%","327:29","121.01‱"
"3","Unturned","7.07%","04:19","22.98%","16:13","132.72‱"
"4","Left 4 Dead 2","3.9%","03:09","23.5%","37:58","129.92‱"
"5","Counter-Strike","3.9%","09:13","16.83%","335:21","95.11‱"
"6","Euro Truck Simulator 2","3.9%","06:10","4.7%","73:14","24.87‱"
"7","Team Fortress 2","3.79%","10:20","19.84%","71:36","98.94‱"
"8","Garry's Mod","3.17%","07:02","8.77%","57:42","47.45‱"
"9","Infinite Crisis™","3.17%","03:37","1.16%","03:37","9.12‱"
"10","PAYDAY 2","3.11%","10:57","6.84%","45:48","40.72‱"
"11","H1Z1","2.94%","08:53","2.2%","42:06","10.98‱"
"12","Warframe","2.55%","12:14","6.27%","45:58","43.93‱"
"13","DayZ","2.15%","05:41","2.68%","92:00","13.47‱"
"14","Infestation: Survivor Stories","2.09%","01:10","7.44%","66:58","38.33‱"
"15","The Elder Scrolls V: Skyrim","2.09%","07:52","6.75%","71:14","36.05‱"
"16","Rust","1.87%","10:09","4.03%","88:44","20.1‱"
"17","Borderlands 2","1.75%","06:52","5.34%","56:56","29.53‱"
"18","War Thunder","1.7%","19:32","3.86%","76:03","27.56‱"
"19","Counter-Strike: Source","1.64%","09:14","10.22%","178:31","65.89‱"
"20","Arma 3","1.58%","19:57","1.62%","104:50","8.08‱"
"21","Neverwinter","1.41%","12:38","4.55%","32:46","27.87‱"
"22","Grand Theft Auto IV","1.36%","01:40","6.69%","19:08","39.89‱"
"23","Call of Duty: Black Ops II - Multiplayer","1.36%","02:38","3.47%","105:49","18.13‱"
"24","No More Room in Hell","1.3%","01:26","5.05%","08:11","36.68‱"
"25","Cities: Skylines","1.24%","06:30","0.62%","09:28","3.11‱"
"26","Sid Meier's Civilization V","1.19%","10:31","4.13%","61:37","23.21‱"
"27","Robocraft","1.19%","02:04","7.85%","11:08","47.66‱"
"28","Resident Evil 5","1.13%","05:17","1.41%","20:16","8.6‱"
"29","Transformice","1.07%","07:02","2.39%","06:24","15.02‱"
"30","Heroes & Generals","1.07%","07:13","5.92%","11:58","38.33‱"
"31","Tom Clancy's Ghost Recon Phantoms - NA","1.02%","20:56","8.14%","36:26","57.71‱"
"32","DRAGON BALL XENOVERSE","1.02%","07:15","0.54%","33:02","2.69‱"
"33","Terraria","0.96%","00:57","6.48%","45:12","34.6‱"
"34","Killing Floor","0.96%","06:55","4.38%","41:10","34.4‱"
"35","Don't Starve","0.9%","01:57","4.2%","18:38","23.1‱"
"36","Far Cry® 3","0.9%","02:28","4.07%","26:58","23.83‱"
"37","PAYDAY: The Heist","0.9%","00:52","7.36%","05:40","52.42‱"
"38","BLOCKADE 3D","0.9%","02:15","2.76%","04:47","16.27‱"
"39","Max Payne 3","0.9%","02:41","4.49%","14:50","27.87‱"
"40","Portal 2","0.9%","02:23","8.02%","14:56","46.31‱"
"41","Dark Souls: Prepare to Die Edition","0.9%","04:53","2.66%","36:15","14.5‱"
"42","Age of Empires II: HD Edition","0.9%","02:40","4.24%","19:56","23.73‱"
"43","Path of Exile","0.85%","09:32","5.65%","28:06","37.92‱"
"44","Survarium","0.85%","01:08","0.31%","01:08","2.28‱"
"45","AdVenture Capitalist","0.85%","02:46","0.31%","02:46","2.18‱"
"46","The Binding of Isaac: Rebirth","0.85%","06:14","0.48%","57:24","2.38‱"
"47","Saints Row IV","0.79%","02:03","2.04%","16:53","16.68‱"
"48","Mortal Kombat Komplete Edition","0.79%","02:01","2.74%","11:35","16.37‱"
"49","Middle-earth: Shadow of Mordor","0.79%","05:40","1.37%","26:48","7.36‱"
"50","Don't Starve Together Beta","0.74%","06:03","1.91%","14:22","9.84‱"
