"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","38.91%","17:13","34.49%","251:23","158.86‱"
"2","Dota 2","15.56%","24:29","38.88%","376:12","176.21‱"
"3","LIMBO","8.48%","01:59","4.63%","02:27","37.13‱"
"4","Grand Theft Auto V","6.45%","08:51","7.71%","110:34","35.88‱"
"5","Unturned","5.55%","04:57","26.1%","21:43","133.43‱"
"6","Rocket League","5%","09:54","4.03%","55:50","18.5‱"
"7","Brawlhalla","4.67%","03:14","8.62%","10:04","41.9‱"
"8","H1Z1: King of the Kill","4.07%","12:17","3.78%","44:15","26.51‱"
"9","Team Fortress 2","4.05%","07:06","30.43%","77:19","137.93‱"
"10","Left 4 Dead 2","3.73%","03:00","17.73%","36:31","87.21‱"
"11","Garry's Mod","3.6%","04:45","8.57%","48:07","41.19‱"
"12","Euro Truck Simulator 2","3.43%","08:46","4.99%","124:41","23.91‱"
"13","Tree of Savior (English Ver.)","3.39%","19:53","6.47%","61:54","33.81‱"
"14","PAYDAY 2","3.31%","07:28","7.68%","42:11","39.06‱"
"15","Worm.is: The Game","2.82%","02:19","3.37%","03:06","16.5‱"
"16","The Elder Scrolls V: Skyrim","2.63%","08:37","6.76%","91:00","32.43‱"
"17","Warframe","2.2%","15:19","9.41%","66:50","63.17‱"
"18","Trove","2.01%","06:51","9.86%","28:18","50.96‱"
"19","EasyAntiCheat eSports","1.97%","16:20","3.34%","51:44","16.16‱"
"20","Terraria","1.8%","06:14","5.57%","68:24","26.68‱"
"21","Don't Starve Together Beta","1.78%","05:13","3.67%","23:34","22.22‱"
"22","AdVenture Capitalist","1.78%","04:24","6.66%","28:51","35.54‱"
"23","Tom Clancy's Rainbow Six Siege","1.78%","14:35","1.31%","92:35","5.99‱"
"24","Counter-Strike","1.7%","09:18","11.94%","331:19","60.83‱"
"25","The Witcher 3: Wild Hunt","1.68%","11:36","1.83%","72:15","9.27‱"
"26","Rust","1.5%","11:52","4.26%","115:19","19.51‱"
"27","ARK: Survival Evolved","1.48%","18:46","2.7%","139:37","12.92‱"
"28","BlackShot: Mercenary Warfare FPS","1.4%","03:59","1.12%","03:36","7.71‱"
"29","Arma 3","1.34%","15:58","1.84%","221:55","8.49‱"
"30","Age of Empires II: HD Edition","1.32%","04:28","3.98%","23:56","20.02‱"
"31","H1Z1","1.29%","05:45","5.03%","87:25","22.93‱"
"32","Heroes & Generals","1.25%","03:15","8.51%","09:43","50.82‱"
"33","War Thunder","1.23%","07:03","4.81%","40:44","36.79‱"
"34","SpeedRunners","1.19%","01:50","2.16%","19:15","10.58‱"
"35","Robocraft","1.19%","05:39","9.51%","17:23","53.12‱"
"36","Insurgency","1.17%","03:50","3.03%","16:41","15.76‱"
"37","Path of Exile","1.17%","11:23","7.26%","38:20","44.23‱"
"38","DayZ","1.15%","06:37","2.09%","82:31","9.5‱"
"39","Clicker Heroes","1.14%","13:40","4.17%","61:05","23.23‱"
"40","Creativerse","1.08%","03:24","4.33%","09:30","22.89‱"
"41","Portal 2","1.06%","02:40","6.24%","12:40","33.51‱"
"42","Call of Duty: Black Ops III","0.98%","08:57","1.03%","54:43","4.67‱"
"43","Counter-Strike: Source","0.97%","07:54","6.48%","170:01","38.65‱"
"44","Arma 2: Operation Arrowhead","0.97%","05:35","3.11%","52:44","15.96‱"
"45","TERA","0.95%","14:54","5.69%","29:18","42.34‱"
"46","Sid Meier's Civilization V","0.93%","10:15","3.1%","81:53","15.99‱"
"47","Mitos.is: The Game","0.91%","03:29","3.74%","12:06","18.77‱"
"48","Transformice","0.89%","02:52","4.78%","13:21","26.27‱"
"49","Borderlands 2","0.87%","05:56","4.51%","47:37","22.45‱"
"50","Castle Crashers","0.81%","04:20","5.04%","12:40","24.68‱"
