"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","26.74%","17:21","25.54%","161:28","128.14‱"
"2","Dota 2","25.44%","26:51","43.28%","341:09","212.8‱"
"3","Grand Theft Auto V","12%","21:41","5.2%","49:45","26.94‱"
"4","Unturned","6.79%","04:36","21.68%","15:49","124.07‱"
"5","Team Fortress 2","5.28%","07:21","33.51%","75:58","164.76‱"
"6","AdVenture Capitalist","4.37%","06:33","2.23%","13:34","13.07‱"
"7","Euro Truck Simulator 2","4.14%","07:42","4.7%","88:24","24.82‱"
"8","Counter-Strike","3.58%","09:39","15.68%","336:33","85.16‱"
"9","The Elder Scrolls V: Skyrim","3.56%","12:45","7.11%","86:06","47.18‱"
"10","Left 4 Dead 2","3.19%","02:08","20.7%","31:09","113.46‱"
"11","Garry's Mod","2.95%","04:49","8.62%","44:59","45.19‱"
"12","Arma 3","2.21%","13:34","2.13%","111:23","164.34‱"
"13","Robocraft","1.91%","05:22","7.71%","13:38","48.25‱"
"14","Warframe","1.88%","10:52","6.13%","59:40","43.7‱"
"15","War Thunder","1.65%","07:18","3.73%","33:09","30‱"
"16","H1Z1","1.63%","08:59","1.81%","44:15","8.95‱"
"17","Magicka: Wizard Wars","1.58%","02:00","4.72%","04:05","33.48‱"
"18","Call of Duty: Black Ops II - Multiplayer","1.58%","05:07","2.91%","123:54","15.15‱"
"19","TERA","1.56%","08:09","0.58%","08:09","6.32‱"
"20","Rust","1.56%","14:26","3.89%","89:17","19.22‱"
"21","Counter-Strike: Source","1.46%","09:31","9.02%","210:25","54.91‱"
"22","PAYDAY 2","1.42%","08:34","6.08%","39:19","33.22‱"
"23","Terraria","1.42%","13:28","6.41%","50:50","33.78‱"
"24","Marvel Heroes 2015","1.4%","08:43","2.62%","28:51","25.08‱"
"25","Tom Clancy's Ghost Recon Phantoms - NA","1.28%","07:16","8.17%","25:05","56.31‱"
"26","BLOCKADE 3D","1.16%","02:19","2.99%","05:32","18.08‱"
"27","Heroes & Generals","1.12%","03:00","5.99%","05:27","40.9‱"
"28","Mortal Kombat X","1.09%","11:01","0.48%","22:34","2.55‱"
"29","METAL SLUG DEFENSE","1.05%","00:47","0.39%","00:47","2.76‱"
"30","Grand Theft Auto IV","1.05%","01:55","6.71%","18:32","38.74‱"
"31","Don't Starve","1.02%","03:33","3.95%","23:10","21.13‱"
"32","The Witcher 2: Assassins of Kings Enhanced Edition","1.02%","02:53","3.02%","12:55","22.96‱"
"33","DayZ","0.98%","07:47","2.39%","87:25","11.88‱"
"34","Mortal Kombat Komplete Edition","0.98%","01:54","2.91%","14:16","15.83‱"
"35","SpeedRunners","0.95%","04:44","1.46%","13:34","7.89‱"
"36","No More Room in Hell","0.91%","01:46","4.82%","08:18","34.62‱"
"37","Survarium","0.91%","00:43","1.48%","01:02","13.11‱"
"38","Sid Meier's Civilization V","0.91%","08:04","3.35%","76:48","18.33‱"
"39","Path of Exile","0.88%","12:10","4.96%","29:50","35.35‱"
"40","ORION: Prelude","0.86%","00:21","3.08%","03:16","181.69‱"
"41","Killing Floor 2","0.84%","11:56","0.35%","16:29","1.74‱"
"42","Killing Floor","0.84%","01:12","4.37%","41:51","24.78‱"
"43","Borderlands 2","0.81%","07:33","5.01%","43:57","26.86‱"
"44","Don't Starve Together Beta","0.81%","04:14","1.79%","15:34","9.55‱"
"45","Middle-earth: Shadow of Mordor","0.79%","05:05","1.28%","19:52","6.96‱"
"46","Infinite Crisis™","0.77%","08:20","1.61%","04:36","12.98‱"
"47","Neverwinter","0.74%","14:43","4.51%","40:48","28.13‱"
"48","Copa Petrobras de Marcas","0.74%","00:27","0.98%","00:31","7.43‱"
"49","The Witcher: Enhanced Edition","0.74%","03:09","2.45%","14:11","17.57‱"
"50","Transformice","0.74%","03:23","2.3%","06:33","15.02‱"
