"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","23.5%","14:33","33.96%","311:27","78.77‱"
"2","PLAYERUNKNOWN'S BATTLEGROUNDS","16.29%","15:21","8.08%","63:14","18.65‱"
"3","Dota 2","10.99%","21:37","35.72%","335:53","81.01‱"
"4","Rocket League","6.06%","09:19","9.71%","92:47","23.19‱"
"5","Garry's Mod","5.9%","10:56","21.56%","118:44","53.01‱"
"6","Grand Theft Auto V","4.76%","07:56","9.73%","113:24","22.61‱"
"7","Team Fortress 2","4.43%","12:03","40.03%","121:54","90.8‱"
"8","Tom Clancy's Rainbow Six Siege","3.81%","12:33","4.15%","91:41","9.53‱"
"9","Unturned","3.7%","06:05","20.89%","26:34","56.84‱"
"10","H1Z1: King of the Kill","3.4%","17:20","6.57%","66:48","18.67‱"
"11","PAYDAY 2: Ultimate Edition","3.21%","07:16","14.61%","55:22","41.39‱"
"12","Left 4 Dead 2","3.18%","03:19","21.23%","39:19","54.78‱"
"13","Terraria","2.94%","10:53","16.54%","84:30","39.55‱"
"14","Rust","2.86%","17:10","9.17%","129:39","22.07‱"
"15","Warframe","2.77%","15:42","12.33%","86:45","38.26‱"
"16","Sid Meier's Civilization V","2.67%","11:48","15.36%","150:57","37.3‱"
"17","Fallout 4","2.47%","19:03","7.78%","109:56","18.36‱"
"18","The Elder Scrolls V: Skyrim","2.37%","07:24","16.45%","116:09","38.64‱"
"19","ARK: Survival Evolved","2.34%","23:37","7.71%","135:52","18.4‱"
"20","Paladins","2.34%","04:21","7.77%","15:53","20.12‱"
"21","7 Days to Die","2.15%","11:06","4.59%","85:54","11.05‱"
"22","Arma 3","2.12%","09:28","5.37%","186:44","12.52‱"
"23","Stardew Valley","1.9%","14:09","6.22%","49:45","15.16‱"
"24","Borderlands 2","1.82%","09:00","14.47%","67:00","35.28‱"
"25","Brawlhalla","1.66%","03:05","7.65%","13:39","18.98‱"
"26","Middle-earth: Shadow of Mordor","1.66%","06:09","5.94%","20:16","16.14‱"
"27","The Binding of Isaac: Rebirth","1.63%","07:40","3.76%","119:21","8.9‱"
"28","Gigantic","1.58%","03:06","0.57%","03:06","1.61‱"
"29","Sid Meiers Civilization VI","1.58%","11:51","2.88%","62:33","6.64‱"
"30","Wallpaper Engine","1.52%","01:00","2.09%","23:43","4.83‱"
"31","Total War: WARHAMMER","1.52%","16:24","2.46%","73:58","6.28‱"
"32","Mount & Blade: Warband","1.52%","05:56","4.96%","111:18","12.48‱"
"33","Insurgency","1.5%","02:51","6.09%","24:30","16.37‱"
"34","War Thunder","1.44%","05:42","8.48%","49:40","27.01‱"
"35","Golf With Your Friends","1.36%","01:36","2.91%","07:05","7.04‱"
"36","Black Desert Online","1.36%","34:09","1.58%","40:53","3.8‱"
"37","The Elder Scrolls V: Skyrim Special Edition","1.31%","07:07","4.51%","25:09","21.35‱"
"38","The Witcher 3: Wild Hunt","1.31%","15:02","5.28%","68:01","13.66‱"
"39","DOOM","1.28%","03:37","3.5%","15:45","8.52‱"
"40","Jotun: Valhalla Edition","1.28%","00:54","0.81%","01:27","6.6‱"
"41","Killing Floor 2","1.25%","04:38","2.94%","39:55","6.91‱"
"42","DARK SOULS III","1.25%","07:35","3.29%","89:25","7.98‱"
"43","Starbound","1.25%","08:48","6.75%","56:01","15.79‱"
"44","Loading Screen Simulator","1.2%","00:44","0.45%","00:44","1.12‱"
"45","Cities: Skylines","1.2%","08:11","5.95%","35:03","14.18‱"
"46","Path of Exile","1.2%","11:11","9.93%","61:35","28.64‱"
"47","SMITE","1.17%","11:59","6.18%","44:45","17.4‱"
"48","Portal 2","1.14%","03:15","14.13%","17:40","38.86‱"
"49","The Forest","1.12%","05:00","5.26%","22:25","12.57‱"
"50","Fallout: New Vegas","1.09%","05:14","9.47%","59:50","24.55‱"
