"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","27.08%","12:57","32.71%","270:25","87.46‱"
"2","Dota 2","12.23%","21:54","35.54%","281:49","92.24‱"
"3","Garry's Mod","6.43%","09:36","22.64%","126:04","62.84‱"
"4","Team Fortress 2","6.17%","08:47","42.1%","125:00","109.28‱"
"5","Rocket League","5.96%","08:26","7.24%","55:09","19.83‱"
"6","Grand Theft Auto V","5.16%","06:58","7.45%","94:28","19.6‱"
"7","Sid Meier's Civilization V","4.75%","11:47","16.81%","153:09","46.09‱"
"8","Fallout 4","4.26%","14:44","7.18%","98:32","19.05‱"
"9","The Elder Scrolls V: Skyrim","4.14%","07:41","18.54%","112:21","50.4‱"
"10","Terraria","3.62%","07:13","18.07%","79:48","49.24‱"
"11","Unturned","3.03%","05:52","19.28%","19:57","62.06‱"
"12","Total War: WARHAMMER","2.84%","29:33","1.11%","33:11","2.94‱"
"13","The Witcher 3: Wild Hunt","2.65%","13:30","3.42%","50:20","10.31‱"
"14","Left 4 Dead 2","2.58%","04:53","21.73%","49:39","63.95‱"
"15","ARK: Survival Evolved","2.46%","22:03","6%","87:51","16.23‱"
"16","Rust","2.41%","16:01","7.96%","80:22","21.14‱"
"17","Warframe","2.11%","16:39","10.94%","78:13","39.45‱"
"18","DARK SOULS III","2.08%","14:16","2.14%","67:56","5.62‱"
"19","Arma 3","2.06%","16:49","4.68%","145:02","12.32‱"
"20","Brawlhalla","2.03%","02:32","4.96%","09:45","14.1‱"
"21","Insurgency","1.92%","03:38","5.69%","21:40","17.39‱"
"22","PAYDAY 2","1.89%","06:05","11.68%","56:19","33.27‱"
"23","War Thunder","1.89%","07:26","8.16%","48:26","31.16‱"
"24","DOOM","1.68%","06:34","1.02%","14:48","2.77‱"
"25","SMITE","1.61%","06:30","4.45%","30:24","15.47‱"
"26","H1Z1: King of the Kill","1.54%","13:19","2.02%","28:54","13.34‱"
"27","Don't Starve Together Beta","1.54%","05:11","6.79%","18:43","25.78‱"
"28","DayZ","1.49%","06:49","7.2%","78:29","18.88‱"
"29","Borderlands 2","1.44%","06:06","14.83%","61:54","41.66‱"
"30","Stardew Valley","1.42%","09:16","3.55%","39:16","9.48‱"
"31","Tom Clancy's Rainbow Six Siege","1.35%","09:21","1.41%","70:46","3.81‱"
"32","Mount & Blade: Warband","1.28%","09:27","4.87%","95:14","13.7‱"
"33","Trove","1.18%","09:01","6.7%","31:31","21.25‱"
"34","Counter-Strike: Source","1.18%","06:18","16.8%","101:30","53.53‱"
"35","Dark Souls: Prepare to Die Edition","1.14%","11:32","6.02%","42:14","17.68‱"
"36","AdVenture Capitalist","1.06%","04:44","4.21%","55:32","14.19‱"
"37","TERA","0.99%","12:42","5.33%","36:03","20.38‱"
"38","Robocraft","0.99%","05:34","9.02%","21:50","31.68‱"
"39","Path of Exile","0.97%","20:59","8.12%","61:12","27.84‱"
"40","The Forest","0.97%","02:36","4.22%","15:25","11.87‱"
"41","Undertale","0.95%","03:03","4.34%","12:47","12.58‱"
"42","Clicker Heroes","0.95%","17:47","4.27%","117:47","15‱"
"43","Dirty Bomb","0.95%","02:37","6.53%","11:33","23.08‱"
"44","Call of Duty: Black Ops III","0.92%","07:02","1.67%","56:49","4.36‱"
"45","Heroes & Generals","0.92%","03:51","7.85%","11:47","28.39‱"
"46","Call of Duty: World at War","0.9%","05:10","3.21%","46:06","9.5‱"
"47","Age of Empires II: HD Edition","0.9%","08:15","6.09%","29:54","18.1‱"
