"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","26.85%","14:25","30.42%","238:22","64.35‱"
"2","Dota 2","8.68%","23:38","26.89%","299:49","54.76‱"
"3","Garry's Mod","8.66%","07:47","30.67%","103:55","67.3‱"
"4","Fallout 4","7.2%","09:46","9.53%","64:58","19.8‱"
"5","Grand Theft Auto V","7.11%","06:56","10.27%","78:42","21.23‱"
"6","Rocket League","7.06%","06:19","7.71%","36:13","16.56‱"
"7","Team Fortress 2","6.39%","07:32","47.4%","100:32","96.53‱"
"8","Sid Meier's Civilization V","6.07%","09:28","20.18%","110:01","43.34‱"
"9","Football Manager 2016","5.58%","32:29","3.5%","128:31","7.15‱"
"10","The Elder Scrolls V: Skyrim","4.82%","06:43","25.68%","86:23","55.33‱"
"11","Arma 3","3.61%","13:39","7.78%","143:23","16.2‱"
"12","H1Z1","3.24%","07:53","5.66%","44:54","11.67‱"
"13","Euro Truck Simulator 2","3.22%","06:50","8.13%","46:32","18.46‱"
"14","Left 4 Dead 2","3.11%","02:54","26%","38:05","59.81‱"
"15","Rust","3.07%","15:34","8.09%","63:19","17.37‱"
"16","Terraria","2.73%","06:37","18.98%","60:14","40.71‱"
"17","ARK: Survival Evolved","2.67%","19:14","6.19%","80:52","13.08‱"
"18","Call of Duty: Black Ops III","2.64%","08:55","2.47%","41:24","5.16‱"
"19","The Binding of Isaac: Rebirth","2.58%","05:08","3.89%","78:48","8.23‱"
"20","Warframe","2.54%","13:58","9.67%","56:51","27.22‱"
"21","Unturned","2.52%","03:39","17.75%","11:22","43.85‱"
"22","DayZ","2.47%","06:56","11.91%","65:36","24.47‱"
"23","XCOM: Enemy Unknown","2.46%","06:50","9.36%","42:17","23.28‱"
"24","War Thunder","2.27%","06:07","10.07%","44:10","27.72‱"
"25","PAYDAY 2","2.24%","06:08","12.85%","51:03","28.64‱"
"26","Undertale","2.13%","04:00","2.87%","09:17","6.54‱"
"27","SMITE","2.11%","11:25","3.57%","22:57","9.85‱"
"28","Cities: Skylines","2.07%","05:00","6.78%","26:30","14.37‱"
"29","Mount & Blade: Warband","2.06%","07:56","7.08%","112:50","15.78‱"
"30","Borderlands 2","1.99%","07:11","14.92%","49:55","33.07‱"
"31","Insurgency","1.91%","02:29","6.57%","13:31","17.29‱"
"32","Just Cause 3","1.88%","03:46","2%","21:23","4.31‱"
"33","METAL GEAR SOLID V: THE PHANTOM PAIN","1.86%","07:52","3.04%","48:00","6.43‱"
"34","AdVenture Capitalist","1.77%","06:31","5.12%","30:39","12.63‱"
"35","Clicker Heroes","1.71%","16:31","4.55%","68:55","11.47‱"
"36","Total War: ROME II - Emperor Edition","1.68%","08:27","7.35%","97:55","15.99‱"
"37","Darkest Dungeon","1.61%","07:20","1.73%","14:35","3.7‱"
"38","Counter-Strike: Source","1.53%","02:19","21.7%","85:10","55.77‱"
"39","Rise of the Tomb Raider™","1.48%","08:17","0.65%","08:17","1.53‱"
"40","Football Manager 2015","1.47%","26:36","5.48%","375:43","11.28‱"
"41","Sven Co-op","1.45%","01:49","0.63%","01:49","1.82‱"
"42","Prison Architect","1.45%","04:22","8.01%","26:55","17.69‱"
"43","Portal 2","1.4%","04:04","19.35%","15:44","45.54‱"
"44","Arma 2: Operation Arrowhead","1.38%","06:15","12.99%","55:59","29.49‱"
"45","Europa Universalis IV","1.32%","15:55","2.48%","179:24","5.61‱"
"46","Heroes & Generals","1.28%","02:40","10.84%","10:10","29.09‱"
"47","Dying Light","1.27%","04:24","3.67%","24:52","7.81‱"
"48","FTL: Faster Than Light","1.26%","03:10","9.51%","24:06","21.49‱"
"49","The Witcher 3: Wild Hunt","1.25%","10:47","2.39%","51:43","5.48‱"
