"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","24.71%","13:48","33.88%","321:58","64.55‱"
"2","PLAYERUNKNOWN'S BATTLEGROUNDS","8.35%","14:50","3.92%","34:11","7.35‱"
"3","Dota 2","7.03%","20:02","25.85%","312:31","47.88‱"
"4","Rocket League","7.03%","08:11","11.7%","76:27","22.67‱"
"5","Grand Theft Auto V","6.57%","07:28","12.36%","105:26","23.23‱"
"6","Garry's Mod","5.56%","12:43","29.66%","109:30","58.76‱"
"7","Football Manager 2017","4.06%","38:17","3.05%","245:53","5.68‱"
"8","H1Z1: King of the Kill","3.8%","08:50","5.83%","49:47","14.57‱"
"9","Arma 3","3.8%","16:28","8.96%","212:38","16.94‱"
"10","Team Fortress 2","3.4%","06:01","44.08%","93:33","81.65‱"
"11","Rust","3.19%","15:16","10.84%","100:41","21.32‱"
"12","Sid Meier's Civilization V","3.14%","08:21","19.37%","121:00","38.11‱"
"13","The Elder Scrolls V: Skyrim","2.74%","04:57","24.26%","94:36","46.98‱"
"14","Terraria","2.7%","05:44","18.13%","71:19","35.06‱"
"15","Fallout 4","2.67%","11:50","11.07%","108:13","20.98‱"
"16","Tom Clancy's Rainbow Six Siege","2.37%","09:53","3.53%","73:14","6.72‱"
"17","Fallout Shelter","2.2%","05:27","2.33%","09:44","5.69‱"
"18","Euro Truck Simulator 2","2.2%","09:17","8.25%","58:38","16.52‱"
"19","Left 4 Dead 2","2.18%","03:23","23.61%","34:26","48.72‱"
"20","DARK SOULS III","2.04%","11:08","3.18%","75:08","6.09‱"
"21","Stellaris","1.99%","13:59","2.43%","87:51","4.64‱"
"22","Total War: WARHAMMER","1.97%","11:01","4.59%","78:23","9.43‱"
"23","Hearts of Iron IV","1.92%","10:58","1.72%","120:17","3.22‱"
"24","War Thunder","1.92%","05:16","11.13%","58:37","27.77‱"
"25","Wallpaper Engine","1.92%","01:28","1.79%","06:01","3.36‱"
"26","The Elder Scrolls V: Skyrim Special Edition","1.92%","06:55","6.13%","20:53","24.8‱"
"27","Cities: Skylines","1.83%","03:44","8.87%","35:23","17.06‱"
"28","PAYDAY 2","1.81%","05:07","13.29%","58:32","26.81‱"
"29","ARK: Survival Evolved","1.78%","15:01","8.46%","106:05","16.36‱"
"30","Paladins","1.74%","05:58","6.08%","16:37","13.28‱"
"31","The Witcher 3: Wild Hunt","1.71%","11:02","4.92%","58:04","10.31‱"
"32","Mount & Blade: Warband","1.64%","05:53","6.41%","126:13","12.75‱"
"33","Europa Universalis IV","1.62%","14:32","2.8%","265:34","5.39‱"
"34","Sid Meiers Civilization VI","1.57%","07:33","3.07%","51:14","5.78‱"
"35","Warhammer 40,000: Dawn of War III","1.57%","10:26","0.62%","10:26","1.21‱"
"36","Alien Swarm: Reactive Drop","1.55%","01:47","0.69%","01:54","1.62‱"
"37","Warframe","1.5%","22:48","11.49%","77:35","29.13‱"
"38","DayZ","1.48%","08:26","10.57%","86:37","19.72‱"
"39","Unturned","1.48%","06:19","19.4%","19:23","42.58‱"
"40","The Binding of Isaac: Rebirth","1.43%","05:33","3.76%","88:18","7.07‱"
"41","Brawlhalla","1.34%","03:31","5.36%","14:00","11.25‱"
"42","Golf With Your Friends","1.29%","02:00","3.42%","07:43","6.63‱"
"43","Borderlands 2","1.24%","04:11","14.58%","46:01","29.22‱"
"44","Elite Dangerous","1.22%","14:35","3.96%","63:11","7.99‱"
"45","Subnautica","1.2%","04:09","3.18%","16:39","6.49‱"
"46","Last Man Standing","1.2%","03:42","0.92%","04:10","2.27‱"
"47","Call of Duty: Black Ops III","1.15%","04:36","3.65%","65:56","7.02‱"
"48","DOOM","1.15%","02:18","4.5%","13:09","8.91‱"
"49","Insurgency","1.1%","01:41","7%","16:57","15.37‱"
"50","Factorio","1.1%","15:48","2.37%","44:55","4.52‱"
