"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","23.23%","12:59","34.33%","326:32","65.98‱"
"2","PLAYERUNKNOWN'S BATTLEGROUNDS","14.87%","14:34","8.08%","66:43","15.3‱"
"3","Rocket League","7.24%","06:57","11.92%","85:00","23.45‱"
"4","Dota 2","6.51%","22:51","25.82%","324:21","48.41‱"
"5","Garry's Mod","5.72%","10:04","29.4%","122:32","58.66‱"
"6","Grand Theft Auto V","5.2%","10:24","12.64%","106:09","24.05‱"
"7","Football Manager 2017","3.94%","38:28","3.3%","343:57","6.35‱"
"8","Team Fortress 2","3.73%","09:44","43.89%","104:25","82.27‱"
"9","The Elder Scrolls V: Skyrim","3.47%","10:07","22.93%","104:29","44.72‱"
"10","Sid Meier's Civilization V","3.44%","09:44","18.52%","108:15","36.51‱"
"11","Tom Clancy's Rainbow Six Siege","3.25%","10:43","3.83%","88:04","7.33‱"
"12","Arma 3","3.18%","17:19","9.38%","153:32","18.11‱"
"13","H1Z1: King of the Kill","2.92%","10:39","6.27%","54:38","15.94‱"
"14","Euro Truck Simulator 2","2.9%","07:23","8.82%","55:25","18.17‱"
"15","Fallout 4","2.9%","10:08","11.03%","107:35","21.37‱"
"16","Terraria","2.87%","07:23","16.98%","71:06","33.59‱"
"17","Rust","2.8%","15:53","11.56%","98:18","23.01‱"
"18","PAYDAY 2: Ultimate Edition","2.68%","05:16","15.89%","53:37","37.8‱"
"19","Warframe","2.57%","17:05","11.89%","61:49","29.38‱"
"20","Left 4 Dead 2","2.49%","02:34","23.24%","32:24","49.37‱"
"21","Total War: WARHAMMER","2.38%","07:34","4.71%","73:22","9.75‱"
"22","Wallpaper Engine","2.28%","02:16","2.52%","11:25","4.76‱"
"23","ARK: Survival Evolved","2.26%","19:16","8.95%","119:29","17.36‱"
"24","The Elder Scrolls V: Skyrim Special Edition","1.9%","09:09","6.53%","26:49","24.01‱"
"25","Unturned","1.88%","05:57","19.35%","20:22","42.69‱"
"26","Paladins","1.85%","06:19","6.7%","15:16","14.96‱"
"27","Cities: Skylines","1.85%","06:07","8.72%","38:49","17.01‱"
"28","War Thunder","1.76%","12:20","10.98%","54:09","27.44‱"
"29","Middle-earth: Shadow of Mordor","1.69%","03:53","8.37%","19:06","18.34‱"
"30","Portal 2","1.66%","02:12","18.32%","15:45","39.83‱"
"31","DOOM","1.62%","02:17","4.85%","11:31","10.06‱"
"32","7 Days to Die","1.62%","14:43","4.41%","50:12","8.63‱"
"33","The Witcher 3: Wild Hunt","1.62%","08:28","5.33%","60:28","11.43‱"
"34","Mount & Blade: Warband","1.59%","09:32","6.69%","113:15","13.53‱"
"35","Brawlhalla","1.47%","03:29","5.6%","13:31","11.9‱"
"36","The Binding of Isaac: Rebirth","1.45%","03:31","3.65%","85:54","7.16‱"
"37","Borderlands 2","1.45%","04:57","13.6%","51:44","27.53‱"
"38","Golf With Your Friends","1.45%","01:06","4.17%","07:38","8.21‱"
"39","Age of Empires II HD","1.38%","06:20","7.84%","27:54","16.47‱"
"40","Hearts of Iron IV","1.38%","12:19","1.83%","97:56","3.48‱"
"41","Sid Meiers Civilization VI","1.33%","09:01","2.98%","50:05","5.74‱"
"42","Prison Architect","1.33%","04:54","8.39%","32:42","17.15‱"
"43","Total War: ROME II - Emperor Edition","1.33%","10:09","6.84%","123:56","13.55‱"
"44","Europa Universalis IV","1.28%","19:50","2.77%","196:38","5.67‱"
"45","Stardew Valley","1.24%","09:44","5.11%","39:52","10.34‱"
"46","Gigantic","1.16%","04:30","0.46%","04:30","1.16‱"
"47","Call of Duty: Black Ops III","1.14%","04:08","3.35%","65:32","6.48‱"
"48","XCOM 2","1.12%","11:12","4.02%","52:10","8.47‱"
"49","The Forest","1.12%","04:01","6.25%","18:56","12.27‱"
"50","Insurgency","1.09%","02:49","7.21%","14:10","16.26‱"
