"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","25.88%","12:50","32.97%","277:24","68.72‱"
"2","Rocket League","9.74%","08:20","10.08%","65:06","21.52‱"
"3","Dota 2","7.81%","18:52","26.78%","299:10","54.11‱"
"4","Garry's Mod","6.46%","07:21","30.22%","107:47","65.25‱"
"5","Grand Theft Auto V","5.83%","07:18","10.46%","98:10","21.53‱"
"6","Team Fortress 2","5.35%","08:31","45.41%","99:19","91.77‱"
"7","The Elder Scrolls V: Skyrim","5.06%","08:24","24.37%","95:41","51.59‱"
"8","Arma 3","4.59%","15:36","8.39%","186:32","17.35‱"
"9","Fallout 4","4.35%","09:36","9.47%","93:39","19.5‱"
"10","Football Manager 2016","4.29%","29:08","4.36%","306:30","8.85‱"
"11","Sid Meier's Civilization V","4%","07:28","19.48%","108:40","41.55‱"
"12","Rust","2.91%","12:24","10.06%","85:59","21.56‱"
"13","Unturned","2.79%","05:38","18.87%","16:59","45.48‱"
"14","Terraria","2.74%","07:44","17.88%","63:26","37.89‱"
"15","Left 4 Dead 2","2.54%","02:48","23.9%","32:53","53.93‱"
"16","Borderlands 2","2.54%","06:27","14.1%","51:59","30.97‱"
"17","ARK: Survival Evolved","2.32%","19:55","7.45%","92:15","15.78‱"
"18","Total War: WARHAMMER","2.18%","08:27","3.34%","54:53","6.93‱"
"19","H1Z1: King of the Kill","2.15%","08:07","2.97%","27:11","12.25‱"
"20","Euro Truck Simulator 2","2.07%","05:36","7.68%","47:16","17.35‱"
"21","War Thunder","2.07%","07:13","10.44%","44:55","28.68‱"
"22","Mount & Blade: Warband","1.89%","11:32","6.46%","122:45","14.61‱"
"23","Cities: Skylines","1.83%","07:31","7.51%","25:57","15.81‱"
"24","Deus Ex: Mankind Divided","1.83%","08:28","1.2%","22:55","2.48‱"
"25","Call of Duty: Black Ops III","1.79%","05:10","3.44%","59:44","7.22‱"
"26","Warframe","1.71%","13:11","10.74%","61:23","29.57‱"
"27","The Binding of Isaac: Rebirth","1.71%","04:33","3.74%","90:18","7.74‱"
"28","PAYDAY 2","1.69%","04:45","13.13%","53:38","28.71‱"
"29","Golf With Friends","1.67%","01:55","2.21%","05:40","4.84‱"
"30","SMITE","1.65%","09:28","5.28%","34:08","14.18‱"
"31","BioShock Remastered","1.61%","02:05","0.63%","02:05","21.7‱"
"32","DayZ","1.54%","04:57","10.84%","75:42","22.22‱"
"33","Tropico 4","1.44%","03:22","4.48%","17:54","13.61‱"
"34","Brawlhalla","1.42%","02:10","4.38%","08:44","9.64‱"
"35","Paladins","1.38%","01:58","0.54%","01:58","1.59‱"
"36","Insurgency","1.38%","02:25","6.62%","16:14","16.48‱"
"37","DOOM","1.36%","02:41","3.03%","13:23","6.49‱"
"38","Tom Clancy's Rainbow Six Siege","1.34%","09:02","1.65%","59:44","3.43‱"
"39","Total War: ROME II - Emperor Edition","1.32%","10:16","6.84%","121:57","14.73‱"
"40","Prison Architect","1.26%","05:07","8.24%","27:56","17.96‱"
"41","Heroes & Generals","1.26%","02:46","11.52%","10:16","29.37‱"
"42","Call of Duty: World at War","1.24%","02:27","4.48%","27:47","9.64‱"
"43","Hearts of Iron IV","1.22%","11:39","1.07%","56:12","2.2‱"
"44","AdVenture Capitalist","1.22%","05:12","5.61%","38:23","13.5‱"
"45","No Man's Sky","1.16%","06:28","2.22%","22:30","4.54‱"
"46","Europa Universalis IV","1.16%","12:06","2.55%","157:08","5.57‱"
"47","The Forest","1.14%","02:39","5.1%","14:38","11.06‱"
"48","DARK SOULS III","1.14%","09:16","2.34%","67:28","4.81‱"
"49","Dead by Daylight","1.14%","09:28","1.36%","24:41","2.96‱"
"50","Space Engineers","1.12%","07:26","5.98%","47:11","13.47‱"
