"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","44.29%","16:16","37.61%","346:43","156.83‱"
"2","Dota 2","38.09%","23:12","65.44%","513:08","270.51‱"
"3","Grand Theft Auto V","6.49%","09:17","7.54%","135:52","31.81‱"
"4","Paladins","3.85%","05:27","6.32%","12:47","30.05‱"
"5","Counter-Strike","3.61%","10:41","14.59%","272:06","80.09‱"
"6","Garry's Mod","3.25%","07:17","11.83%","73:04","51.02‱"
"7","Rust","3.25%","14:57","8.04%","118:43","33.67‱"
"8","Team Fortress 2","3.04%","07:55","26.79%","64:11","110.75‱"
"9","Counter-Strike: Source","2.88%","07:36","14.69%","211:08","83.17‱"
"10","Unturned","2.74%","05:29","19.38%","23:00","101.87‱"
"11","PAYDAY 2","2.46%","05:19","11.62%","53:38","50.37‱"
"12","Left 4 Dead 2","2.37%","03:57","14.69%","39:53","67.5‱"
"13","Warframe","2.31%","17:05","10.49%","78:21","65.67‱"
"14","Rocket League","2.16%","05:43","2.83%","45:14","11.94‱"
"15","Terraria","2.11%","08:41","6.54%","60:49","28.04‱"
"16","War Thunder","2.01%","08:41","9.4%","39:43","60.5‱"
"17","The Elder Scrolls V: Skyrim","2.01%","10:20","7.67%","100:33","33.46‱"
"18","Euro Truck Simulator 2","1.79%","06:58","3.73%","69:33","16.14‱"
"19","Dead by Daylight","1.62%","10:01","1.78%","52:25","7.7‱"
"20","World of Tanks Blitz","1.5%","08:02","2.29%","12:25","12.29‱"
"21","Don't Starve Together Beta","1.41%","06:10","4.03%","23:13","20.03‱"
"22","Tom Clancy's Rainbow Six Siege","1.41%","09:28","1.15%","84:28","5.14‱"
"23","Heroes & Generals","1.35%","02:49","11.56%","11:50","66.76‱"
"24","Arma 3","1.29%","20:11","2.05%","243:44","8.68‱"
"25","The Witcher 3: Wild Hunt","1.19%","13:45","2.47%","114:03","11.48‱"
"26","Insurgency","1.07%","02:34","3.59%","17:06","16.49‱"
"27","Sid Meier's Civilization V","1.06%","10:28","5.02%","100:16","22‱"
"28","Infestation: The New Z","1.03%","04:30","1.61%","05:05","8.72‱"
"29","SMITE","1%","11:37","4.34%","31:15","23.51‱"
"30","Resident Evil 7 / Biohazard 7 Teaser: Beginning Hour","1%","00:39","0.93%","00:46","4.82‱"
"31","ARK: Survival Evolved","0.93%","24:56","2.4%","97:14","10.9‱"
"32","Battlefield: Bad Company 2","0.86%","04:23","2.35%","21:28","10.63‱"
"33","Chivalry: Medieval Warfare","0.85%","03:02","4.75%","11:59","22.25‱"
"34","DayZ","0.84%","07:32","3.61%","109:29","14.94‱"
"35","Path of Exile","0.83%","15:55","2.17%","33:55","16.39‱"
"36","The Forest","0.82%","05:02","2.73%","16:26","11.54‱"
"37","The Elder Scrolls V: Skyrim Special Edition","0.79%","10:45","1.72%","17:37","17.82‱"
"38","Portal 2","0.79%","02:11","6.8%","12:36","34.46‱"
"39","Fallout 4","0.75%","11:01","1.91%","102:15","8.27‱"
"40","Mortal Kombat X","0.72%","04:22","1.37%","23:25","6.46‱"
"41","The Binding of Isaac: Rebirth","0.71%","09:15","0.78%","96:49","3.35‱"
"42","Tom Clancy's The Division","0.71%","08:50","0.89%","75:59","3.76‱"
"43","H1Z1: King of the Kill","0.67%","10:21","0.79%","41:27","5.43‱"
"44","Geometry Dash","0.65%","09:09","0.71%","51:23","3.08‱"
"45","7 Days to Die","0.63%","08:22","2.01%","42:08","8.66‱"
"46","Arma 2: Operation Arrowhead","0.63%","08:18","3.95%","88:39","18.01‱"
"47","Dying Light","0.61%","05:23","2.48%","34:28","10.79‱"
"48","Borderlands 2 RU","0.58%","04:09","4.06%","45:29","19.28‱"
"49","Killing Floor 2","0.57%","08:46","0.78%","49:12","3.41‱"
"50","RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil","0.56%","10:41","0.19%","10:39","0.82‱"
