"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","44.45%","15:19","36.59%","325:02","159.19‱"
"2","Dota 2","41.88%","20:19","65.48%","505:43","281.86‱"
"3","Grand Theft Auto V","4.99%","07:52","6.61%","133:22","28.88‱"
"4","Unturned","4.63%","05:57","19.02%","19:17","106.34‱"
"5","Counter-Strike","4.16%","10:34","15.04%","284:20","86.79‱"
"6","Garry's Mod","3.51%","06:47","12.07%","64:50","54.3‱"
"7","Rust","3.46%","15:54","8.04%","114:29","34.96‱"
"8","Team Fortress 2","3.14%","08:26","27.55%","62:38","118.57‱"
"9","Counter-Strike: Source","2.73%","07:32","15.29%","196:43","91.36‱"
"10","PAYDAY 2","2.66%","07:00","11.46%","53:45","51.75‱"
"11","War Thunder","2.45%","07:07","9.52%","41:54","64.55‱"
"12","Rocket League","2.33%","08:34","2.56%","38:49","11.37‱"
"13","Paladins","2.13%","02:43","0.72%","02:44","4.01‱"
"14","The Elder Scrolls V: Skyrim","2.02%","08:00","8.01%","92:07","36.39‱"
"15","Warframe","2%","11:02","10.19%","76:20","67.65‱"
"16","Terraria","1.92%","04:35","6.99%","55:08","31.02‱"
"17","Left 4 Dead 2","1.72%","03:09","15.18%","40:19","71.85‱"
"18","Euro Truck Simulator 2","1.68%","07:11","3.68%","65:35","16.44‱"
"19","Path of Exile","1.59%","13:35","1%","14:59","11.25‱"
"20","Sid Meier's Civilization V","1.44%","07:35","5%","86:08","22.82‱"
"21","Heroes & Generals","1.4%","04:49","10.37%","12:01","64.22‱"
"22","Dead by Daylight","1.38%","11:01","1.04%","32:18","4.67‱"
"23","The Witcher 3: Wild Hunt","1.24%","11:25","2.43%","107:39","11.39‱"
"24","Borderlands 2 RU","1.17%","06:22","4.23%","47:51","20.63‱"
"25","Titan Quest Anniversary Edition","1.13%","07:59","0.55%","08:34","8.38‱"
"26","Arma 3","1.02%","15:18","2.06%","168:47","8.94‱"
"27","Evolve","1.02%","02:54","3.82%","08:42","23.94‱"
"28","ARK: Survival Evolved","0.99%","21:52","2.27%","79:24","10.43‱"
"29","DayZ","0.95%","05:28","3.82%","101:19","16.49‱"
"30","Trove","0.94%","06:43","5.4%","20:29","29.93‱"
"31","Don't Starve Together Beta","0.94%","03:41","3.97%","18:59","20.93‱"
"32","Robocraft","0.94%","04:27","7.63%","18:49","50.22‱"
"33","SMITE","0.85%","08:03","4.02%","24:40","23.48‱"
"34","Clicker Heroes","0.83%","17:52","4.09%","76:03","24.91‱"
"35","Tom Clancy's Rainbow Six Siege","0.76%","09:12","0.7%","76:17","3.09‱"
"36","Deus Ex: Mankind Divided","0.76%","12:02","0.48%","27:06","2.2‱"
"37","Fallout 4","0.72%","12:57","1.66%","102:21","7.35‱"
"38","Tropico 4","0.72%","03:29","1.06%","10:44","7.5‱"
"39","Insurgency","0.69%","03:12","3.23%","17:27","15.47‱"
"40","Everlasting Summer","0.62%","05:10","3.54%","12:33","20.66‱"
"41","This War of Mine","0.61%","04:56","1.22%","13:37","6.1‱"
"42","Call of Duty: Modern Warfare 3 - Multiplayer","0.6%","05:50","4.11%","174:23","18.55‱"
"43","Arma 2: Operation Arrowhead","0.58%","12:25","4.06%","76:24","19.44‱"
"44","Starbound","0.57%","06:45","2%","41:39","8.85‱"
"45","Portal 2","0.56%","02:19","6.93%","13:38","35.77‱"
"46","Mount & Blade: Warband","0.55%","05:31","1.63%","56:21","7.94‱"
"47","Mad Max","0.52%","05:29","0.96%","25:33","4.94‱"
"48","The Binding of Isaac: Rebirth","0.46%","04:52","0.81%","84:58","3.54‱"
"49","Chivalry: Medieval Warfare","0.44%","02:28","4.34%","15:38","20.38‱"
"50","Spintires","0.44%","03:58","1.05%","34:39","4.6‱"
