"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","44.18%","15:16","36.51%","319:43","163.3‱"
"2","Dota 2","43.57%","21:40","65.32%","520:58","289.6‱"
"3","Unturned","6.51%","06:00","18.65%","19:43","106.39‱"
"4","Grand Theft Auto V","5.6%","08:12","6.56%","126:46","29.59‱"
"5","Garry's Mod","4.03%","09:05","12.01%","71:15","55.38‱"
"6","Counter-Strike","4.02%","10:19","14.98%","290:00","89.6‱"
"7","Rust","3.77%","17:07","8%","115:31","35.94‱"
"8","Team Fortress 2","3.29%","07:49","26.89%","67:01","119.22‱"
"9","PAYDAY 2","2.96%","06:12","11.55%","52:37","53.41‱"
"10","Counter-Strike: Source","2.72%","06:18","15.48%","201:29","94.32‱"
"11","War Thunder","2.65%","05:55","9.27%","41:57","64.47‱"
"12","The Elder Scrolls V: Skyrim","2.3%","09:24","7.79%","95:56","36.35‱"
"13","Warframe","2.2%","15:28","10.03%","71:46","67.54‱"
"14","Left 4 Dead 2","2.1%","03:37","15.04%","42:08","73.28‱"
"15","Rocket League","1.9%","05:35","2.39%","38:42","10.83‱"
"16","Heroes & Generals","1.8%","05:57","10.24%","12:52","64.42‱"
"17","Euro Truck Simulator 2","1.73%","06:21","3.52%","64:13","16.26‱"
"18","Dead by Daylight","1.64%","12:29","1.02%","30:25","4.73‱"
"19","Evolve","1.54%","03:41","3.67%","08:39","23.65‱"
"20","Terraria","1.45%","08:09","6.58%","54:14","30.43‱"
"21","The Witcher 3: Wild Hunt","1.43%","10:41","2.37%","110:23","11.46‱"
"22","Sid Meier's Civilization V","1.37%","08:08","5.22%","93:00","24.53‱"
"23","Path of Exile","1.34%","06:42","0.71%","15:27","10.16‱"
"24","Deus Ex: Mankind Divided","1.16%","20:00","0.42%","20:42","2.02‱"
"25","Titan Quest Anniversary Edition","1.08%","05:12","0.38%","05:12","8.09‱"
"26","Trove","1.03%","05:59","5.08%","20:15","28.39‱"
"27","Don't Starve Together Beta","0.98%","03:52","3.76%","18:43","20.57‱"
"28","SMITE","0.98%","11:24","3.93%","27:51","23.35‱"
"29","Arma 3","0.96%","17:08","1.91%","180:41","8.57‱"
"30","Tom Clancy's Rainbow Six Siege","0.96%","10:19","0.79%","81:44","3.61‱"
"31","Clicker Heroes","0.95%","14:55","3.99%","60:45","24.96‱"
"32","Fallout 4","0.92%","15:36","1.72%","92:25","7.77‱"
"33","Robocraft","0.91%","04:24","7.49%","19:20","50.25‱"
"34","DayZ","0.89%","07:40","3.85%","93:23","17.11‱"
"35","Insurgency","0.87%","03:33","3.27%","15:30","15.78‱"
"36","ARK: Survival Evolved","0.78%","13:59","2.09%","77:41","9.93‱"
"37","Everlasting Summer","0.72%","02:50","3.48%","13:06","21.41‱"
"38","Arma 2: Operation Arrowhead","0.68%","12:14","3.96%","81:03","19.3‱"
"39","Starbound","0.64%","07:52","2.05%","40:17","9.24‱"
"40","Depth","0.61%","02:28","1.05%","06:19","5‱"
"41","The Binding of Isaac: Rebirth","0.61%","06:50","0.81%","83:39","3.63‱"
"42","Portal 2","0.6%","02:56","6.71%","14:48","35.53‱"
"43","DOOM","0.6%","03:13","0.86%","16:21","4.02‱"
"44","Mount & Blade: Warband","0.55%","07:34","1.51%","56:52","7.43‱"
"45","DARK SOULS III","0.55%","08:18","0.74%","69:31","3.36‱"
"46","No More Room in Hell","0.55%","02:19","5.3%","07:12","36.73‱"
"47","Killing Floor 2","0.54%","08:48","0.67%","37:54","3.05‱"
"48","Call of Duty: Modern Warfare 3 - Multiplayer","0.53%","06:09","4.09%","179:36","19.19‱"
"49","Chivalry: Medieval Warfare","0.53%","03:03","4.5%","12:56","21.47‱"
"50","The Pirate: Caribbean Hunt","0.52%","03:51","0.19%","03:51","1.12‱"
