"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","62.2%","19:19","53.65%","512:20","209.22‱"
"2","Team Fortress 2","5.67%","06:07","36.39%","84:05","141.47‱"
"3","Euro Truck Simulator 2","5.26%","06:27","8.64%","83:45","34.15‱"
"4","Garry's Mod","4.61%","07:52","11.19%","62:13","45.77‱"
"5","H1Z1: King of the Kill","4.51%","08:51","4.37%","48:28","18.72‱"
"6","Unturned","4.13%","05:19","26.73%","27:17","121.14‱"
"7","Paladins","4.03%","05:45","9.94%","13:06","44.21‱"
"8","Dota 2","3.55%","18:43","20.56%","188:22","79.92‱"
"9","Counter-Strike","3.02%","10:26","18.6%","543:40","76.8‱"
"10","Rocket League","2.97%","06:46","4.2%","63:27","16.51‱"
"11","Grand Theft Auto V","2.39%","11:04","2.61%","104:55","10.32‱"
"12","The Elder Scrolls V: Skyrim","2.24%","07:33","9.5%","105:26","38.53‱"
"13","Rust","2.14%","12:49","4.37%","79:38","17.99‱"
"14","PAYDAY 2","1.96%","05:50","7.49%","51:34","30.86‱"
"15","War Thunder","1.59%","07:09","7.87%","39:50","45.9‱"
"16","Warframe","1.49%","17:50","7.71%","73:35","43.26‱"
"17","Terraria","1.49%","04:32","6.01%","74:46","23.93‱"
"18","Left 4 Dead 2","1.46%","02:19","13.88%","33:29","58.99‱"
"19","BLOCKADE 3D","1.46%","02:42","9.93%","10:24","46.51‱"
"20","The Forest","1.46%","03:36","3.15%","28:58","12.61‱"
"21","Europa Universalis IV","1.33%","07:16","1.74%","177:54","6.89‱"
"22","Robocraft","1.31%","04:27","11.67%","19:48","57.69‱"
"23","DiRT 3 Complete Edition","1.26%","02:04","5.67%","06:04","36.49‱"
"24","Mount & Blade: Warband","1.26%","09:30","4.02%","93:09","16.47‱"
"25","The Binding of Isaac: Rebirth","1.23%","08:20","1.53%","128:31","5.94‱"
"26","Don't Starve Together Beta","1.21%","04:03","4.25%","25:37","20.59‱"
"27","Heroes & Generals","1.21%","04:24","11.28%","13:16","55.74‱"
"28","Infestation: The New Z","1.18%","02:56","2.69%","06:36","13.78‱"
"29","DiRT Showdown","1.06%","01:23","1.66%","04:34","19.98‱"
"30","Sid Meier's Civilization V","0.98%","11:21","6.51%","98:46","27‱"
"31","Hurtworld","0.86%","14:24","1.66%","111:35","6.59‱"
"32","SMITE","0.81%","07:11","5.54%","25:38","27.96‱"
"33","American Truck Simulator","0.78%","02:02","1.22%","32:03","4.81‱"
"34","S.K.I.L.L. - Special Force 2","0.78%","04:38","5.21%","13:16","27.48‱"
"35","Geometry Dash","0.78%","11:29","0.77%","82:42","2.99‱"
"36","Grand Theft Auto: San Andreas","0.76%","05:07","2.53%","20:16","12.87‱"
"37","Company of Heroes 2","0.73%","05:52","2.24%","58:37","10.4‱"
"38","Clicker Heroes","0.71%","11:57","6.78%","42:49","32.55‱"
"39","Counter-Strike: Source","0.71%","07:35","6.28%","207:02","31.29‱"
"40","Brawlhalla","0.71%","03:16","3.92%","07:48","16.77‱"
"41","Tom Clancy's Rainbow Six Siege","0.71%","05:41","0.65%","49:12","2.86‱"
"42","Block N Load Beta","0.71%","05:09","2.43%","06:32","13.44‱"
"43","AdVenture Capitalist","0.68%","02:34","6.21%","21:56","31.42‱"
"44","Sid Meier’s Civilization® VI","0.68%","13:12","0.68%","49:27","2.64‱"
"45","World of Tanks Blitz","0.68%","05:44","1.32%","09:57","7.11‱"
"46","Arma 3","0.68%","21:12","1.75%","160:26","6.93‱"
"47","Cities: Skylines","0.68%","05:52","1.98%","38:00","7.76‱"
"48","Trove","0.65%","04:50","9.57%","15:50","45.68‱"
"49","Warface","0.65%","03:12","7.18%","15:27","41.83‱"
"50","Path of Exile","0.65%","07:23","6.49%","42:18","34.07‱"
