"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","65.15%","17:38","53.12%","447:24","231.08‱"
"2","Unturned","5.82%","04:17","24.46%","20:11","128.26‱"
"3","Team Fortress 2","5.64%","07:32","36.06%","87:01","156.34‱"
"4","Garry's Mod","4.88%","05:12","10.24%","58:32","47.02‱"
"5","Dota 2","4.09%","13:35","21.88%","170:48","94.87‱"
"6","Counter-Strike","3.46%","11:54","20.72%","562:28","95.09‱"
"7","Euro Truck Simulator 2","3.31%","07:37","6.83%","72:39","30.62‱"
"8","Rocket League","2.68%","05:10","2.8%","33:52","12.18‱"
"9","Robocraft","2.65%","05:18","10.8%","18:52","60.75‱"
"10","The Elder Scrolls V: Skyrim","2.34%","05:37","9.57%","102:08","43.03‱"
"11","PAYDAY 2","1.89%","04:37","6.3%","62:17","28.26‱"
"12","Left 4 Dead 2","1.84%","02:22","15.27%","35:34","73.47‱"
"13","Terraria","1.8%","03:45","5.95%","60:08","26.08‱"
"14","Sid Meier's Civilization V","1.55%","07:56","6.29%","102:28","28.81‱"
"15","AdVenture Capitalist","1.55%","07:33","6.33%","32:33","36.03‱"
"16","Warframe","1.46%","15:08","6.92%","68:06","45.71‱"
"17","H1Z1: King of the Kill","1.44%","04:46","1.59%","16:54","11.18‱"
"18","Hurtworld","1.37%","19:13","1.09%","81:03","4.73‱"
"19","Don't Starve Together Beta","1.33%","04:56","3.98%","20:02","22.54‱"
"20","War Thunder","1.33%","05:41","6.58%","42:24","47.16‱"
"21","Mount & Blade: Warband","1.33%","06:02","4.11%","103:37","18.86‱"
"22","The Forest","1.28%","03:02","2.55%","27:57","11.04‱"
"23","Shakes and Fidget","1.26%","11:40","2.25%","23:54","11.04‱"
"24","Clicker Heroes","1.26%","11:16","5.85%","73:03","33.76‱"
"25","Europa Universalis IV","1.24%","11:28","1.59%","174:51","7‱"
"26","Rust","1.24%","11:55","2.88%","87:52","12.68‱"
"27","BLOCKADE 3D","1.24%","01:50","8.69%","15:28","47.84‱"
"28","SMITE","1.12%","08:46","3.87%","21:32","22.94‱"
"29","Grand Theft Auto V","1.1%","07:45","1.56%","101:11","6.91‱"
"30","Trove","1.08%","03:23","8.22%","15:14","46.3‱"
"31","S.K.I.L.L. - Special Force 2","0.99%","03:50","3.7%","12:09","23.44‱"
"32","Arma 3","0.92%","10:53","1.74%","159:07","7.63‱"
"33","Warface","0.85%","02:16","6.9%","08:46","45.66‱"
"34","Dying Light","0.81%","05:30","2.23%","34:30","10‱"
"35","Heroes & Generals","0.76%","03:49","8.88%","10:04","51.75‱"
"36","Borderlands 2","0.72%","02:24","4.23%","48:59","19.99‱"
"37","DayZ","0.72%","04:00","2.24%","91:28","9.72‱"
"38","Don't Starve","0.7%","03:12","4.04%","22:33","18.4‱"
"39","Dark Souls: Prepare to Die Edition","0.7%","11:10","2.04%","45:16","9.45‱"
"40","DARK SOULS III","0.7%","16:20","0.38%","42:06","1.64‱"
"41","Cities: Skylines","0.67%","05:17","1.52%","30:52","6.63‱"
"42","Path of Exile","0.65%","17:43","5.89%","38:53","35.62‱"
"43","Saints Row: The Third","0.63%","06:38","5.27%","33:58","25.31‱"
"44","Dirty Bomb","0.63%","04:26","4.23%","07:00","27.76‱"
"45","Company of Heroes 2","0.63%","07:27","2.03%","80:12","10.77‱"
"46","Bloons TD Battles","0.61%","01:37","0.36%","02:20","1.77‱"
"47","Transformice","0.61%","02:12","2.24%","14:06","12.31‱"
"48","Fallout 4","0.61%","18:24","1.68%","70:33","7.31‱"
"49","American Truck Simulator","0.61%","04:30","0.69%","25:54","3.04‱"
