"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","56.22%","14:31","54.35%","576:15","184.71‱"
"2","Business Tour - Online Multiplayer Board Game","8.72%","02:05","7.71%","05:16","28.6‱"
"3","Euro Truck Simulator 2","5.98%","06:13","9.57%","93:54","33.16‱"
"4","PLAYERUNKNOWN'S BATTLEGROUNDS","5.54%","12:12","3.09%","75:44","10.55‱"
"5","Team Fortress 2","4.61%","09:03","37.16%","83:52","125.9‱"
"6","Paladins","4.04%","05:27","15.63%","19:56","60.6‱"
"7","Dota 2","3.86%","17:31","20.46%","210:16","69.33‱"
"8","Rocket League","3.62%","06:50","4.64%","90:45","16.05‱"
"9","Unturned","3.26%","04:26","27.7%","28:04","109.74‱"
"10","Garry's Mod","3.18%","04:26","11.45%","75:56","40.34‱"
"11","H1Z1: King of the Kill","3.1%","06:40","5.11%","72:04","18.65‱"
"12","Outlast","2.77%","01:13","2.95%","03:06","25.06‱"
"13","PAYDAY 2: Ultimate Edition","2.23%","03:16","15.7%","36:32","75.43‱"
"14","Grand Theft Auto V","2.23%","10:16","3.11%","138:13","10.73‱"
"15","Counter-Strike","2.1%","07:18","16.52%","537:05","59.55‱"
"16","Warframe","1.84%","08:02","8.87%","58:45","43.46‱"
"17","Warface: Blackout","1.66%","02:42","9.27%","12:19","45.35‱"
"18","Terraria","1.63%","07:50","6.49%","77:11","22.26‱"
"19","Path of Exile","1.58%","12:34","7.82%","45:52","35.68‱"
"20","Fallout: A Post Nuclear Role Playing Game","1.5%","00:26","0.91%","02:51","15.28‱"
"21","War Thunder","1.42%","07:13","7.99%","41:57","40.62‱"
"22","Sid Meier's Civilization V","1.4%","09:06","6.09%","112:14","22.29‱"
"23","Europa Universalis IV","1.37%","14:19","1.78%","258:06","6.2‱"
"24","The Elder Scrolls V: Skyrim","1.35%","04:31","8.87%","113:02","31.26‱"
"25","Rust","1.24%","19:02","5%","106:14","17.91‱"
"26","Hearts of Iron IV","1.22%","08:40","0.84%","155:58","2.91‱"
"27","Tom Clancy's Rainbow Six Siege","1.14%","09:34","0.91%","143:41","3.12‱"
"28","Heroes & Generals","1.11%","04:43","11.98%","14:32","51.94‱"
"29","Left 4 Dead 2","1.09%","02:59","14.14%","34:30","52.19‱"
"30","Zula Europe","1.03%","04:20","2.73%","08:41","11.15‱"
"31","The Forest","1.03%","03:35","3.57%","33:56","12.48‱"
"32","Mount & Blade: Warband","1.03%","12:36","3.96%","137:22","13.91‱"
"33","Middle-earth: Shadow of Mordor","1.01%","03:46","3.83%","20:02","15‱"
"34","Don't Starve Together","0.98%","03:33","4.82%","37:29","19.14‱"
"35","BLOCKADE 3D","0.98%","02:05","10.3%","12:48","42.02‱"
"36","Robocraft","0.93%","03:52","12.38%","18:35","52.19‱"
"37","ARK: Survival Evolved","0.88%","18:57","2.04%","117:43","7.36‱"
"38","Fallout Shelter","0.83%","01:34","3.37%","08:46","15.21‱"
"39","Cities: Skylines","0.8%","06:17","2.5%","38:02","8.76‱"
"40","The Witcher 3: Wild Hunt","0.8%","11:16","1.39%","98:57","5.05‱"
"41","Black Squad","0.78%","01:45","1.79%","04:34","7.96‱"
"42","Crossout","0.75%","04:57","1.31%","08:56","5.47‱"
"43","Arma 3","0.75%","17:09","2.04%","226:43","6.97‱"
"44","Fallout 4","0.72%","08:45","2.24%","84:24","7.89‱"
"45","Football Manager 2017","0.72%","20:59","0.66%","289:27","2.24‱"
"46","Brawlhalla","0.7%","04:48","4.9%","10:46","18.26‱"
"47","DiRT 3 Complete Edition","0.67%","01:43","6.04%","06:52","29.83‱"
"48","The Elder Scrolls V: Skyrim Special Edition","0.67%","07:10","2.06%","25:37","13.25‱"
"49","The Binding of Isaac: Rebirth","0.65%","04:00","1.48%","103:21","5.08‱"
"50","Trove","0.65%","04:43","9.85%","20:47","39.82‱"
