"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","65%","16:25","51.66%","442:49","215.2‱"
"2","Unturned","6.93%","05:29","23.04%","18:45","119.69‱"
"3","Team Fortress 2","6.52%","06:40","39.27%","83:55","163.01‱"
"4","Garry's Mod","5.12%","06:25","10.91%","55:13","47.98‱"
"5","Euro Truck Simulator 2","5.01%","08:02","7.48%","68:47","32.31‱"
"6","Dota 2","4.89%","21:52","23.73%","197:16","98.51‱"
"7","Counter-Strike","4.82%","10:00","23.39%","537:07","100.69‱"
"8","The Elder Scrolls V: Skyrim","3.05%","05:46","10.76%","91:50","46.53‱"
"9","Left 4 Dead 2","2.68%","02:47","17.42%","30:28","79.03‱"
"10","BLOCKADE 3D","2.34%","02:35","8.29%","09:52","44.17‱"
"11","PAYDAY 2","2.34%","07:40","6.6%","46:44","28.44‱"
"12","Rocket League","2.29%","05:39","2.22%","36:43","9.32‱"
"13","Terraria","2.22%","07:20","6.87%","59:38","29.83‱"
"14","H1Z1","2.2%","09:44","2.43%","54:52","10.14‱"
"15","AdVenture Capitalist","1.99%","03:02","6.37%","22:43","35.16‱"
"16","Robocraft","1.93%","06:10","10.17%","17:27","57.82‱"
"17","Rust","1.8%","14:24","2.95%","73:36","12.46‱"
"18","The Binding of Isaac: Rebirth","1.68%","07:32","1.86%","79:35","7.75‱"
"19","Grand Theft Auto V","1.67%","09:03","1.9%","84:16","7.99‱"
"20","The Forest","1.61%","04:18","2.55%","19:08","10.68‱"
"21","Europa Universalis IV","1.56%","14:34","1.53%","167:18","6.47‱"
"22","Clicker Heroes","1.56%","17:53","6.14%","44:10","36.15‱"
"23","War Thunder","1.55%","06:47","7.47%","39:47","48.89‱"
"24","Sid Meier's Civilization V","1.53%","08:46","6.83%","84:41","30.28‱"
"25","Warframe","1.47%","14:30","7.03%","48:54","43.02‱"
"26","Fallout 4","1.37%","10:04","1.86%","65:22","7.75‱"
"27","Heroes & Generals","1.35%","05:22","8.53%","10:05","49.28‱"
"28","Mount & Blade: Warband","1.34%","06:58","4.22%","95:26","18.43‱"
"29","Trove","1.34%","05:15","8.61%","14:47","46.47‱"
"30","Sven Co-op","1.32%","01:26","0.65%","01:26","3.51‱"
"31","GRID 2","1.28%","04:08","2.95%","15:59","14.28‱"
"32","Don't Starve Together Beta","1.15%","03:59","4.27%","18:35","23.51‱"
"33","Arma 3","1.09%","16:27","1.95%","169:34","8.14‱"
"34","Dying Light","1.04%","05:17","2.06%","32:37","8.8‱"
"35","SMITE","1.01%","09:45","2.88%","13:46","18‱"
"36","Path of Exile","0.91%","11:43","6.14%","33:09","36.7‱"
"37","Counter-Strike: Source","0.89%","03:30","7.31%","229:46","35.22‱"
"38","Borderlands 2","0.89%","04:33","4.76%","47:13","21.33‱"
"39","Hurtworld","0.85%","24:29","0.52%","29:25","2.27‱"
"40","Spintires","0.83%","03:52","1.55%","26:15","6.75‱"
"41","Mitos.is: The Game","0.82%","01:30","0.92%","02:24","4.51‱"
"42","Don't Starve","0.8%","03:33","4.48%","20:12","20.15‱"
"43","Saints Row: The Third","0.77%","03:30","5.7%","32:40","26.65‱"
"44","Warface","0.77%","05:15","6.47%","13:40","42.11‱"
"45","Brawlhalla","0.76%","02:17","1.64%","05:15","8.14‱"
"46","PAYDAY: The Heist","0.73%","02:24","7.4%","04:56","41.54‱"
"47","Counter-Strike Nexon: Zombies","0.71%","08:43","6.91%","16:48","48.23‱"
"48","Creativerse","0.68%","04:40","1.09%","08:34","4.93‱"
"49","Tom Clancy's Ghost Recon Phantoms - EU","0.67%","06:43","7.18%","24:45","46.05‱"
"50","DayZ","0.64%","09:39","2.2%","93:56","9.14‱"
