"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","68.47%","20:05","48.42%","365:31","216.01‱"
"2","Team Fortress 2","6.46%","07:25","37.57%","88:09","167‱"
"3","Unturned","5.53%","04:21","20.28%","14:24","118.66‱"
"4","Dota 2","5%","15:13","22.48%","183:21","99.93‱"
"5","Counter-Strike","3.77%","08:44","24.12%","555:57","111.66‱"
"6","AdVenture Capitalist","3.63%","06:56","5.42%","21:23","33.21‱"
"7","Euro Truck Simulator 2","3.14%","06:44","6.1%","56:42","28.03‱"
"8","SpeedRunners","2.71%","02:02","2.04%","04:34","159.39‱"
"9","Garry's Mod","2.67%","05:11","8.47%","70:08","40.14‱"
"10","Clicker Heroes","2.54%","13:00","5.27%","44:45","33.09‱"
"11","The Elder Scrolls V: Skyrim","2.3%","06:25","9.69%","101:22","45.06‱"
"12","SMITE","2.01%","06:11","1.7%","08:37","11.17‱"
"13","Sid Meier's Civilization V","1.95%","08:30","6.56%","86:55","31.09‱"
"14","War Thunder","1.78%","04:09","6.13%","37:59","44.85‱"
"15","Left 4 Dead 2","1.72%","02:07","16.04%","34:23","77.51‱"
"16","Trove","1.68%","05:11","7.11%","11:31","42.43‱"
"17","PAYDAY 2","1.54%","05:20","5.14%","57:18","23.95‱"
"18","Robocraft","1.52%","04:03","8.9%","15:28","54.45‱"
"19","Terraria","1.41%","06:19","5.98%","57:49","27.48‱"
"20","Aftermath","1.39%","01:55","0.73%","01:50","5.14‱"
"21","BLOCKADE 3D","1.33%","01:16","6.47%","09:03","40.69‱"
"22","Call of Juarez Gunslinger","1.27%","02:57","1.45%","06:17","8.45‱"
"23","Mount & Blade: Warband","1.27%","05:59","4.29%","91:11","20.9‱"
"24","Warframe","1.27%","13:03","5.72%","42:48","40.77‱"
"25","Counter-Strike: Source","1.15%","10:02","7.52%","288:11","38.9‱"
"26","Rocket League","1.13%","05:37","0.93%","24:54","4.16‱"
"27","H1Z1","1.11%","15:33","1.39%","50:42","6.2‱"
"28","Europa Universalis IV","1.05%","16:30","1.03%","157:42","4.8‱"
"29","The Forest","1%","02:37","2.03%","15:19","9.09‱"
"30","Grand Theft Auto V","0.96%","07:29","1.18%","65:22","5.27‱"
"31","Rust","0.94%","09:01","1.95%","74:14","8.71‱"
"32","Saints Row: The Third","0.92%","04:33","5.43%","33:59","28.2‱"
"33","Heroes & Generals","0.92%","05:01","7.35%","09:25","47.53‱"
"34","Don't Starve Together Beta","0.88%","02:39","3.71%","15:22","23.49‱"
"35","Path of Exile","0.82%","13:25","5.75%","26:41","37.25‱"
"36","Borderlands 2","0.82%","06:11","4.35%","46:45","20.64‱"
"37","Tomb Raider","0.76%","06:16","3.43%","20:39","17.75‱"
"38","Block N Load Beta","0.76%","03:00","0.45%","05:25","3.1‱"
"39","The Binding of Isaac: Rebirth","0.72%","05:16","1.21%","65:22","5.52‱"
"40","Arma 3","0.72%","08:59","1.57%","111:52","7.05‱"
"41","Warface","0.72%","05:08","5.67%","09:44","40.39‱"
"42","Counter-Strike Nexon: Zombies","0.68%","08:31","6.19%","13:17","47.95‱"
"43","DayZ","0.66%","09:13","2.11%","91:52","9.39‱"
"44","ARK: Survival Evolved","0.66%","20:28","0.67%","103:52","2.97‱"
"45","Company of Heroes 2","0.64%","06:02","2.36%","53:13","14.14‱"
"46","Empire: Total War","0.62%","03:51","2.3%","96:21","12.74‱"
"47","WARMODE","0.61%","01:42","0.9%","01:52","5.22‱"
"48","Cities: Skylines","0.59%","04:39","0.91%","22:58","4.16‱"
"49","S.K.I.L.L. - Special Force 2","0.59%","05:17","2.01%","10:01","14.65‱"
"50","Dying Light","0.57%","05:28","1.59%","37:42","7.26‱"
