"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","66.99%","24:37","44.69%","300:33","188.6‱"
"2","Team Fortress 2","6.89%","07:59","36.89%","91:02","154.86‱"
"3","Counter-Strike","5.47%","07:33","26.11%","560:04","113.57‱"
"4","Dota 2","4.7%","15:21","22.77%","152:30","95.61‱"
"5","Left 4 Dead 2","4.54%","04:13","16.92%","34:11","79.28‱"
"6","Unturned","4.24%","02:41","17.94%","11:54","95.1‱"
"7","Euro Truck Simulator 2","3.97%","07:37","5.91%","56:22","26.1‱"
"8","Clicker Heroes","3.87%","12:39","2.95%","22:32","16.53‱"
"9","The Elder Scrolls V: Skyrim","3.35%","06:37","10.32%","102:07","45.42‱"
"10","Garry's Mod","3%","05:31","7.91%","57:29","36.48‱"
"11","AdVenture Capitalist","2.6%","06:46","2.49%","17:13","14.25‱"
"12","Terraria","2.43%","06:18","6.1%","46:36","26.61‱"
"13","PAYDAY 2","2.41%","10:27","4.61%","49:00","20.16‱"
"14","BLOCKADE 3D","1.99%","03:06","5.81%","08:32","32.6‱"
"15","Don't Starve Together Beta","1.85%","03:46","3.51%","13:39","22.56‱"
"16","Sid Meier's Civilization V","1.72%","10:37","6.77%","79:15","30.74‱"
"17","Chivalry: Medieval Warfare","1.64%","03:34","3.44%","14:09","16.45‱"
"18","Robocraft","1.46%","07:33","7.77%","16:18","45.72‱"
"19","Fallout: New Vegas","1.44%","07:26","3.79%","47:31","17.88‱"
"20","Mount & Blade: Warband","1.42%","08:13","4.02%","86:02","18.35‱"
"21","Dirty Bomb","1.32%","03:18","1.53%","04:41","10.5‱"
"22","Castle Crashers","1.26%","03:19","2.15%","08:22","9.91‱"
"23","War Thunder","1.24%","04:34","5.25%","44:11","34.83‱"
"24","Portal 2","1.18%","04:40","5.5%","18:07","26.48‱"
"25","Grand Theft Auto V","1.1%","11:17","0.93%","75:52","4.01‱"
"26","Warframe","1.09%","13:47","5.15%","59:47","31.76‱"
"27","Counter-Strike: Source","1.09%","05:09","8.11%","243:39","40.36‱"
"28","Don't Starve","1.09%","04:11","4.26%","18:32","19.1‱"
"29","Heroes & Generals","1.09%","02:34","6.44%","07:34","37.91‱"
"30","H1Z1","1.07%","11:21","1.12%","40:33","4.72‱"
"31","Borderlands 2","1.07%","05:23","4.27%","48:58","19.74‱"
"32","DayZ","0.99%","07:11","2.3%","73:48","9.7‱"
"33","The Witcher 2: Assassins of Kings Enhanced Edition","0.97%","07:12","3.48%","16:37","19.15‱"
"34","How to Survive","0.97%","02:38","1.59%","04:31","7.59‱"
"35","S.K.I.L.L. - Special Force 2","0.91%","06:27","1.08%","07:26","6.87‱"
"36","BattleBlock Theater","0.89%","03:12","1.31%","07:56","6.24‱"
"37","Infestation: Survivor Stories","0.89%","04:25","3.01%","56:27","13.03‱"
"38","Tom Clancy's Ghost Recon Phantoms - EU","0.85%","08:30","6.12%","26:12","40.99‱"
"39","Total War: ROME II - Emperor Edition","0.85%","06:19","2.61%","66:41","185.05‱"
"40","Europa Universalis IV","0.83%","22:38","1.04%","142:03","4.6‱"
"41","Path of Exile","0.83%","05:55","4.75%","43:04","29.27‱"
"42","Counter-Strike Nexon: Zombies","0.81%","04:05","5.87%","09:21","41.79‱"
"43","Prison Architect","0.81%","06:57","1.33%","14:32","6.33‱"
"44","Saints Row: The Third","0.81%","04:04","5.69%","33:58","27.67‱"
"45","Rust","0.81%","06:11","1.65%","58:07","6.92‱"
"46","The Forest","0.81%","03:19","1.38%","10:38","5.86‱"
"47","The Binding of Isaac: Rebirth","0.79%","06:28","1.07%","62:38","4.6‱"
"48","Grand Theft Auto: San Andreas","0.77%","03:33","2.03%","14:47","14‱"
"49","Empire: Total War","0.73%","04:58","2.65%","96:00","185.94‱"
"50","Call of Duty: Modern Warfare 3 - Multiplayer","0.73%","04:32","4.81%","148:58","20.79‱"
