"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","60.18%","14:54","53.38%","545:54","185.79‱"
"2","Euro Truck Simulator 2","5.61%","07:01","8.88%","106:47","31.93‱"
"3","Team Fortress 2","5.52%","05:19","36.39%","89:21","126.27‱"
"4","Paladins","5.14%","05:20","13.91%","19:36","54.97‱"
"5","Garry's Mod","3.92%","07:59","11.76%","72:39","42.56‱"
"6","Dota 2","3.61%","19:54","21.16%","217:54","73.42‱"
"7","Unturned","3.36%","04:07","26.87%","26:39","112.24‱"
"8","H1Z1: King of the Kill","2.79%","06:29","5.12%","49:39","19.09‱"
"9","Counter-Strike","2.79%","11:56","17.58%","538:02","64.28‱"
"10","Rocket League","2.7%","04:55","4.2%","73:21","14.79‱"
"11","Grand Theft Auto V","2.32%","08:35","3.36%","119:19","11.73‱"
"12","PLAYERUNKNOWN'S BATTLEGROUNDS","2.04%","14:19","1.02%","42:49","3.57‱"
"13","Metin2","1.94%","04:06","1.63%","05:06","6.89‱"
"14","Terraria","1.91%","07:17","6.09%","76:17","21.81‱"
"15","PAYDAY 2","1.72%","05:15","7.55%","59:49","27.68‱"
"16","Europa Universalis IV","1.72%","09:37","2%","261:27","7.18‱"
"17","Warframe","1.69%","09:32","8.57%","73:13","41.83‱"
"18","The Elder Scrolls V: Skyrim","1.57%","06:39","8.91%","101:04","32.4‱"
"19","Rust","1.44%","09:04","5.05%","95:34","18.49‱"
"20","War Thunder","1.44%","06:38","8.03%","33:16","41.49‱"
"21","Red Orchestra 2: Heroes of Stalingrad with Rising Storm","1.29%","02:38","3.31%","19:27","23.34‱"
"22","Sid Meier's Civilization V","1.29%","04:54","6.37%","97:48","23.68‱"
"23","Don't Starve Together","1.29%","08:19","4.84%","27:04","19.85‱"
"24","Mount & Blade: Warband","1.25%","10:42","4.03%","110:40","14.62‱"
"25","The Witcher 3: Wild Hunt","1.22%","06:23","1.24%","98:45","4.63‱"
"26","Fallout Shelter","1.19%","02:59","2.48%","06:48","11.01‱"
"27","Robocraft","1.03%","04:25","11.96%","20:28","51.61‱"
"28","The Forest","1%","03:29","3.68%","25:41","13.09‱"
"29","Warface: Ice Breaker","1%","09:00","8.21%","17:20","41.07‱"
"30","Arma 3","0.97%","12:42","2.35%","185:06","8.29‱"
"31","Cities: Skylines","0.94%","05:31","2.19%","34:13","7.78‱"
"32","BLOCKADE 3D","0.94%","01:21","9.72%","11:55","41.28‱"
"33","Heroes & Generals","0.91%","04:39","11.52%","09:58","52.12‱"
"34","Hurtworld","0.88%","21:50","1.99%","179:01","7.18‱"
"35","Last Man Standing","0.85%","01:31","1.67%","03:27","8.29‱"
"36","The Binding of Isaac: Rebirth","0.78%","03:17","1.49%","122:37","5.27‱"
"37","Tom Clancy's Rainbow Six Siege","0.75%","09:03","0.87%","65:55","3.06‱"
"38","Brawlhalla","0.75%","02:22","4.69%","11:35","17.9‱"
"39","DiRT 3 Complete Edition","0.72%","01:24","6.02%","05:19","32.48‱"
"40","Starpoint Gemini 2","0.69%","03:08","0.34%","09:29","4.25‱"
"41","Path of Exile","0.69%","10:45","7.46%","40:41","34.22‱"
"42","Hearts of Iron IV","0.69%","09:54","0.62%","110:09","2.17‱"
"43","Dying Light: The Following - Enhanced Edition","0.66%","08:48","2.68%","42:51","9.57‱"
"44","Shakes and Fidget","0.66%","09:28","3.65%","31:33","14.24‱"
"45","Awesomenauts","0.63%","04:48","1.4%","16:15","7.95‱"
"46","Trove","0.63%","01:59","9.53%","15:21","40.9‱"
"47","Total War: ROME II - Emperor Edition","0.6%","05:07","1.96%","103:57","7.74‱"
"48","Infestation: The New Z","0.56%","04:12","3.42%","06:36","15.6‱"
"49","ARK: Survival Evolved","0.56%","06:31","1.95%","70:18","7.31‱"
"50","Creativerse","0.56%","05:16","3.63%","08:08","14.62‱"
