"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","25.21%","14:02","27.39%","199:34","68.79‱"
"2","Fallout 4","14.79%","19:45","8.61%","67:44","21.12‱"
"3","Garry's Mod","8.55%","07:48","26.59%","126:45","69.46‱"
"4","Team Fortress 2","7.91%","08:14","49.96%","131:52","120.76‱"
"5","Dota 2","7.66%","20:04","28.28%","231:56","68.36‱"
"6","The Elder Scrolls V: Skyrim","5.82%","08:02","23.45%","111:17","59.38‱"
"7","Rocket League","5.47%","07:57","5.42%","40:37","14.21‱"
"8","Sid Meier's Civilization V","4.82%","12:13","18.51%","133:48","47.18‱"
"9","Grand Theft Auto V","4.71%","07:37","7.17%","75:20","17.69‱"
"10","Terraria","4.14%","08:26","20.28%","80:00","52.31‱"
"11","Warframe","3.55%","20:56","11.49%","81:42","37.4‱"
"12","Unturned","3.54%","04:58","19.97%","16:47","58.08‱"
"13","The Binding of Isaac: Rebirth","3.47%","09:47","3.94%","78:15","9.82‱"
"14","Left 4 Dead 2","3.11%","03:48","24.48%","45:52","67.91‱"
"15","ARK: Survival Evolved","2.7%","22:10","5.8%","85:04","14.49‱"
"16","H1Z1","2.44%","10:32","5.25%","54:35","12.97‱"
"17","AdVenture Capitalist","2.43%","06:17","4.26%","45:17","12.89‱"
"18","Arma 3","2.36%","12:55","4.97%","133:23","12.28‱"
"19","Fallout: New Vegas","2.32%","06:15","14.43%","58:15","39.88‱"
"20","Undertale","2.32%","05:21","2.65%","13:02","6.92‱"
"21","Borderlands 2","2.29%","06:38","17.08%","64:38","44.43‱"
"22","Call of Duty: Black Ops III","2.28%","13:57","1.37%","38:51","3.41‱"
"23","Killing Floor 2","2.26%","05:02","2.72%","19:34","6.88‱"
"24","War Thunder","2.15%","07:59","8.62%","50:10","29.16‱"
"25","PAYDAY 2","2.1%","06:48","11.61%","55:50","31.2‱"
"26","SMITE","1.91%","10:25","2.98%","20:15","9.91‱"
"27","Brawlhalla","1.87%","04:03","2.25%","07:29","6.31‱"
"28","Rust","1.86%","14:34","7.29%","71:37","18.13‱"
"29","DayZ","1.73%","05:56","8.7%","63:07","21.28‱"
"30","Insurgency","1.61%","04:11","5.4%","21:33","16.12‱"
"31","Clicker Heroes","1.56%","26:43","3.96%","106:15","11.83‱"
"32","Portal 2","1.52%","02:42","17.75%","17:51","50.15‱"
"33","Don't Starve Together Beta","1.48%","04:25","6.39%","15:15","26.39‱"
"34","Just Cause 3","1.44%","14:18","0.62%","16:08","1.62‱"
"35","Counter-Strike: Source","1.43%","04:07","18.23%","93:57","56.03‱"
"36","Starbound","1.4%","05:14","7.38%","52:57","18.31‱"
"37","Trove","1.36%","08:53","5.9%","22:51","17.31‱"
"38","Space Engineers","1.36%","08:34","4.75%","46:00","12.22‱"
"39","Emily is Away","1.35%","00:46","1.34%","00:58","3.63‱"
"40","Elite: Dangerous","1.33%","13:56","1.85%","46:26","5.05‱"
"41","Mount & Blade: Warband","1.29%","07:42","5.24%","100:31","14.35‱"
"42","TERA","1.25%","11:48","5.52%","28:39","19.25‱"
"43","Don't Starve","1.24%","05:25","7.85%","18:31","22.4‱"
"44","The Witcher 3: Wild Hunt","1.23%","09:38","2.4%","51:46","6.6‱"
"45","Path of Exile","1.21%","13:44","7.76%","46:09","25.24‱"
"46","Call of Duty: World at War","1.21%","06:32","3.74%","42:31","9.96‱"
"47","Star Wars - Battlefront II","1.2%","02:24","6.17%","09:53","18.41‱"
"48","Dirty Bomb","1.08%","04:26","6.78%","10:08","21.9‱"
"49","Heroes & Generals","1.05%","03:50","8.7%","11:08","28.22‱"
