"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","21.37%","13:45","30.41%","260:04","68.97‱"
"2","Garry's Mod","7.21%","08:35","26.89%","133:34","63.25‱"
"3","Rocket League","7.13%","09:10","10.2%","74:00","23.84‱"
"4","Dota 2","6.93%","19:39","27%","265:48","59.06‱"
"5","Team Fortress 2","5.65%","08:25","46.23%","128:34","101.13‱"
"6","Grand Theft Auto V","5.55%","10:17","9.28%","98:41","20.8‱"
"7","H1Z1: King of the Kill","4.48%","11:41","4.66%","48:29","15.77‱"
"8","Fallout 4","3.56%","09:37","10.43%","105:38","23.58‱"
"9","The Elder Scrolls V: Skyrim","3.53%","08:21","22.05%","116:29","50.37‱"
"10","Rust","3.45%","16:42","8.94%","93:10","20.91‱"
"11","ARK: Survival Evolved","3.42%","17:36","8.48%","113:28","19.69‱"
"12","Terraria","3.35%","08:58","19.28%","89:55","44.54‱"
"13","Sid Meier's Civilization V","3.09%","10:20","18.06%","148:28","41.83‱"
"14","Unturned","2.85%","07:05","21.84%","26:59","55.29‱"
"15","Tom Clancy's Rainbow Six Siege","2.79%","10:11","2.85%","74:38","6.57‱"
"16","The Binding of Isaac: Rebirth","2.77%","09:07","4.07%","96:50","9.2‱"
"17","Warframe","2.72%","13:49","13.3%","93:12","38.58‱"
"18","Arma 3","2.68%","15:38","5.68%","169:54","12.72‱"
"19","The Elder Scrolls V: Skyrim Special Edition","2.58%","08:52","5.39%","20:51","28.56‱"
"20","Paladins","2.5%","05:05","4.95%","12:12","12.7‱"
"21","Left 4 Dead 2","2.46%","04:09","22.6%","43:24","56.74‱"
"22","Stardew Valley","2.41%","10:03","5.83%","46:36","13.57‱"
"23","Sid Meier’s Civilization® VI","2.16%","11:30","3.34%","48:30","7.52‱"
"24","Brawlhalla","1.96%","03:26","6.81%","13:47","16.52‱"
"25","Borderlands 2","1.95%","06:31","16.07%","62:15","37.85‱"
"26","PAYDAY 2","1.87%","05:13","11.52%","60:21","28.06‱"
"27","SMITE","1.87%","11:26","6.47%","43:08","18.23‱"
"28","The Witcher 3: Wild Hunt","1.79%","09:23","4.66%","57:01","11.81‱"
"29","War Thunder","1.74%","08:19","9.36%","58:50","28.09‱"
"30","XCOM 2","1.65%","14:42","2.61%","52:31","6.55‱"
"31","The Forest","1.64%","05:00","5.57%","17:49","13.01‱"
"32","Don't Starve Together Beta","1.58%","05:26","8.29%","20:21","25.43‱"
"33","7 Days to Die","1.58%","11:36","4.83%","65:48","11.14‱"
"34","DARK SOULS III","1.57%","08:06","3.21%","76:43","7.26‱"
"35","DOOM","1.55%","03:52","3.96%","15:26","9.35‱"
"36","Killing Floor 2","1.53%","05:37","3.12%","29:01","7.06‱"
"37","Enter the Gungeon","1.42%","04:27","1.79%","18:15","4.14‱"
"38","RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil","1.4%","09:12","0.53%","09:12","1.23‱"
"39","Golf With Friends","1.37%","01:38","2.57%","06:02","6.13‱"
"40","Insurgency","1.34%","03:21","6.06%","23:32","16.12‱"
"41","Subnautica","1.27%","06:35","2.96%","19:53","6.89‱"
"42","Astroneer Alpha","1.25%","04:18","1.44%","09:25","3.27‱"
"43","Mount & Blade: Warband","1.21%","07:53","4.86%","102:12","12.03‱"
"44","Undertale","1.19%","02:14","7.2%","14:49","17.56‱"
"45","Starbound","1.19%","07:44","7.64%","61:03","17.24‱"
"46","Portal 2","1.19%","03:26","16.68%","18:08","42.91‱"
"47","Fallout: New Vegas","1.17%","06:12","12.85%","60:05","31.97‱"
"48","Path of Exile","1.15%","16:52","8.48%","50:18","24.05‱"
"49","Dead by Daylight","1.15%","07:10","2.44%","33:16","5.72‱"
"50","Cities: Skylines","1.11%","05:37","5.36%","31:19","12.45‱"
