"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","21.32%","17:17","23.58%","135:10","63.79‱"
"2","Garry's Mod","11.53%","08:54","27.55%","120:08","77.48‱"
"3","The Elder Scrolls V: Skyrim","7.95%","09:47","23.59%","110:48","63.83‱"
"4","Sid Meier's Civilization V","6.09%","11:30","20.09%","123:14","55.13‱"
"5","PAYDAY 2","5.01%","10:07","10.93%","51:10","32.78‱"
"6","Team Fortress 2","4.74%","10:01","22.48%","117:59","58.12‱"
"7","Borderlands 2","4.58%","06:39","17.98%","60:33","49.63‱"
"8","Cities: Skylines","4.56%","08:20","2.63%","14:36","6.92‱"
"9","Dota 2","3.97%","24:41","12.27%","209:30","31.74‱"
"10","Unturned","3.97%","05:04","18.73%","11:20","57.26‱"
"11","Warframe","3.75%","16:05","9.63%","67:13","32.06‱"
"12","DayZ","3.5%","07:37","9.97%","56:31","26.09‱"
"13","War Thunder","3.42%","09:15","7.02%","50:19","24.32‱"
"14","Terraria","3.24%","06:09","20.38%","64:41","56.91‱"
"15","H1Z1","3.06%","12:00","3.48%","32:40","9.23‱"
"16","Left 4 Dead 2","3.06%","03:36","26.7%","44:14","79.61‱"
"17","Arma 3","3.04%","18:12","4.86%","99:21","12.83‱"
"18","The Binding of Isaac: Rebirth","2.98%","07:20","3.31%","56:30","8.91‱"
"19","Counter-Strike: Source","2.45%","05:48","21.89%","94:30","71.11‱"
"20","Insurgency","2.33%","03:32","4.81%","16:53","15.67‱"
"21","Fallout: New Vegas","2.3%","06:28","13.1%","56:33","39.49‱"
"22","Pillars of Eternity","2.07%","16:02","0.85%","16:02","2.41‱"
"23","Robocraft","1.93%","07:49","7.68%","18:57","26.06‱"
"24","PlanetSide 2","1.87%","05:01","9.18%","38:07","29.34‱"
"25","Heroes & Generals","1.86%","06:07","6.81%","08:57","23.5‱"
"26","Mount & Blade: Warband","1.84%","09:41","5.41%","86:28","15.75‱"
"27","Killing Floor","1.81%","02:59","10.73%","42:23","36.57‱"
"28","Rust","1.73%","09:05","7.17%","60:29","18.88‱"
"29","Besiege","1.59%","02:08","3%","06:10","8.24‱"
"30","Infinite Crisis™","1.58%","04:23","0.65%","04:23","2.4‱"
"31","Don't Starve Together Beta","1.52%","04:17","4.13%","11:45","12.18‱"
"32","Portal 2","1.49%","02:25","18.97%","17:03","56.02‱"
"33","Kerbal Space Program","1.48%","06:19","5.36%","52:30","14.76‱"
"34","Borderlands: The Pre-Sequel","1.47%","08:52","2.71%","35:46","7.55‱"
"35","Chivalry: Medieval Warfare","1.33%","03:08","8.46%","23:08","24.14‱"
"36","Space Engineers","1.32%","08:14","4.94%","32:48","15.24‱"
"37","FTL: Faster Than Light","1.27%","02:50","9.25%","24:05","27.76‱"
"38","Arma 2: Operation Arrowhead","1.26%","09:46","10.26%","43:44","30.07‱"
"39","BioShock Infinite","1.26%","04:25","9.47%","15:22","31.97‱"
"40","DRAGON BALL XENOVERSE","1.25%","09:03","0.96%","31:51","2.53‱"
"41","Dark Souls: Prepare to Die Edition","1.21%","05:58","6.95%","35:42","20.77‱"
"42","Path of Exile","1.2%","11:27","6.82%","44:55","23.09‱"
"43","Total War: ROME II - Emperor Edition","1.19%","08:56","3.58%","103:56","11‱"
"44","Starbound","1.19%","08:05","8%","50:18","21.05‱"
"45","Dying Light","1.16%","06:20","1.71%","28:10","4.5‱"
"46","Reign Of Kings","1.14%","13:57","0.56%","19:37","1.53‱"
"47","7 Days to Die","1.12%","07:46","3.81%","32:48","10.18‱"
"48","DARK SOULS™ II","1.1%","10:34","3.12%","67:17","8.75‱"
"49","The Forest","1.07%","01:13","3.8%","08:22","10.21‱"
"50","Don't Starve","1.04%","03:35","8.11%","17:40","24.54‱"
