"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","24.63%","16:40","26.02%","189:12","66.69‱"
"2","Team Fortress 2","10%","10:17","49.88%","130:46","123.03‱"
"3","Garry's Mod","8.67%","07:55","26.45%","121:49","70.5‱"
"4","Dota 2","8.39%","20:16","27.64%","217:44","68.19‱"
"5","The Elder Scrolls V: Skyrim","6%","08:10","23.04%","111:04","59.56‱"
"6","Rocket League","5.28%","08:19","4.32%","30:02","11.62‱"
"7","Sid Meier's Civilization V","4.73%","10:55","18.28%","131:36","47.64‱"
"8","Terraria","4.62%","09:45","19.94%","79:38","52.47‱"
"9","Unturned","4.39%","05:35","19.24%","15:42","58.03‱"
"10","Grand Theft Auto V","4.3%","08:28","6.53%","73:52","16.33‱"
"11","METAL GEAR SOLID V: THE PHANTOM PAIN","3.72%","18:39","2.16%","55:09","5.73‱"
"12","ARK: Survival Evolved","3.67%","20:05","5.05%","69:15","12.85‱"
"13","H1Z1","3.15%","10:16","5.05%","50:35","12.74‱"
"14","Warframe","3.07%","16:26","10.88%","77:42","36.57‱"
"15","AdVenture Capitalist","3%","10:25","3.71%","39:58","11.69‱"
"16","PAYDAY 2","2.88%","07:53","11.34%","53:03","31.06‱"
"17","Borderlands 2","2.82%","07:37","16.83%","63:43","45.11‱"
"18","Fallout: New Vegas","2.81%","06:48","13.8%","60:46","39.08‱"
"19","Arma 3","2.68%","13:29","4.78%","131:33","12.1‱"
"20","SMITE","2.62%","10:02","1.78%","12:14","6.76‱"
"21","Left 4 Dead 2","2.6%","04:38","24.23%","44:32","68.78‱"
"22","The Binding of Isaac: Rebirth","2.39%","06:09","3.54%","63:04","9.09‱"
"23","War Thunder","2.24%","07:49","8.12%","52:19","28.34‱"
"24","Clicker Heroes","2.23%","30:18","3.56%","95:39","11.26‱"
"25","Cities: Skylines","2.13%","06:42","3.86%","23:33","9.84‱"
"26","DayZ","1.75%","08:20","8.86%","62:54","22.07‱"
"27","Trove","1.73%","10:10","5.08%","19:56","15.76‱"
"28","Rust","1.72%","11:00","7.22%","64:36","18.03‱"
"29","Counter-Strike: Source","1.62%","04:06","18.73%","98:49","58.31‱"
"30","SpeedRunners","1.6%","02:00","2.54%","07:23","68.95‱"
"31","Insurgency","1.57%","04:04","5.16%","19:04","15.95‱"
"32","Dirty Bomb","1.48%","04:30","6.06%","08:29","20.62‱"
"33","Mount & Blade: Warband","1.43%","08:33","5.3%","99:37","15.05‱"
"34","Robocraft","1.42%","05:14","8.6%","20:51","28.51‱"
"35","Killing Floor 2","1.35%","03:32","2.46%","17:25","6.93‱"
"36","Undertale","1.3%","08:06","0.54%","09:37","1.52‱"
"37","Don't Starve Together Beta","1.23%","03:42","5.96%","14:27","26.28‱"
"38","Call of Duty: World at War","1.22%","07:29","3.59%","39:58","9.72‱"
"39","PlanetSide 2","1.19%","06:56","9.44%","41:01","30.98‱"
"40","Heroes & Generals","1.15%","04:15","8.34%","11:13","27.96‱"
"41","Portal 2","1.1%","03:59","17.39%","18:28","49.39‱"
"42","Europa Universalis IV","1.09%","14:59","1.83%","151:32","5.11‱"
"43","XCOM: Enemy Unknown","1.09%","09:16","7.04%","43:14","21.4‱"
"44","Prison Architect","1.08%","04:42","4.13%","19:27","11.55‱"
"45","Fallout 3 - Game of the Year Edition","1.07%","03:24","6.58%","18:56","19.49‱"
"46","Aftermath","1.04%","02:53","0.42%","02:49","1.55‱"
"47","Total War: ROME II - Emperor Edition","1.03%","11:57","3.34%","121:35","9.03‱"
"48","Elite: Dangerous","1.03%","19:33","1.26%","49:54","3.33‱"
"49","Chivalry: Medieval Warfare","1.02%","05:04","8.58%","21:52","23.49‱"
