"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","25.99%","13:43","33.35%","273:20","83.75‱"
"2","Dota 2","13.3%","20:27","35.5%","310:03","86.85‱"
"3","Garry's Mod","6.56%","10:44","22.11%","112:25","58.92‱"
"4","Rocket League","6.44%","07:17","8.19%","65:18","21.11‱"
"5","Team Fortress 2","5.68%","08:13","41.04%","108:08","100.41‱"
"6","Grand Theft Auto V","5.22%","07:48","7.94%","102:14","19.74‱"
"7","Unturned","4.9%","10:06","19.93%","21:28","59.21‱"
"8","Sid Meier's Civilization V","4.36%","13:03","16.7%","155:29","43.48‱"
"9","Fallout 4","4.09%","11:22","7.22%","95:13","17.96‱"
"10","The Elder Scrolls V: Skyrim","4.04%","07:49","18.5%","115:24","47.43‱"
"11","Terraria","3.33%","07:39","17.84%","79:58","45.96‱"
"12","Rust","2.96%","17:30","8.32%","90:54","21.93‱"
"13","ARK: Survival Evolved","2.45%","17:47","6.75%","107:01","17.59‱"
"14","Left 4 Dead 2","2.06%","02:53","21.31%","40:30","58.9‱"
"15","Warframe","1.98%","13:44","11.33%","74:52","37.72‱"
"16","Starbound","1.93%","10:17","6.77%","61:52","17.03‱"
"17","Arma 3","1.84%","11:46","4.81%","158:25","12.14‱"
"18","Cities: Skylines","1.81%","06:41","5.06%","31:04","13.09‱"
"19","Borderlands 2","1.79%","07:54","14.24%","58:07","37.9‱"
"20","PAYDAY 2","1.79%","06:34","11.87%","55:00","31.57‱"
"21","Insurgency","1.76%","03:31","5.73%","26:09","17.1‱"
"22","Path of Exile","1.74%","14:22","8.23%","60:16","26.94‱"
"23","Brawlhalla","1.74%","03:39","5.71%","10:35","15.26‱"
"24","No Man's Sky","1.64%","05:11","1.93%","21:54","4.85‱"
"25","War Thunder","1.59%","09:03","8.15%","49:38","28.02‱"
"26","Mount & Blade: Warband","1.57%","08:31","4.84%","92:41","13.02‱"
"27","The Witcher 3: Wild Hunt","1.54%","09:52","3.98%","56:42","11.25‱"
"28","SMITE","1.52%","14:35","5.2%","30:56","16.5‱"
"29","H1Z1: King of the Kill","1.47%","07:53","2.58%","22:10","13.53‱"
"30","Tom Clancy's Rainbow Six Siege","1.47%","11:36","1.73%","68:23","4.28‱"
"31","Heroes & Generals","1.45%","05:33","8.56%","14:57","27.98‱"
"32","The Binding of Isaac: Rebirth","1.4%","04:44","3.32%","90:53","8.59‱"
"33","Deus Ex: Mankind Divided","1.3%","12:32","0.61%","17:43","1.71‱"
"34","Call of Duty: World at War","1.3%","04:44","3.46%","44:06","9.37‱"
"35","Don't Starve Together Beta","1.27%","04:41","7.41%","18:19","25.47‱"
"36","Killing Floor 2","1.25%","10:32","2.5%","28:06","6.27‱"
"37","Counter-Strike: Source","1.25%","03:59","15.59%","107:31","48.11‱"
"38","Stardew Valley","1.25%","06:02","4.15%","47:31","10.5‱"
"39","Dead by Daylight","1.2%","07:10","1.35%","22:01","3.5‱"
"40","The Forest","1.15%","04:20","4.71%","15:44","12.34‱"
"41","Call of Duty: Black Ops III","1.15%","10:15","1.95%","73:52","5.12‱"
"42","Total War: WARHAMMER","1.13%","17:22","1.38%","64:17","3.43‱"
"43","Evolve","1.1%","03:54","4.13%","10:33","13.62‱"
"44","Fallout: New Vegas","1.05%","04:56","10.56%","56:56","29.75‱"
"45","Age of Empires II: HD Edition","1.05%","04:25","6.41%","27:40","18.08‱"
"46","RimWorld","1.05%","14:13","0.79%","32:52","2.1‱"
"47","Titan Quest Anniversary Edition","1%","07:14","0.37%","07:15","11.5‱"
"48","DOOM","1%","03:24","2.19%","15:49","5.69‱"
"49","DARK SOULS III","1%","09:50","2.46%","65:55","6.31‱"
"50","Golf With Friends","0.98%","01:02","1.39%","05:37","3.72‱"
