"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","30.86%","13:21","32.12%","231:49","84.14‱"
"2","Dota 2","12.7%","22:06","34.91%","299:29","88.42‱"
"3","Garry's Mod","8.68%","06:59","23.31%","117:23","64.48‱"
"4","Fallout 4","8.11%","12:37","6.58%","66:25","17.09‱"
"5","Team Fortress 2","6.94%","08:26","44.57%","114:52","112.88‱"
"6","Grand Theft Auto V","6.44%","10:20","7.24%","76:09","18.95‱"
"7","Rocket League","6.25%","07:06","5.55%","35:46","14.72‱"
"8","Sid Meier's Civilization V","5.53%","11:34","17.47%","136:48","46.63‱"
"9","The Elder Scrolls V: Skyrim","5.37%","08:01","20.16%","106:31","53.94‱"
"10","Terraria","4.8%","08:19","18.84%","74:09","50.67‱"
"11","Left 4 Dead 2","3.97%","02:56","23.34%","44:02","67.92‱"
"12","Unturned","3.54%","05:04","18.91%","16:55","61.16‱"
"13","The Binding of Isaac: Rebirth","3.04%","07:16","3.7%","72:33","9.84‱"
"14","ARK: Survival Evolved","3.01%","13:33","5.43%","70:58","14.41‱"
"15","Undertale","2.85%","04:14","2.47%","12:51","7.84‱"
"16","Insurgency","2.79%","04:14","5.82%","15:05","18.64‱"
"17","H1Z1","2.79%","09:38","4.98%","56:59","13.01‱"
"18","PAYDAY 2","2.77%","06:36","12.41%","57:34","34.48‱"
"19","Rust","2.59%","14:25","7.26%","72:04","19.14‱"
"20","Warframe","2.55%","15:29","10.37%","69:54","38.11‱"
"21","Brawlhalla","2.27%","03:43","2.52%","07:07","7.12‱"
"22","Borderlands 2","2.24%","06:13","15.4%","58:25","42.32‱"
"23","Arma 3","2.19%","12:10","4.58%","125:13","12‱"
"24","War Thunder","2.12%","09:12","7.88%","48:15","29.73‱"
"25","Don't Starve Together Beta","2.05%","04:58","6.31%","14:31","26.14‱"
"26","Portal 2","2.03%","04:09","16.44%","17:01","48.62‱"
"27","Counter-Strike: Source","2.02%","04:28","18.39%","123:31","57.56‱"
"28","Chivalry: Medieval Warfare","1.86%","02:09","9.95%","19:01","27.93‱"
"29","Star Wars - Battlefront II","1.83%","02:05","5.25%","09:35","16.62‱"
"30","AdVenture Capitalist","1.81%","09:16","3.96%","50:15","12.77‱"
"31","DayZ","1.77%","06:44","8.11%","62:35","20.84‱"
"32","SMITE","1.76%","09:40","3.11%","25:36","10.93‱"
"33","Cities: Skylines","1.76%","03:57","4.48%","26:28","11.96‱"
"34","Path of Exile","1.73%","22:44","8.07%","49:41","27.73‱"
"35","Killing Floor 2","1.65%","05:31","2.55%","21:21","6.73‱"
"36","Mount & Blade: Warband","1.65%","05:14","5.41%","93:09","15.44‱"
"37","Age of Empires II: HD Edition","1.65%","04:38","7.03%","26:54","20.49‱"
"38","Call of Duty: Black Ops III","1.61%","12:26","1.21%","37:52","3.19‱"
"39","The Witcher 3: Wild Hunt","1.59%","08:40","2.84%","53:33","8.73‱"
"40","Fallout: New Vegas","1.51%","08:23","11.26%","51:11","33.56‱"
"41","Clicker Heroes","1.51%","26:40","4.08%","94:58","13.53‱"
"42","XCOM: Enemy Unknown","1.46%","10:32","6.74%","51:31","20.61‱"
"43","Starbound","1.42%","05:36","7.12%","49:18","18.43‱"
"44","Space Engineers","1.4%","10:55","4.54%","53:29","12.15‱"
"45","7 Days to Die","1.36%","19:13","3.72%","53:23","9.68‱"
"46","Just Cause 3","1.33%","08:09","0.69%","13:45","2.03‱"
"47","Tom Clancy's Rainbow Six Siege","1.3%","10:08","0.64%","17:41","1.76‱"
"48","FTL: Faster Than Light","1.29%","02:16","7.61%","27:24","21.86‱"
"49","Don't Starve","1.29%","05:45","7.24%","17:12","21.68‱"
