"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","26.67%","17:54","28.81%","143:09","75.42‱"
"2","Garry's Mod","9.61%","07:50","24.61%","110:46","68.34‱"
"3","Sid Meier's Civilization V","7.4%","10:45","19.79%","143:27","52.99‱"
"4","The Elder Scrolls V: Skyrim","6.32%","06:06","21.01%","103:32","54.88‱"
"5","Dota 2","6.26%","25:31","14.9%","254:45","37.39‱"
"6","PAYDAY 2","6.09%","11:11","12.85%","55:20","36.8‱"
"7","Cities: Skylines","4.77%","11:49","2.95%","18:19","7.67‱"
"8","Team Fortress 2","4.71%","10:03","20.31%","136:36","50.98‱"
"9","Unturned","3.82%","03:27","17.82%","11:04","55.01‱"
"10","Warframe","3.4%","11:43","9.69%","63:18","32.97‱"
"11","War Thunder","3.4%","10:57","6.71%","59:32","23.54‱"
"12","Left 4 Dead 2","3.34%","03:50","26.37%","45:41","75.03‱"
"13","Borderlands 2","3.16%","11:52","17.85%","55:59","48.31‱"
"14","Terraria","3.1%","07:03","20.41%","62:16","54.55‱"
"15","DayZ","3.04%","08:31","9.61%","57:54","24.38‱"
"16","H1Z1","2.74%","05:17","2.88%","21:55","7.41‱"
"17","Space Engineers","2.39%","09:02","5.57%","54:48","15.8‱"
"18","Counter-Strike: Source","2.39%","04:23","20.83%","104:53","65.74‱"
"19","Arma 3","2.33%","10:43","4.72%","93:47","11.96‱"
"20","Pillars of Eternity","2.27%","19:48","0.98%","19:48","2.73‱"
"21","The Binding of Isaac: Rebirth","2.27%","05:01","3.03%","53:37","7.8‱"
"22","Insurgency","2.09%","04:30","5.44%","14:09","17.3‱"
"23","Robocraft","1.97%","04:30","8.29%","16:46","28.61‱"
"24","Heroes & Generals","1.91%","06:44","7.18%","11:38","23.15‱"
"25","Killing Floor","1.91%","03:10","10.57%","39:15","35.5‱"
"26","Rust","1.91%","06:03","6.79%","53:07","17.43‱"
"27","Borderlands: The Pre-Sequel","1.73%","07:03","3.29%","32:00","8.91‱"
"28","Don't Starve Together Beta","1.67%","03:29","4.64%","11:33","12.87‱"
"29","Path of Exile","1.67%","20:22","7.31%","54:10","24.64‱"
"30","DARK SOULS™ II","1.61%","06:26","4.04%","62:26","11.05‱"
"31","Fallout: New Vegas","1.55%","09:55","12.12%","50:57","36.28‱"
"32","Portal 2","1.43%","01:22","18.06%","17:15","52.6‱"
"33","Mount & Blade: Warband","1.37%","15:55","5.54%","88:12","16.19‱"
"34","Arma 2: Operation Arrowhead","1.37%","06:36","9.74%","40:55","28.09‱"
"35","Starbound","1.31%","05:18","8.06%","47:17","20.35‱"
"36","Kerbal Space Program","1.31%","06:43","4.95%","38:08","12.94‱"
"37","7 Days to Die","1.31%","05:23","3.6%","38:57","9.36‱"
"38","PlanetSide 2","1.31%","08:05","8.81%","34:16","28.93‱"
"39","Besiege","1.25%","02:27","3.13%","05:04","8.19‱"
"40","Total War: ROME II - Emperor Edition","1.25%","08:04","3.78%","79:00","11.51‱"
"41","XCOM: Enemy Unknown","1.19%","14:16","7.75%","35:17","23.15‱"
"42","Dark Souls: Prepare to Die Edition","1.19%","04:05","7.25%","37:22","21.07‱"
"43","FTL: Faster Than Light","1.19%","04:48","9.02%","26:50","25.68‱"
"44","Age of Empires II: HD Edition","1.13%","06:46","6.89%","24:02","19.96‱"
"45","DRAGON BALL XENOVERSE","1.13%","12:47","0.88%","26:11","2.34‱"
"46","AdVenture Capitalist","1.07%","07:36","0.47%","07:36","1.43‱"
"47","Infinite Crisis™","1.07%","02:51","0.47%","02:51","2.02‱"
"48","Reign Of Kings","1.07%","10:36","0.57%","14:26","1.43‱"
"49","Don't Starve","1.07%","04:39","8.13%","16:12","24.58‱"
"50","Divinity: Original Sin","1.01%","05:28","3.01%","31:36","7.8‱"
