"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","PLAYERUNKNOWN'S BATTLEGROUNDS","23.42%","20:59","12.55%","96:38","30.21‱"
"2","Counter-Strike: Global Offensive","22.07%","11:14","34.1%","317:19","83.53‱"
"3","Dota 2","9.19%","19:44","33.9%","347:55","80.92‱"
"4","Rocket League","6.26%","08:16","10.43%","87:30","26‱"
"5","Grand Theft Auto V","4.24%","07:56","9.74%","112:48","23.62‱"
"6","Tom Clancy's Rainbow Six Siege","4.07%","09:02","4.29%","89:38","10.51‱"
"7","Garry's Mod","4.05%","12:26","21.04%","131:48","53.68‱"
"8","Team Fortress 2","3.49%","08:13","37.89%","111:40","90.44‱"
"9","Divinity: Original Sin 2","2.91%","23:00","1.39%","39:06","3.51‱"
"10","Warframe","2.79%","13:33","12.65%","92:58","40.7‱"
"11","H1Z1: King of the Kill","2.76%","13:16","6%","84:05","18.32‱"
"12","Sid Meier's Civilization V","2.64%","09:40","15.22%","154:16","38.83‱"
"13","Terraria","2.5%","10:07","16.41%","87:22","41.04‱"
"14","Unturned","2.3%","08:22","20.98%","28:04","59.63‱"
"15","Wallpaper Engine","2.3%","06:54","2.55%","27:32","6.14‱"
"16","Cuphead","2.26%","04:38","0.83%","04:38","2.14‱"
"17","Fallout 4","2.23%","05:48","7.45%","108:01","18.29‱"
"18","Rust","2.16%","13:15","8.97%","103:31","22.53‱"
"19","Paladins","2.09%","04:22","7.94%","21:26","22.51‱"
"20","The Elder Scrolls V: Skyrim Special Edition","2.01%","04:45","5.11%","31:42","23.64‱"
"21","Total War: WARHAMMER II","2.01%","24:45","0.74%","24:45","1.86‱"
"22","Path of Exile","1.94%","18:52","9.73%","69:15","29.61‱"
"23","ARK: Survival Evolved","1.82%","21:58","7.41%","124:27","18.85‱"
"24","PAYDAY 2: Ultimate Edition","1.77%","07:07","14.33%","48:53","42.47‱"
"25","The Elder Scrolls V: Skyrim","1.67%","04:56","16.75%","112:50","41.32‱"
"26","Insurgency","1.53%","02:52","6.38%","18:40","18.49‱"
"27","Arma 3","1.53%","12:13","5.32%","177:25","13.05‱"
"28","War Thunder","1.5%","09:21","8.53%","53:15","28.46‱"
"29","Stardew Valley","1.45%","08:11","6.52%","58:16","16.73‱"
"30","Stellaris","1.41%","22:11","2.47%","74:54","6.72‱"
"31","Left 4 Dead 2","1.29%","04:03","20.05%","41:29","54.09‱"
"32","The Binding of Isaac: Rebirth","1.29%","03:33","3.63%","98:46","8.94‱"
"33","Star Wars: Battlefront 2 (Classic, 2005)","1.26%","01:46","4.63%","09:43","14.1‱"
"34","Total War: WARHAMMER","1.24%","09:48","2.29%","101:46","6.08‱"
"35","Sid Meiers Civilization VI","1.21%","06:40","3.22%","67:09","7.87‱"
"36","Brawlhalla","1.21%","05:06","7.74%","19:35","19.81‱"
"37","Borderlands 2","1.21%","05:41","13.72%","57:21","35.54‱"
"38","Cities: Skylines","1.14%","07:12","5.66%","41:58","14.25‱"
"39","The Witcher 3: Wild Hunt","1.12%","08:15","5.1%","62:06","13.74‱"
"40","Fallout: A Post Nuclear Role Playing Game","1.07%","00:47","1.64%","04:51","9.56‱"
"41","Fallout: New Vegas","1.07%","06:26","9.22%","54:08","25.12‱"
"42","Hearts of Iron IV","1.04%","13:15","1.13%","128:34","2.85‱"
"43","DARK SOULS III","1.04%","11:12","3.26%","84:59","8.17‱"
"44","Dead by Daylight","1.02%","12:52","2.5%","49:28","6.8‱"
"45","Europa Universalis IV","0.99%","14:09","2.07%","241:45","5.35‱"
"46","SMITE","0.99%","18:37","6%","55:35","18.89‱"
"47","Middle-earth: Shadow of Mordor","0.97%","04:54","5.95%","18:31","16.88‱"
"48","7 Days to Die","0.97%","10:16","4.72%","78:44","11.64‱"
"49","The Forest","0.9%","06:24","5.35%","20:00","13.33‱"
"50","XCOM 2","0.87%","10:36","2.87%","64:13","7.87‱"
