"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","29%","17:27","28.69%","169:36","77.13‱"
"2","Dota 2","14.3%","21:47","34.76%","274:32","90.95‱"
"3","Team Fortress 2","8.09%","08:23","45.32%","114:14","118.58‱"
"4","Garry's Mod","8.07%","07:09","22.14%","103:10","62.6‱"
"5","Fallout: New Vegas","5.82%","08:13","10.97%","55:58","33.87‱"
"6","The Elder Scrolls V: Skyrim","5.61%","08:15","20.18%","103:46","55.92‱"
"7","Grand Theft Auto V","5.35%","08:56","5.63%","58:18","15‱"
"8","Sid Meier's Civilization V","4.76%","12:46","17.04%","134:49","47.12‱"
"9","Terraria","4.55%","06:37","18.53%","63:06","52.15‱"
"10","PAYDAY 2","4.52%","08:45","11.79%","51:25","33.59‱"
"11","ARK: Survival Evolved","4.5%","22:54","2.41%","31:26","6.75‱"
"12","Left 4 Dead 2","3.91%","03:34","23.71%","40:27","72.32‱"
"13","Clicker Heroes","3.67%","34:11","2.54%","70:08","8.41‱"
"14","Unturned","3.51%","04:14","16.25%","12:20","54.28‱"
"15","Dirty Bomb","3.21%","05:31","2.62%","06:28","9.23‱"
"16","Borderlands 2","2.97%","05:50","15.5%","59:59","43.85‱"
"17","Castle Crashers","2.95%","03:42","8.21%","07:26","25.7‱"
"18","AdVenture Capitalist","2.89%","11:54","2.45%","33:09","8.15‱"
"19","H1Z1","2.83%","10:13","3.99%","42:15","10.84‱"
"20","Arma 3","2.7%","10:31","4.64%","117:16","12.42‱"
"21","Chivalry: Medieval Warfare","2.68%","02:55","9.22%","16:20","26.99‱"
"22","Fallout 3 - Game of the Year Edition","2.63%","04:35","4.89%","17:01","15.87‱"
"23","The Binding of Isaac: Rebirth","2.61%","06:18","3.29%","58:56","9.03‱"
"24","The Witcher 3: Wild Hunt","2.42%","10:18","1.79%","37:32","5.43‱"
"25","Don't Starve Together Beta","2.4%","04:18","5.17%","12:45","25.95‱"
"26","Rust","2.3%","12:58","6.64%","63:36","17.63‱"
"27","Counter-Strike: Source","2.29%","05:48","19.55%","130:29","63.2‱"
"28","DayZ","2.23%","07:58","8.48%","64:10","22.42‱"
"29","Warframe","2.15%","12:09","8.84%","60:39","32.66‱"
"30","Insurgency","2.15%","03:11","4.87%","19:52","16.23‱"
"31","TERA","2.13%","12:56","3%","20:20","11.79‱"
"32","Portal 2","2.13%","03:36","16.32%","16:29","50.16‱"
"33","Cities: Skylines","1.93%","07:39","3.29%","25:15","8.97‱"
"34","War Thunder","1.91%","06:15","6.45%","40:04","24.83‱"
"35","Age of Empires II: HD Edition","1.91%","06:11","6.05%","28:53","18.37‱"
"36","BattleBlock Theater","1.85%","02:31","4.85%","06:02","16.08‱"
"37","XCOM: Enemy Unknown","1.81%","09:20","7%","44:41","22.33‱"
"38","Mount & Blade: Warband","1.79%","10:14","4.97%","97:09","14.66‱"
"39","Prison Architect","1.53%","06:23","4.16%","17:11","12.42‱"
"40","Europa Universalis IV","1.49%","17:49","1.9%","196:01","5.39‱"
"41","Borderlands: The Pre-Sequel","1.45%","06:49","3.2%","34:06","9.23‱"
"42","Batman: Arkham Knight","1.42%","10:20","0.62%","10:20","2.48‱"
"43","The Forest","1.38%","03:04","3.88%","08:35","10.48‱"
"44","Robocraft","1.36%","08:02","7.88%","24:09","28.82‱"
"45","Dishonored","1.34%","05:30","5.48%","14:36","17.91‱"
"46","Banished","1.27%","05:10","3.86%","22:16","11.04‱"
"47","FTL: Faster Than Light","1.27%","03:43","8.02%","25:29","23.8‱"
"48","Arma 2: Operation Arrowhead","1.21%","10:16","9.3%","46:22","27.48‱"
"49","Don't Starve","1.19%","02:38","7.46%","17:29","22.89‱"
"50","Euro Truck Simulator 2","1.19%","05:12","2.89%","37:27","8.88‱"
