"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","25.95%","14:47","33.24%","292:33","82.19‱"
"2","Dota 2","11.37%","21:36","36.04%","325:23","86.58‱"
"3","Rocket League","7.12%","07:05","9.65%","60:49","24.03‱"
"4","Garry's Mod","6.11%","07:40","22.06%","117:20","57.31‱"
"5","Grand Theft Auto V","5.24%","10:45","8.96%","97:12","22.06‱"
"6","Team Fortress 2","4.33%","09:17","41.2%","112:19","98.97‱"
"7","H1Z1: King of the Kill","4.02%","07:57","4.17%","38:44","15.51‱"
"8","Sid Meier's Civilization V","3.53%","09:39","16.5%","155:49","42.29‱"
"9","Terraria","3.3%","09:39","17.84%","85:01","45.25‱"
"10","Rust","3.17%","17:48","8.49%","108:47","21.8‱"
"11","Fallout 4","3.12%","10:49","7.44%","106:21","18.31‱"
"12","Unturned","3.1%","07:03","21.17%","23:09","61‱"
"13","Tom Clancy's Rainbow Six Siege","3.04%","10:57","2.83%","93:40","7.09‱"
"14","Paladins","2.97%","05:36","5.46%","12:01","14.76‱"
"15","The Binding of Isaac: Rebirth","2.86%","07:54","4.01%","82:35","10.05‱"
"16","Left 4 Dead 2","2.63%","03:37","21%","40:30","56.84‱"
"17","ARK: Survival Evolved","2.61%","18:26","7.02%","125:53","17.72‱"
"18","Stardew Valley","2.42%","09:49","5.22%","44:18","13.4‱"
"19","The Elder Scrolls V: Skyrim","2.35%","07:18","17.69%","113:09","44.66‱"
"20","Arma 3","2.27%","14:53","5.1%","169:01","12.46‱"
"21","PAYDAY 2","2.22%","03:44","12.39%","67:26","32.34‱"
"22","Borderlands 2","2.12%","05:26","13.94%","56:27","36.26‱"
"23","Brawlhalla","2.09%","03:52","6.67%","14:08","17.49‱"
"24","The Elder Scrolls V: Skyrim Special Edition","2.06%","08:19","3.88%","24:34","23.21‱"
"25","War Thunder","1.99%","09:54","8.5%","54:30","29.85‱"
"26","Warframe","1.93%","10:37","11.98%","80:26","40.04‱"
"27","Sid Meier’s Civilization® VI","1.75%","09:36","2.28%","41:49","5.54‱"
"28","Don't Starve Together Beta","1.7%","03:47","7.87%","20:43","26.4‱"
"29","XCOM 2","1.68%","14:43","2.15%","48:52","6.13‱"
"30","The Forest","1.62%","06:07","5.23%","18:17","13.26‱"
"31","SMITE","1.57%","10:10","6.15%","37:01","19.03‱"
"32","7 Days to Die","1.55%","15:48","3.97%","71:49","9.93‱"
"33","The Witcher 3: Wild Hunt","1.55%","10:39","4.43%","68:47","12.13‱"
"34","Path of Exile","1.5%","19:18","8.71%","70:49","27.58‱"
"35","DOOM","1.47%","01:22","3.24%","16:08","8.45‱"
"36","Insurgency","1.47%","02:54","5.95%","18:40","17.41‱"
"37","Counter-Strike: Source","1.42%","02:34","15.33%","104:02","45.84‱"
"38","Enter the Gungeon","1.42%","03:17","1.61%","16:36","4.13‱"
"39","Killing Floor 2","1.42%","05:25","2.63%","31:13","6.43‱"
"40","DARK SOULS III","1.34%","09:07","2.68%","75:40","6.67‱"
"41","Cities: Skylines","1.29%","05:21","5.26%","35:31","13.28‱"
"42","Golf With Friends","1.24%","01:26","2.14%","05:54","5.66‱"
"43","Age of Empires II: HD Edition","1.21%","04:09","6.44%","30:44","17.53‱"
"44","Dead by Daylight","1.21%","08:40","2.22%","52:24","5.56‱"
"45","DayZ","1.16%","06:52","6.84%","83:14","16.66‱"
"46","Europa Universalis IV","1.11%","11:55","1.89%","184:45","4.91‱"
"47","Portal 2","1.08%","01:54","14.39%","15:03","41.1‱"
"48","The Elder Scrolls Online: Tamriel Unlimited","1.01%","29:28","2.54%","70:35","6.31‱"
"49","Conan Exiles","1.01%","09:26","0.38%","09:26","1.01‱"
"50","Subnautica","1.01%","04:36","2.25%","15:24","5.77‱"
