"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","27.27%","12:55","33.68%","291:07","88.93‱"
"2","Dota 2","13%","20:10","36.07%","314:37","92.84‱"
"3","Rocket League","7.8%","07:14","8.74%","58:07","23.68‱"
"4","Garry's Mod","6.73%","05:52","23.13%","107:40","64.09‱"
"5","Team Fortress 2","5.2%","07:09","41.37%","117:45","106.48‱"
"6","The Elder Scrolls V: Skyrim","4.33%","05:44","17.97%","99:55","48.46‱"
"7","Sid Meier's Civilization V","4.13%","10:31","16.37%","133:35","44.73‱"
"8","Unturned","3.99%","07:39","20.83%","22:08","64.78‱"
"9","Grand Theft Auto V","3.69%","06:54","8.09%","91:55","21.05‱"
"10","Fallout 4","3.43%","12:32","6.88%","112:19","17.97‱"
"11","Terraria","3.28%","07:17","17.27%","78:27","46.92‱"
"12","ARK: Survival Evolved","2.87%","20:28","7.03%","115:00","18.84‱"
"13","Arma 3","2.84%","13:13","4.9%","161:46","12.86‱"
"14","Left 4 Dead 2","2.7%","04:20","20.89%","49:35","61.14‱"
"15","Rust","2.45%","18:31","8.26%","85:43","22.37‱"
"16","Borderlands 2","2.45%","06:57","14.02%","58:11","39.29‱"
"17","Warframe","2.31%","13:37","11.27%","67:58","40.07‱"
"18","Paladins","2.11%","02:49","0.75%","02:49","2.48‱"
"19","PAYDAY 2","2.02%","09:13","12.25%","53:36","34.31‱"
"20","War Thunder","1.97%","09:16","8.78%","51:22","31.72‱"
"21","Brawlhalla","1.94%","03:08","5.7%","11:15","15.89‱"
"22","SMITE","1.8%","14:10","4.96%","41:06","16.63‱"
"23","H1Z1: King of the Kill","1.73%","09:14","2.39%","28:59","14.04‱"
"24","Path of Exile","1.65%","14:48","8.2%","62:11","28.08‱"
"25","Insurgency","1.6%","04:29","5.94%","22:25","18.33‱"
"26","The Binding of Isaac: Rebirth","1.51%","07:31","3.63%","99:57","9.71‱"
"27","Dead by Daylight","1.51%","08:55","1.51%","23:58","4.13‱"
"28","Tom Clancy's Rainbow Six Siege","1.48%","10:41","1.72%","80:12","4.49‱"
"29","Mount & Blade: Warband","1.43%","11:01","4.71%","98:00","13.44‱"
"30","Stardew Valley","1.43%","07:40","4.47%","44:11","11.79‱"
"31","Counter-Strike: Source","1.34%","01:49","16.02%","108:36","51.52‱"
"32","Starbound","1.31%","12:02","6.69%","52:20","17.63‱"
"33","The Witcher 3: Wild Hunt","1.22%","13:29","4.14%","64:08","11.92‱"
"34","Call of Duty: Black Ops III","1.19%","03:52","1.9%","67:20","5.18‱"
"35","DayZ","1.17%","07:44","7.19%","80:52","18.66‱"
"36","Cities: Skylines","1.17%","08:07","4.38%","40:42","11.74‱"
"37","Deus Ex: Mankind Divided","1.17%","09:34","0.75%","46:04","1.99‱"
"38","Tropico 4","1.12%","02:39","2.78%","16:05","11.63‱"
"39","TOXIKK","1.09%","00:29","0.47%","00:49","2.01‱"
"40","AdVenture Capitalist","1.07%","04:07","4.6%","57:31","14.46‱"
"41","Killing Floor 2","1.04%","05:16","2.42%","27:00","6.36‱"
"42","BioShock Remastered","1.04%","01:46","0.37%","01:46","21.25‱"
"43","Don't Starve Together Beta","1.02%","05:52","7.35%","18:37","26.34‱"
"44","Total War: WARHAMMER","1%","13:38","1.25%","60:49","3.21‱"
"45","The Forest","0.97%","02:54","4.39%","16:29","11.74‱"
"46","Call of Duty: World at War","0.97%","01:53","3.28%","37:56","9.33‱"
"47","Heroes & Generals","0.95%","08:34","8.78%","13:46","30.42‱"
"48","DOOM","0.95%","02:06","1.89%","20:06","5.04‱"
"49","Fallout: New Vegas","0.92%","04:43","10.09%","52:08","30.05‱"
"50","Trove","0.92%","03:53","7.17%","32:00","22.32‱"
