"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","56.14%","20:08","35%","233:17","179.11‱"
"2","Counter-Strike","7.95%","05:19","29.82%","350:22","161‱"
"3","Dota 2","7.61%","15:55","24.42%","150:59","123.9‱"
"4","Team Fortress 2","5.45%","06:55","38.22%","75:02","193.9‱"
"5","Unturned","4.77%","07:03","16.89%","12:15","102.69‱"
"6","Garry's Mod","4.32%","04:03","11.8%","47:32","64.93‱"
"7","Counter-Strike: Source","3.86%","06:30","23.42%","309:33","127.43‱"
"8","Football Manager 2015","3.75%","41:36","2.18%","301:19","11.04‱"
"9","H1Z1","3.07%","12:22","2.22%","41:18","11.26‱"
"10","PAYDAY 2","2.73%","06:25","4.4%","65:29","26.5‱"
"11","Survarium","2.73%","02:12","1.04%","02:12","7.95‱"
"12","DayZ","2.5%","04:35","4.22%","53:54","21.42‱"
"13","Warframe","2.39%","08:41","6.88%","48:57","45.27‱"
"14","The Elder Scrolls V: Skyrim","2.27%","10:51","4.96%","72:14","27.39‱"
"15","Rust","2.05%","05:08","3.74%","68:33","18.99‱"
"16","Grand Theft Auto V","1.93%","09:31","0.74%","09:31","5.3‱"
"17","War Thunder","1.82%","11:03","4.61%","23:23","32.46‱"
"18","FreeStyle2: Street Basketball","1.82%","03:04","0.7%","03:04","4.42‱"
"19","Counter-Strike: Condition Zero","1.82%","02:49","19.5%","87:39","147.97‱"
"20","Robocraft","1.7%","03:21","6.05%","19:19","39.53‱"
"21","AdVenture Capitalist","1.7%","13:28","0.74%","12:36","5.52‱"
"22","Left 4 Dead 2","1.59%","01:30","16.89%","38:20","96.07‱"
"23","Grand Theft Auto IV","1.36%","06:11","4.27%","17:44","26.28‱"
"24","Euro Truck Simulator 2","1.25%","05:05","2.66%","34:31","15.02‱"
"25","Warface","1.25%","05:55","6.84%","06:21","46.38‱"
"26","Tom Clancy's Ghost Recon Phantoms - EU","1.25%","03:18","5.49%","18:40","39.31‱"
"27","Heroes & Generals","1.25%","02:20","5.79%","03:45","39.09‱"
"28","Infinite Crisis™","1.14%","05:52","0.74%","04:51","7.29‱"
"29","Borderlands 2","1.02%","05:41","3.48%","43:09","18.99‱"
"30","Counter-Strike Nexon: Zombies","0.91%","02:53","5.4%","05:40","43.73‱"
"31","No More Room in Hell","0.91%","04:22","4.88%","07:00","33.79‱"
"32","SpeedRunners","0.91%","01:34","1.52%","13:25","8.61‱"
"33","Arma 3","0.91%","16:37","1.61%","51:24","8.61‱"
"34","Neverwinter","0.8%","07:26","2.7%","26:56","17.23‱"
"35","Portal 2","0.8%","01:59","6.27%","16:35","36‱"
"36","PAYDAY: The Heist","0.8%","00:37","6.92%","06:24","46.16‱"
"37","PlanetSide 2","0.8%","10:34","3.83%","33:10","26.5‱"
"38","Insurgency","0.8%","02:38","1.87%","13:12","13.91‱"
"39","Cities: Skylines","0.8%","15:38","0.52%","21:54","2.65‱"
"40","Football Manager 2014","0.8%","24:26","2.44%","519:24","12.37‱"
"41","APB Reloaded","0.8%","08:13","3.74%","49:43","26.06‱"
"42","Pro Evolution Soccer 2015","0.8%","07:14","0.39%","62:18","1.99‱"
"43","Path of Exile","0.68%","18:29","3.92%","71:17","28.27‱"
"44","Transformice","0.68%","06:08","0.96%","06:15","6.18‱"
"45","Marvel Heroes 2015","0.68%","07:14","1.78%","24:25","13.91‱"
"46","The Binding of Isaac: Rebirth","0.68%","08:09","0.7%","91:13","3.53‱"
"47","Tomb Raider","0.68%","02:36","2.87%","11:45","18.77‱"
"48","Call of Duty: Advanced Warfare - Multiplayer","0.68%","05:27","0.74%","45:50","7.95‱"
"49","Half-Life 2","0.68%","01:44","4.31%","08:28","37.32‱"
"50","Terraria","0.57%","02:53","5.44%","39:14","30.04‱"
