"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","48.37%","17:16","40.09%","362:47","160.01‱"
"2","PLAYERUNKNOWN'S BATTLEGROUNDS","11.22%","18:34","5.2%","93:17","20.73‱"
"3","Dota 2","9.94%","18:44","33.21%","414:18","131.43‱"
"4","Paladins","9%","07:15","24.65%","33:37","110.39‱"
"5","Grand Theft Auto V","5.43%","08:39","8.48%","150:43","34.39‱"
"6","Outlast","4.53%","01:50","3.25%","03:30","28.39‱"
"7","Brawlhalla","3.73%","04:36","14.77%","18:05","62.16‱"
"8","Rocket League","3.31%","07:36","5.03%","93:43","20.63‱"
"9","Tom Clancy's Rainbow Six Siege","3.1%","13:57","2.79%","172:04","11.22‱"
"10","Black Squad","2.96%","06:09","4.87%","11:20","25.44‱"
"11","Euro Truck Simulator 2","2.61%","07:40","5.02%","123:16","20.7‱"
"12","Unturned","2.57%","04:44","26.65%","25:54","118.12‱"
"13","Warframe","2.19%","12:27","10.8%","70:16","65.26‱"
"14","Team Fortress 2","2.19%","06:00","26.77%","73:07","105.95‱"
"15","H1Z1: King of the Kill","2.17%","07:37","5.14%","77:17","23.44‱"
"16","Left 4 Dead 2","2.05%","02:17","15.77%","35:00","67.83‱"
"17","Garry's Mod","1.89%","05:26","7.62%","68:08","31.68‱"
"18","PAYDAY 2: Ultimate Edition","1.82%","02:25","13.12%","27:13","73.64‱"
"19","Business Tour - Online Multiplayer Board Game","1.63%","01:40","1.68%","03:27","7.76‱"
"20","Insurgency","1.45%","03:53","4.16%","20:19","19.38‱"
"21","Rust","1.33%","13:19","4.33%","135:27","17.37‱"
"22","Path of Exile","1.33%","13:27","8.79%","53:06","46.76‱"
"23","Counter-Strike","1.3%","05:22","9.72%","274:53","43.35‱"
"24","Infestation: The New Z","1.21%","02:38","8.56%","15:41","42.73‱"
"25","Last Man Standing","1.19%","02:30","4.05%","06:53","23.37‱"
"26","SMITE","1.16%","10:06","5%","26:26","27.12‱"
"27","Terraria","1.14%","07:59","4.95%","83:38","20.44‱"
"28","Cuphead","1.12%","04:18","0.39%","04:18","1.63‱"
"29","Trove","1.1%","05:52","11.17%","27:53","50.27‱"
"30","Don't Starve Together","1.09%","04:06","4.49%","32:26","20.73‱"
"31","ARK: Survival Evolved","1%","18:08","3.03%","186:30","12.35‱"
"32","Robocraft","0.96%","04:37","10.15%","16:53","48.88‱"
"33","The Elder Scrolls V: Skyrim","0.86%","08:31","5.24%","83:14","21.83‱"
"34","Dead by Daylight","0.82%","10:45","1.15%","61:42","4.85‱"
"35","Fallout: A Post Nuclear Role Playing Game","0.82%","01:27","0.42%","03:53","10.5‱"
"36","Battlerite","0.79%","05:14","1.09%","32:52","5.55‱"
"37","Stardew Valley","0.79%","11:12","1.5%","53:34","6.27‱"
"38","Tree of Savior (English Ver.)","0.75%","10:24","6.66%","87:17","31.54‱"
"39","Counter-Strike: Source","0.72%","05:39","5.36%","191:22","28.13‱"
"40","AdVenture Capitalist","0.7%","02:59","6.76%","27:44","30.46‱"
"41","Wallpaper Engine","0.67%","02:55","0.55%","18:47","2.21‱"
"42","War Thunder","0.67%","08:06","5.07%","44:14","32.5‱"
"43","Middle-earth: Shadow of Mordor","0.65%","04:42","2.8%","19:44","13.74‱"
"44","Heroes & Generals","0.65%","03:18","9.71%","09:48","49.62‱"
"45","Fallout Shelter","0.65%","03:38","2.59%","08:00","14‱"
"46","The Witcher 3: Wild Hunt","0.63%","08:14","2.05%","80:41","9.03‱"
"47","Tomb Raider","0.61%","04:39","4.38%","13:53","20.39‱"
"48","Age of Empires II HD","0.58%","05:28","3.45%","43:17","14.82‱"
"49","The Forest","0.56%","05:25","2.16%","26:22","8.67‱"
"50","Arma 3","0.56%","13:29","1.64%","183:02","6.51‱"
