"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","37.47%","17:22","32.55%","238:04","151.96‱"
"2","Dota 2","16.78%","23:31","39.81%","363:23","182.81‱"
"3","Unturned","7.06%","04:29","25.17%","20:53","130.83‱"
"4","Grand Theft Auto V","6.84%","07:43","7.31%","103:54","34.32‱"
"5","Tree of Savior (English Ver.)","4.64%","07:47","1.85%","46:33","10.92‱"
"6","Team Fortress 2","4.55%","07:56","30.05%","69:36","138‱"
"7","Brawlhalla","4.53%","02:52","6.32%","08:06","31.52‱"
"8","H1Z1: King of the Kill","4.2%","10:06","2.42%","20:14","23.77‱"
"9","Rocket League","3.36%","06:10","2.87%","46:19","13.41‱"
"10","Euro Truck Simulator 2","3.33%","07:00","5.04%","99:05","24.08‱"
"11","Left 4 Dead 2","3.03%","03:18","18.35%","33:52","92.88‱"
"12","PAYDAY 2","2.72%","07:15","7.35%","45:27","38.26‱"
"13","Garry's Mod","2.61%","04:56","8.12%","50:36","40.01‱"
"14","Counter-Strike","2.55%","10:29","13.24%","330:51","68.77‱"
"15","Warframe","2.38%","18:58","8.58%","68:35","59.94‱"
"16","AdVenture Capitalist","2.22%","04:44","6.32%","25:33","34.48‱"
"17","The Elder Scrolls V: Skyrim","2.14%","05:33","7.04%","67:01","34.66‱"
"18","EasyAntiCheat eSports","2.05%","11:42","2.28%","32:48","11.96‱"
"19","H1Z1","1.74%","06:58","4.94%","76:37","23.04‱"
"20","Trove","1.72%","07:09","8.91%","22:22","48.38‱"
"21","Rust","1.52%","13:31","4.01%","103:57","18.58‱"
"22","Tom Clancy's Rainbow Six Siege","1.52%","15:33","0.81%","83:32","3.75‱"
"23","Tom Clancy's The Division","1.46%","29:16","0.57%","55:07","2.64‱"
"24","Terraria","1.44%","06:09","5.83%","66:30","28.42‱"
"25","Don't Starve Together Beta","1.42%","06:19","3.15%","23:27","20.42‱"
"26","Counter-Strike: Source","1.39%","06:02","7.5%","209:47","45.58‱"
"27","ARK: Survival Evolved","1.39%","19:21","2.38%","132:21","11.35‱"
"28","Path of Exile","1.35%","22:23","6.83%","37:00","44.63‱"
"29","Robocraft","1.26%","06:41","9.38%","18:37","53.88‱"
"30","Clicker Heroes","1.15%","13:24","3.8%","63:59","22.02‱"
"31","Counter-Strike Nexon: Zombies","1.15%","05:12","3.46%","08:19","25.9‱"
"32","ARK: Survival Of The Fittest","1.11%","01:37","0.44%","01:36","6.06‱"
"33","Creativerse","1.07%","02:49","3.67%","06:56","18.95‱"
"34","Mitos.is: The Game","1.07%","03:32","3.28%","08:26","16.92‱"
"35","Arma 3","1.05%","17:00","1.44%","250:02","6.7‱"
"36","Stardew Valley","1.05%","16:54","0.55%","34:24","2.55‱"
"37","Age of Empires II: HD Edition","0.96%","06:25","3.96%","42:31","20.21‱"
"38","War Thunder","0.94%","11:11","4.78%","44:27","36.94‱"
"39","Call of Duty: Black Ops III","0.87%","06:52","0.78%","55:12","3.66‱"
"40","Metal Assault","0.87%","01:50","0.32%","01:48","1.75‱"
"41","Borderlands 2","0.87%","06:33","4.34%","44:07","22.24‱"
"42","Planetary Annihilation","0.87%","03:25","0.78%","07:16","6.92‱"
"43","Portal 2","0.81%","02:13","6.56%","14:42","36.08‱"
"44","TERA","0.81%","07:22","5.29%","27:08","40.57‱"
"45","Dark Souls: Prepare to Die Edition","0.81%","05:15","2.22%","51:26","11.41‱"
"46","A Lenda do Herói - O Jogo","0.78%","04:33","0.28%","04:34","1.54‱"
"47","Grand Theft Auto: San Andreas","0.76%","04:59","3.5%","14:13","23.65‱"
"48","Call of Duty: Black Ops II - Multiplayer","0.76%","03:04","2.42%","100:54","11.5‱"
"49","Don't Starve","0.72%","04:35","3.28%","21:05","16.33‱"
"50","Tom Clancy's Ghost Recon Phantoms - NA","0.72%","03:34","7.89%","24:12","53.45‱"
