"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","31.3%","18:17","27.38%","175:30","133.68‱"
"2","Dota 2","23.1%","25:45","42.77%","332:13","204.28‱"
"3","Grand Theft Auto V","7.65%","11:00","5.25%","75:01","25.84‱"
"4","Unturned","7.13%","04:32","22.35%","16:11","123.16‱"
"5","Left 4 Dead 2","5.49%","04:12","19.99%","33:43","106.12‱"
"6","AdVenture Capitalist","5.45%","05:43","3.7%","21:32","21.7‱"
"7","Team Fortress 2","5.05%","09:03","33.09%","77:55","158.07‱"
"8","Euro Truck Simulator 2","4.13%","08:47","4.66%","82:55","24.13‱"
"9","Garry's Mod","3.21%","05:01","8.03%","51:32","41‱"
"10","Dirty Bomb","3.09%","03:14","2.33%","03:37","16.9‱"
"11","Castle Crashers","3.07%","03:52","6.18%","10:59","33.03‱"
"12","Counter-Strike","3.04%","09:22","14.88%","348:01","78.11‱"
"13","Clicker Heroes","2.97%","12:47","2.22%","28:12","12.63‱"
"14","The Elder Scrolls V: Skyrim","2.53%","08:06","6.57%","74:51","34.78‱"
"15","H1Z1","2.46%","09:17","2.32%","46:23","11.37‱"
"16","Terraria","2.45%","05:24","5.61%","50:43","29.15‱"
"17","TERA","2.4%","12:03","2.48%","19:51","21.15‱"
"18","PAYDAY 2","2.1%","08:11","6.1%","42:24","32.06‱"
"19","Chivalry: Medieval Warfare","2.07%","03:59","4.01%","14:03","21.86‱"
"20","BattleBlock Theater","1.84%","03:17","2.79%","08:44","15.64‱"
"21","Age of Empires II: HD Edition","1.7%","06:55","3.61%","32:29","19.5‱"
"22","Portal 2","1.68%","03:30","6.27%","13:04","36.63‱"
"23","Warframe","1.63%","13:30","6.36%","62:35","44.89‱"
"24","Insurgency","1.6%","04:27","2.26%","16:56","13.83‱"
"25","Robocraft","1.6%","05:26","8.39%","14:04","50.78‱"
"26","Don't Starve Together Beta","1.58%","05:36","2.48%","12:25","21.28‱"
"27","Rust","1.54%","08:47","3.86%","86:02","18.49‱"
"28","How to Survive","1.49%","03:15","1.82%","04:32","10.95‱"
"29","ARK: Survival Evolved","1.46%","20:43","0.64%","26:29","3.14‱"
"30","SpeedRunners","1.44%","05:23","1.68%","15:26","8.84‱"
"31","Counter-Strike: Source","1.37%","05:41","8.67%","215:19","52.11‱"
"32","Borderlands 2","1.23%","05:23","4.47%","49:12","23.9‱"
"33","The Witcher 3: Wild Hunt","1.23%","16:21","0.68%","53:27","3.66‱"
"34","Arma 3","1.22%","14:27","1.46%","146:41","7.12‱"
"35","Tomb Raider","1.15%","03:19","4.73%","14:13","28.08‱"
"36","Red Crucible: Firestorm","1.09%","01:37","1.08%","01:09","6.87‱"
"37","Infestation: Survivor Stories","1.08%","05:59","5.95%","85:09","29.6‱"
"38","Grand Theft Auto IV","1.06%","02:21","5.94%","18:44","34.52‱"
"39","Heroes & Generals","1.04%","07:48","6.26%","07:30","41.58‱"
"40","Age of Mythology: Extended Edition","1.04%","05:55","1.44%","17:59","7.9‱"
"41","Don't Starve","1.02%","02:03","3.44%","18:09","18.43‱"
"42","Sid Meier's Civilization V","1.01%","16:35","3.22%","94:34","17.46‱"
"43","DayZ","0.99%","07:26","2.18%","70:43","10.49‱"
"44","War Thunder","0.99%","05:22","3.83%","29:34","30.15‱"
"45","Arma 2: Operation Arrowhead","0.95%","08:13","3.48%","33:37","18.78‱"
"46","Fallout: New Vegas","0.94%","05:52","1.73%","31:27","11.5‱"
"47","Counter-Strike Nexon: Zombies","0.92%","04:40","0.51%","07:37","4.73‱"
"48","Awesomenauts","0.9%","05:39","2.63%","26:35","14.41‱"
"49","Path of Exile","0.9%","08:57","5.81%","29:08","39.61‱"
"50","Grand Theft Auto: San Andreas","0.89%","02:04","3.02%","11:54","22.7‱"
