"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","36.08%","13:15","40.61%","311:13","119.84‱"
"2","Rocket League","8.68%","07:22","9.61%","71:56","28.82‱"
"3","Dota 2","6.48%","18:11","23.86%","248:07","69.48‱"
"4","Arma 3","5.52%","14:28","10.11%","207:35","29.87‱"
"5","Grand Theft Auto V","5.17%","09:07","7.09%","109:43","20.96‱"
"6","Garry's Mod","5.16%","07:42","17.73%","74:50","55.02‱"
"7","The Elder Scrolls V: Skyrim","4.41%","08:24","18.32%","103:33","55.18‱"
"8","No Man's Sky","4.04%","18:11","1.57%","18:46","4.65‱"
"9","ARK: Survival Evolved","3.93%","21:46","9.63%","112:49","28.71‱"
"10","Team Fortress 2","3.65%","11:57","27.73%","86:26","80.76‱"
"11","Dead by Daylight","3.2%","10:15","2.17%","27:17","6.53‱"
"12","Euro Truck Simulator 2","3.09%","07:27","7.12%","71:27","21.82‱"
"13","Call of Duty: Black Ops III","3.04%","07:40","4.39%","75:13","12.93‱"
"14","Fallout 4","2.96%","10:19","6.25%","85:44","18.48‱"
"15","Unturned","2.84%","07:51","15.97%","16:09","56.81‱"
"16","Call of Duty: Black Ops II - Multiplayer","2.51%","04:07","10.31%","128:25","31.37‱"
"17","Evolve","2.42%","06:01","5.59%","19:42","21.45‱"
"18","Tom Clancy's Rainbow Six Siege","2.4%","10:15","2.1%","66:07","6.23‱"
"19","Rust","2.34%","12:35","7.06%","86:56","21.66‱"
"20","Sid Meier's Civilization V","2.23%","09:42","9.35%","105:48","29.13‱"
"21","War Thunder","2.17%","08:15","8.06%","60:10","32.77‱"
"22","Counter-Strike: Source","2.17%","05:15","27.43%","189:58","88.42‱"
"23","Terraria","2.15%","06:43","11.13%","56:19","33.63‱"
"24","Starbound","2.09%","09:27","4.75%","48:15","14‱"
"25","PAYDAY 2","2.06%","04:41","12.22%","53:17","37.63‱"
"26","DayZ","2.01%","06:05","11.78%","79:13","34.43‱"
"27","The Binding of Isaac: Rebirth","1.73%","05:09","3.68%","91:22","10.86‱"
"28","Call of Duty: Modern Warfare 3 - Multiplayer","1.73%","03:53","10.4%","129:58","31.54‱"
"29","Brawlhalla","1.68%","02:21","4.95%","08:47","15.47‱"
"30","Cities: Skylines","1.68%","06:15","6.99%","37:32","20.64‱"
"31","The Forest","1.68%","04:30","6.61%","22:27","19.86‱"
"32","Clicker Heroes","1.67%","14:52","6.93%","111:20","24.3‱"
"33","Heroes & Generals","1.65%","04:34","9.16%","17:59","33.89‱"
"34","AdVenture Capitalist","1.64%","05:07","5.82%","62:37","20.03‱"
"35","Borderlands 2","1.59%","04:53","12.56%","57:37","38.21‱"
"36","Left 4 Dead 2","1.45%","01:52","18.73%","29:55","60.64‱"
"37","Age of Empires II: HD Edition","1.43%","03:57","7.12%","26:37","22.97‱"
"38","Warframe","1.37%","15:20","9.12%","70:51","36.25‱"
"39","Call of Duty: Modern Warfare 2 - Multiplayer","1.32%","02:41","13.41%","168:45","40.19‱"
"40","Ghost in the Shell: Stand Alone Complex - First Assault Online","1.25%","03:06","1.29%","07:39","4.88‱"
"41","The Witcher 3: Wild Hunt","1.17%","09:34","2.6%","70:19","8.56‱"
"42","Europa Universalis IV","1.04%","16:19","1.79%","217:17","5.46‱"
"43","Space Engineers","1.01%","07:19","4.57%","47:07","14.49‱"
"44","Company of Heroes 2","1.01%","06:31","4.58%","60:28","14.92‱"
"45","Farming Simulator 15","0.98%","09:06","1.83%","83:33","5.37‱"
"46","American Truck Simulator","0.95%","03:28","1.6%","29:19","4.72‱"
"47","H1Z1: King of the Kill","0.95%","03:29","1.51%","15:13","11.98‱"
"48","7 Days to Die","0.94%","10:51","3.68%","70:25","10.99‱"
"49","Deus Ex: Mankind Divided","0.94%","07:53","0.36%","07:53","1.17‱"
"50","Robocraft","0.89%","06:48","8.42%","27:46","32.05‱"
