"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","38.41%","13:50","40.39%","303:16","125.18‱"
"2","Rocket League","8.22%","07:38","8.91%","60:54","27.85‱"
"3","Dota 2","7.15%","22:23","24.09%","262:11","73.69‱"
"4","Arma 3","5.76%","18:10","9.92%","200:46","30.61‱"
"5","ARK: Survival Evolved","5.62%","16:25","8.61%","105:28","27.04‱"
"6","Garry's Mod","4.35%","07:03","17.12%","69:44","56.23‱"
"7","Grand Theft Auto V","4.34%","06:37","6.74%","105:46","20.95‱"
"8","The Elder Scrolls V: Skyrim","3.85%","07:50","18.68%","99:04","59.25‱"
"9","Team Fortress 2","3.72%","11:03","28.34%","80:29","86.7‱"
"10","Call of Duty: Black Ops III","3.59%","08:38","4.36%","70:50","13.45‱"
"11","Fallout 4","3.29%","13:01","5.96%","80:56","18.41‱"
"12","DayZ","3.12%","05:09","11.85%","78:53","36.39‱"
"13","Euro Truck Simulator 2","2.99%","07:10","6.62%","63:39","21.45‱"
"14","Call of Duty: Black Ops II - Multiplayer","2.97%","04:31","10.13%","135:15","32.33‱"
"15","Sid Meier's Civilization V","2.74%","09:54","9.13%","95:31","29.24‱"
"16","Total War: WARHAMMER","2.45%","15:32","1.04%","15:31","3.38‱"
"17","Terraria","2.43%","06:04","11.43%","57:53","36.24‱"
"18","Unturned","2.38%","05:38","15.57%","15:08","58.88‱"
"19","DOOM","2.38%","09:47","1.05%","11:30","3.24‱"
"20","Counter-Strike: Source","2.18%","04:44","29.07%","202:00","98.4‱"
"21","War Thunder","2.14%","05:46","7.76%","46:33","33.67‱"
"22","Borderlands 2","2.04%","05:50","12.47%","59:21","39.93‱"
"23","DARK SOULS III","1.99%","13:12","1.62%","53:59","5.03‱"
"24","PAYDAY 2","1.83%","06:13","11.89%","58:27","38.21‱"
"25","AdVenture Capitalist","1.83%","04:13","5.52%","57:40","20.89‱"
"26","Warframe","1.82%","15:49","8.77%","72:30","36.04‱"
"27","Call of Duty: Modern Warfare 2 - Multiplayer","1.81%","01:34","13.53%","169:35","42.69‱"
"28","Cities: Skylines","1.74%","06:18","6.63%","29:58","20.57‱"
"29","Clicker Heroes","1.7%","15:46","7.05%","94:22","26.48‱"
"30","Rust","1.68%","12:34","6.62%","76:29","20.7‱"
"31","Stellaris","1.64%","24:10","0.8%","33:58","2.51‱"
"32","Call of Duty: Modern Warfare 3 - Multiplayer","1.55%","04:18","10.16%","136:32","32.7‱"
"33","Stardew Valley","1.5%","08:20","2.61%","37:14","8.1‱"
"34","Left 4 Dead 2","1.48%","04:07","19.01%","30:11","64.28‱"
"35","Brawlhalla","1.48%","02:55","3.93%","07:30","13.22‱"
"36","Heroes & Generals","1.43%","04:49","8.78%","16:45","35.12‱"
"37","The Forest","1.37%","05:32","6.18%","19:43","19.13‱"
"38","The Witcher 3: Wild Hunt","1.36%","11:42","2.17%","61:43","7.13‱"
"39","Company of Heroes 2","1.27%","07:01","4.68%","68:25","15.72‱"
"40","SMITE","1.27%","07:17","3.77%","22:18","15.44‱"
"41","Tom Clancy's Rainbow Six Siege","1.15%","08:57","1.11%","61:22","3.44‱"
"42","Robocraft","1.03%","02:48","8.18%","21:12","33.05‱"
"43","Factorio","1.02%","09:21","1.36%","34:40","4.26‱"
"44","American Truck Simulator","1.01%","05:11","1.28%","26:26","3.99‱"
"45","Total War: ROME II - Emperor Edition","0.97%","05:44","3.91%","100:29","12.4‱"
"46","Dirty Bomb","0.93%","04:32","4.77%","10:57","20.08‱"
"47","Age of Empires II: HD Edition","0.93%","05:20","6.33%","25:55","20.8‱"
"48","Shakes and Fidget","0.92%","21:08","1.38%","54:14","4.75‱"
"49","Counter-Strike","0.92%","06:20","15.31%","114:52","60.75‱"
