"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","35.75%","12:56","40.65%","321:59","118.32‱"
"2","Rocket League","11.2%","08:48","10.67%","73:08","31.35‱"
"3","Dota 2","6.33%","18:40","22.99%","244:38","66.18‱"
"4","Arma 3","5.17%","16:53","9.72%","256:23","28.22‱"
"5","ARK: Survival Evolved","4.62%","18:04","10.24%","123:04","30.27‱"
"6","Garry's Mod","4.33%","05:29","17.82%","73:07","54.47‱"
"7","Grand Theft Auto V","4.25%","06:34","7.2%","112:24","21‱"
"8","The Elder Scrolls V: Skyrim","3.5%","06:28","18.41%","101:37","55.01‱"
"9","Team Fortress 2","3.46%","14:50","27.91%","82:26","80.34‱"
"10","Euro Truck Simulator 2","3.4%","06:34","7.06%","83:23","21.42‱"
"11","Call of Duty: Black Ops III","3.16%","07:04","4.72%","85:00","14.03‱"
"12","Call of Duty: Black Ops II - Multiplayer","2.64%","03:04","10.2%","115:23","30.89‱"
"13","Fallout 4","2.52%","12:22","6.26%","88:32","18.25‱"
"14","Dead by Daylight","2.43%","08:28","2.27%","25:25","6.82‱"
"15","Unturned","2.16%","04:52","16.28%","16:18","56.82‱"
"16","Counter-Strike: Source","2.13%","06:52","27.6%","213:24","87.34‱"
"17","Cities: Skylines","2.04%","07:49","7.26%","34:48","21.4‱"
"18","DayZ","2.01%","04:02","11.41%","82:48","32.92‱"
"19","Borderlands 2","2%","09:51","12.03%","59:41","36.63‱"
"20","PAYDAY 2","1.92%","05:42","11.9%","59:25","35.97‱"
"21","Tom Clancy's Rainbow Six Siege","1.82%","07:14","1.91%","62:21","5.63‱"
"22","Sid Meier's Civilization V","1.8%","08:15","9.07%","96:47","27.85‱"
"23","Call of Duty: Modern Warfare 2 - Multiplayer","1.77%","02:37","13.18%","172:16","39.36‱"
"24","Terraria","1.76%","04:58","11.26%","55:54","33.67‱"
"25","Call of Duty: Modern Warfare 3 - Multiplayer","1.74%","03:33","10.15%","137:08","30.74‱"
"26","The Forest","1.71%","03:39","6.55%","22:25","19.49‱"
"27","War Thunder","1.71%","04:45","7.86%","51:03","31.49‱"
"28","Heroes & Generals","1.62%","05:24","9.06%","20:55","34.14‱"
"29","Warframe","1.61%","16:12","9.19%","72:54","35.78‱"
"30","Rust","1.53%","13:23","6.83%","88:19","20.46‱"
"31","Clicker Heroes","1.42%","16:47","7.23%","108:41","24.89‱"
"32","Brawlhalla","1.4%","02:08","5.3%","07:30","16.58‱"
"33","The Binding of Isaac: Rebirth","1.37%","03:04","3.34%","87:18","9.71‱"
"34","Company of Heroes 2","1.36%","10:50","4.95%","86:39","15.6‱"
"35","Tropico 4","1.22%","04:23","2.86%","14:28","12.92‱"
"36","Total War: WARHAMMER","1.22%","06:40","1.8%","45:55","5.23‱"
"37","Age of Empires II: HD Edition","1.21%","03:15","7.36%","26:13","23.3‱"
"38","Paladins","1.18%","02:24","0.45%","02:24","1.82‱"
"39","Path of Exile","1.16%","26:49","5.78%","59:16","22.81‱"
"40","AdVenture Capitalist","1.15%","04:26","5.66%","50:08","19.82‱"
"41","Mount & Blade: Warband","1.03%","09:46","2.87%","129:49","8.96‱"
"42","The Witcher 3: Wild Hunt","1%","14:08","2.84%","66:45","8.9‱"
"43","Left 4 Dead 2","0.98%","07:24","18.84%","34:03","60.24‱"
"44","Evolve","0.98%","01:36","5.39%","12:58","20.51‱"
"45","SMITE","0.98%","06:37","3.91%","21:11","15.31‱"
"46","Total War: ROME II - Emperor Edition","0.95%","05:17","4.14%","96:47","12.36‱"
"47","Life is Feudal: Forest Village","0.94%","11:03","0.4%","11:52","1.18‱"
"48","Farming Simulator 15","0.94%","09:52","1.73%","110:14","5‱"
"49","Hearts of Iron IV","0.91%","12:19","0.74%","65:52","2.14‱"
"50","7 Days to Die","0.89%","13:38","3.55%","75:51","10.43‱"
