"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","37.95%","14:08","38.51%","271:13","124.49‱"
"2","Rocket League","7.51%","08:00","7.69%","45:29","25.23‱"
"3","Dota 2","6.48%","23:50","23.35%","258:29","74.15‱"
"4","Garry's Mod","5.11%","05:39","16.77%","63:29","57.06‱"
"5","Grand Theft Auto V","4.67%","09:06","6.35%","95:25","20.35‱"
"6","ARK: Survival Evolved","4.66%","21:46","7.45%","99:28","24.42‱"
"7","Call of Duty: Black Ops III","4.4%","11:57","3.75%","59:39","12‱"
"8","Arma 3","4.36%","17:12","8.78%","192:38","28.18‱"
"9","Team Fortress 2","4.2%","12:14","27.76%","83:35","88.15‱"
"10","The Elder Scrolls V: Skyrim","3.93%","08:28","18.06%","98:02","60.13‱"
"11","Euro Truck Simulator 2","3.4%","06:56","6.5%","61:22","22.01‱"
"12","Counter-Strike: Source","3.4%","04:59","29.7%","219:13","104.27‱"
"13","Fallout 4","3.26%","09:44","5.66%","67:43","18.17‱"
"14","Cities: Skylines","3.15%","04:41","6.58%","29:00","21.59‱"
"15","DayZ","2.93%","06:52","11.62%","76:34","36.96‱"
"16","Call of Duty: Black Ops II - Multiplayer","2.85%","04:08","10.1%","124:02","33.37‱"
"17","Unturned","2.69%","04:29","14.48%","14:36","57.97‱"
"18","PAYDAY 2","2.48%","06:37","11.49%","54:14","38.68‱"
"19","Clicker Heroes","2.4%","18:44","6.49%","99:51","25.59‱"
"20","Sid Meier's Civilization V","2.33%","11:32","9.15%","117:24","30.73‱"
"21","XCOM 2","2.31%","17:39","1.08%","27:36","3.59‱"
"22","The Binding of Isaac: Rebirth","2.2%","04:45","3.48%","76:59","11.17‱"
"23","AdVenture Capitalist","2.09%","07:57","4.98%","54:37","19.97‱"
"24","Borderlands 2","1.99%","06:04","12.24%","59:05","41.08‱"
"25","Warframe","1.98%","13:36","7.99%","68:45","35.54‱"
"26","Rise of the Tomb Raider™","1.95%","07:35","1.21%","16:01","4.21‱"
"27","Rust","1.91%","17:56","6.16%","74:55","20.04‱"
"28","American Truck Simulator","1.85%","09:58","0.92%","16:38","2.95‱"
"29","H1Z1","1.79%","05:18","3.89%","46:17","12.51‱"
"30","Call of Duty: Modern Warfare 2 - Multiplayer","1.76%","02:57","13.73%","173:22","45.05‱"
"31","Dying Light","1.75%","10:37","2.15%","30:00","6.97‱"
"32","Terraria","1.74%","05:17","10.8%","53:51","35.86‱"
"33","War Thunder","1.71%","07:08","7.22%","54:00","32.43‱"
"34","Left 4 Dead 2","1.67%","02:59","19.22%","32:04","68.51‱"
"35","Company of Heroes 2","1.61%","08:02","4.53%","71:19","15.8‱"
"36","Call of Duty: Modern Warfare 3 - Multiplayer","1.59%","03:53","10.81%","139:10","35.59‱"
"37","Brawlhalla","1.58%","03:12","2.53%","07:37","9.11‱"
"38","The Forest","1.51%","05:21","5.91%","19:05","19.06‱"
"39","Heroes & Generals","1.47%","06:43","7.87%","17:21","33.96‱"
"40","Tom Clancy's Rainbow Six Siege","1.45%","11:08","0.92%","45:14","2.97‱"
"41","Age of Empires II: HD Edition","1.4%","04:48","6.72%","23:19","23.3‱"
"42","XCOM: Enemy Unknown","1.3%","07:47","4.64%","40:16","17.3‱"
"43","Total War: ROME II - Emperor Edition","1.25%","09:01","3.78%","102:52","12.65‱"
"44","Counter-Strike","1.15%","09:16","16.06%","119:43","66.17‱"
"45","SMITE","1.13%","11:44","2.69%","22:00","11.55‱"
"46","Agent Origins: Escape","1.12%","00:15","0.48%","00:15","1.6‱"
"47","Portal 2","1.08%","03:27","11.31%","14:56","41.17‱"
"48","Robocraft","1.04%","06:32","7.39%","20:48","31.86‱"
"49","Call of Duty: Black Ops II - Zombies","1.03%","02:03","8.68%","16:09","33.37‱"
"50","Tom Clancy's The Division - Beta","1.02%","04:34","0.46%","05:43","3.1‱"
