"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","40.89%","17:26","35.93%","251:10","124‱"
"2","Dota 2","7.3%","19:44","23.63%","251:26","80.42‱"
"3","Rocket League","6.47%","08:13","4.96%","30:56","17.45‱"
"4","Arma 3","4.89%","16:38","8.84%","191:59","30.35‱"
"5","ARK: Survival Evolved","4.39%","20:44","5.35%","73:15","18.38‱"
"6","Garry's Mod","4.31%","06:14","15.84%","68:55","57.96‱"
"7","AdVenture Capitalist","4.26%","08:41","4.54%","47:08","19.99‱"
"8","Team Fortress 2","4.21%","12:07","28.64%","76:02","97.46‱"
"9","Grand Theft Auto V","3.9%","07:05","5.37%","81:24","18.43‱"
"10","The Elder Scrolls V: Skyrim","3.8%","08:19","18.32%","97:58","64.5‱"
"11","Call of Duty: Black Ops II - Multiplayer","3.77%","05:55","10.51%","130:06","37.48‱"
"12","Clicker Heroes","3.55%","11:58","5.96%","71:11","25.64‱"
"13","Cities: Skylines","3.18%","08:12","5.79%","27:32","20.04‱"
"14","DayZ","3.17%","06:07","12.2%","72:22","41.65‱"
"15","Counter-Strike: Source","3.15%","04:07","32.08%","207:46","119.29‱"
"16","PAYDAY 2","3.05%","07:35","10.83%","55:10","38.51‱"
"17","Euro Truck Simulator 2","2.87%","09:20","5.24%","62:08","19.16‱"
"18","Unturned","2.64%","06:38","13.37%","12:25","58.46‱"
"19","Borderlands 2","2.29%","05:45","11.81%","58:22","42.28‱"
"20","Terraria","2.18%","06:46","10.58%","55:28","37.79‱"
"21","Warframe","2.11%","15:36","7.09%","63:13","33.62‱"
"22","Prison Architect","2.05%","06:11","3.32%","24:13","11.82‱"
"23","Sid Meier's Civilization V","2.05%","11:33","8.54%","116:39","30.61‱"
"24","War Thunder","2.05%","09:10","6.48%","62:24","31.85‱"
"25","The Binding of Isaac: Rebirth","2.02%","06:38","2.74%","70:07","9.47‱"
"26","Call of Duty: Modern Warfare 2 - Multiplayer","1.78%","02:56","14.19%","177:46","49.75‱"
"27","Call of Duty: Modern Warfare 3 - Multiplayer","1.71%","03:13","10.87%","143:28","38.51‱"
"28","Left 4 Dead 2","1.61%","03:33","19.56%","34:38","74.75‱"
"29","METAL GEAR SOLID V: THE PHANTOM PAIN","1.6%","13:37","1.18%","45:22","4.17‱"
"30","SpeedRunners","1.49%","02:58","1.85%","09:03","74.7‱"
"31","The Forest","1.49%","03:31","5.54%","16:15","19.04‱"
"32","H1Z1","1.48%","07:31","3.02%","41:51","10.33‱"
"33","Rust","1.4%","16:39","5.8%","66:53","19.89‱"
"34","SMITE","1.39%","06:44","1.21%","08:09","6.17‱"
"35","Company of Heroes 2","1.35%","05:41","4.46%","58:21","17.07‱"
"36","Aftermath","1.27%","01:57","0.69%","02:07","3.37‱"
"37","Total War: ROME II - Emperor Edition","1.25%","08:03","3.92%","103:54","14.05‱"
"38","Tomb Raider","1.22%","05:36","6.77%","14:03","27.26‱"
"39","Mad Max","1.18%","14:08","1.14%","24:20","3.95‱"
"40","Call of Duty: Black Ops II - Zombies","1.16%","05:46","9.12%","16:40","37.48‱"
"41","Arma 2: Operation Arrowhead","1.09%","11:00","9.55%","44:37","35.67‱"
"42","Project CARS","1.08%","03:55","1.29%","26:23","4.43‱"
"43","Heroes & Generals","1.07%","06:25","7.08%","15:59","33.34‱"
"44","The Witcher 3: Wild Hunt","1.06%","09:26","1.54%","58:23","5.39‱"
"45","Age of Empires II: HD Edition","1.04%","04:56","5.74%","22:28","21.02‱"
"46","Fallout: New Vegas","1.04%","07:42","6.33%","46:26","24.22‱"
"47","Trove","1%","06:18","3.53%","13:28","15.42‱"
"48","Europa Universalis IV","1%","15:57","1.45%","146:25","5.13‱"
"49","Robocraft","1%","04:42","7.07%","20:33","32.79‱"
"50","Counter-Strike","0.98%","05:12","16.73%","120:20","73.67‱"
