"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","33.74%","11:51","40.91%","361:50","113.89‱"
"2","PLAYERUNKNOWN'S BATTLEGROUNDS","8.88%","15:41","4.15%","33:36","11.56‱"
"3","Rocket League","8.11%","08:05","11.39%","91:33","32.16‱"
"4","Grand Theft Auto V","5.51%","09:35","8.4%","127:51","23.41‱"
"5","Garry's Mod","5.27%","06:11","17.86%","77:42","51.8‱"
"6","Dota 2","5%","20:33","23.38%","270:30","64.31‱"
"7","ShellShock Live","4.65%","06:30","2.86%","16:51","8‱"
"8","Arma 3","4.53%","18:48","10.25%","247:31","28.58‱"
"9","ARK: Survival Evolved","3.54%","20:55","10.96%","140:55","30.94‱"
"10","H1Z1: King of the Kill","3.52%","08:29","5.06%","39:52","18.15‱"
"11","Euro Truck Simulator 2","3.04%","07:19","7.51%","82:27","21.65‱"
"12","Tom Clancy's Rainbow Six Siege","3%","10:09","3.61%","101:03","10.05‱"
"13","Team Fortress 2","2.87%","11:56","26.44%","92:25","72.7‱"
"14","The Elder Scrolls V: Skyrim","2.85%","08:39","17.72%","100:05","50.41‱"
"15","Fallout Shelter","2.67%","07:50","2.38%","11:05","8.54‱"
"16","Paladins","2.57%","04:55","6.69%","16:12","21.07‱"
"17","Call of Duty: Black Ops II","2.38%","04:12","10.19%","112:01","29.3‱"
"18","Call of Duty: Black Ops III","2.05%","05:16","4.53%","85:39","12.75‱"
"19","Brawlhalla","1.95%","02:28","6.73%","13:29","19.99‱"
"20","War Thunder","1.95%","06:41","8.26%","70:14","31.34‱"
"21","Wallpaper Engine","1.81%","03:07","1.41%","13:08","3.96‱"
"22","Last Man Standing","1.73%","03:17","1.07%","03:36","3.71‱"
"23","Terraria","1.71%","05:39","10.52%","62:01","29.95‱"
"24","PAYDAY 2","1.7%","06:31","12.3%","54:03","35.82‱"
"25","Fallout 4","1.68%","07:31","6.92%","92:42","19.49‱"
"26","Cities: Skylines","1.63%","06:07","7.58%","39:03","21.5‱"
"27","Counter-Strike: Source","1.58%","07:01","25.64%","209:24","78.02‱"
"28","Unturned","1.54%","03:54","16.78%","20:03","55‱"
"29","Warframe","1.54%","12:10","9.32%","83:25","35.41‱"
"30","Borderlands 2","1.41%","05:54","12.22%","60:07","35.5‱"
"31","Age of Empires II HD","1.41%","04:33","7.39%","32:50","22.28‱"
"32","DARK SOULS III","1.39%","09:58","2.07%","72:58","5.82‱"
"33","Warhammer 40,000: Dawn of War III","1.38%","12:16","0.54%","12:16","1.51‱"
"34","Sid Meier's Civilization V","1.38%","09:13","9.29%","119:56","27.23‱"
"35","Factorio","1.34%","17:29","1.98%","72:26","5.51‱"
"36","Call of Duty®: Modern Warfare® 3","1.31%","03:48","9.44%","126:18","27.23‱"
"37","Company of Heroes 2","1.29%","06:12","5.06%","75:05","15.43‱"
"38","The Forest","1.28%","04:10","8.09%","22:25","22.62‱"
"39","The Witcher 3: Wild Hunt","1.26%","12:34","3.69%","70:26","11.06‱"
"40","Stardew Valley","1.26%","06:36","3.62%","43:18","10.57‱"
"41","DayZ","1.24%","03:47","10.51%","95:48","29.07‱"
"42","Left 4 Dead 2","1.23%","03:41","17.81%","39:09","54.48‱"
"43","Dead by Daylight","1.19%","07:09","3.34%","39:51","9.53‱"
"44","Stellaris","1.17%","16:32","1.55%","81:45","4.38‱"
"45","Alien Swarm: Reactive Drop","1.16%","01:46","0.53%","01:48","1.8‱"
"46","Heroes & Generals","1.14%","05:28","10.84%","21:56","37.82‱"
"47","Rust","1.14%","09:26","6.74%","99:23","19.4‱"
"48","The Binding of Isaac: Rebirth","1.12%","04:57","3.28%","98:49","9.15‱"
"49","Farming Simulator 17","1.12%","14:01","1.46%","83:54","4.05‱"
"50","The Elder Scrolls V: Skyrim Special Edition","1.06%","07:34","3.88%","20:26","25.75‱"
