"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","33.26%","19:28","30.96%","181:11","114.54‱"
"2","Cities: Skylines","7.62%","09:42","3.84%","16:13","14.31‱"
"3","Garry's Mod","6.55%","06:44","14.79%","64:42","58.48‱"
"4","Arma 3","6.48%","21:06","8.27%","150:25","30.6‱"
"5","The Elder Scrolls V: Skyrim","5.98%","08:54","18.33%","97:28","68.89‱"
"6","PAYDAY 2","5.71%","10:14","10.2%","47:31","42.2‱"
"7","DayZ","5.33%","11:16","12.47%","64:37","45.53‱"
"8","Counter-Strike: Source","4.61%","03:50","34.66%","214:39","139.03‱"
"9","Call of Duty: Black Ops II - Multiplayer","4.27%","05:14","10.2%","118:41","38.41‱"
"10","Dota 2","3.92%","20:30","9.7%","246:52","35.29‱"
"11","Borderlands 2","3.01%","07:56","11.66%","56:36","44.46‱"
"12","War Thunder","2.93%","09:15","5.61%","54:42","27.26‱"
"13","Sid Meier's Civilization V","2.9%","12:49","8.44%","89:09","32.47‱"
"14","Call of Duty: Modern Warfare 2 - Multiplayer","2.74%","03:43","16.53%","185:09","62.05‱"
"15","Euro Truck Simulator 2","2.55%","08:32","4.82%","45:23","19.17‱"
"16","Call of Duty: Modern Warfare 3 - Multiplayer","2.51%","04:38","11.69%","144:24","44.12‱"
"17","Unturned","2.44%","03:21","11.69%","08:47","53.45‱"
"18","Left 4 Dead 2","2.44%","02:04","20.68%","31:17","85.18‱"
"19","Arma 2: Operation Arrowhead","2.1%","11:55","9.98%","46:18","39.54‱"
"20","Terraria","2.1%","04:47","10.46%","41:59","40.16‱"
"21","Call of Duty: Advanced Warfare - Multiplayer","2.06%","07:39","3.36%","38:16","15.44‱"
"22","The Binding of Isaac: Rebirth","2.02%","06:16","2.53%","50:51","9.28‱"
"23","Team Fortress 2","1.94%","15:00","12%","76:19","43.67‱"
"24","Call of Duty: Black Ops II - Zombies","1.9%","01:44","8.85%","17:28","38.41‱"
"25","Company of Heroes 2","1.9%","09:37","4.88%","59:16","20.42‱"
"26","The Forest","1.9%","02:49","4.84%","10:40","17.93‱"
"27","Warframe","1.83%","15:22","5.35%","57:41","25.85‱"
"28","Robocraft","1.6%","08:23","6.38%","15:22","30.66‱"
"29","H1Z1","1.56%","10:37","1.85%","27:37","6.79‱"
"30","Age of Empires II: HD Edition","1.52%","05:06","5.8%","26:54","22.91‱"
"31","Rust","1.52%","09:14","5.18%","68:27","18.84‱"
"32","Heroes & Generals","1.52%","04:24","5.94%","09:06","27.21‱"
"33","Total War: ROME II - Emperor Edition","1.49%","09:20","4.09%","96:49","16.46‱"
"34","Counter-Strike","1.41%","07:00","18.21%","123:34","84.39‱"
"35","Nosgoth","1.37%","03:07","3.51%","05:27","19.46‱"
"36","Grand Theft Auto IV","1.37%","04:50","8.44%","25:04","33.82‱"
"37","Dying Light","1.33%","09:11","1.31%","26:01","4.81‱"
"38","Far Cry® 3","1.33%","05:22","6.86%","21:52","28.05‱"
"39","Reign Of Kings","1.18%","16:41","0.56%","22:41","2.09‱"
"40","Borderlands: The Pre-Sequel","1.18%","10:31","2.29%","29:28","8.65‱"
"41","Saints Row IV","1.14%","02:21","5.22%","21:38","22.12‱"
"42","Life Is Strange™","1.14%","04:27","0.72%","06:00","3‱"
"43","Half-Life 2: Update","1.1%","01:54","0.45%","01:54","3.39‱"
"44","Evolve","1.1%","02:03","1.62%","14:43","6.05‱"
"45","7 Days to Die","1.07%","06:26","2.55%","28:51","9.67‱"
"46","Europa Universalis IV","1.07%","16:55","1.54%","147:12","10.41‱"
"47","DRAGON BALL XENOVERSE","1.07%","18:52","0.75%","35:32","2.77‱"
"48","Space Engineers","1.07%","07:06","3.53%","32:02","15.16‱"
"49","Company of Heroes (New Steam Version)","1.03%","08:58","3.17%","42:14","24.94‱"
"50","PlanetSide 2","1.03%","02:44","4.77%","32:22","22.96‱"
