"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","30.63%","13:35","41.45%","362:08","109.98‱"
"2","PLAYERUNKNOWN'S BATTLEGROUNDS","15.04%","14:17","8.26%","59:36","21.84‱"
"3","Rocket League","8.7%","07:28","12.07%","109:42","32.26‱"
"4","Dota 2","5.14%","21:20","22.93%","286:17","60‱"
"5","Grand Theft Auto V","5.01%","10:26","8.83%","138:57","23.42‱"
"6","Garry's Mod","4.98%","06:46","18.45%","79:32","51.02‱"
"7","ShellShock Live","4.39%","03:28","4.89%","22:53","12.97‱"
"8","Euro Truck Simulator 2","4.28%","10:02","8.18%","95:59","22.64‱"
"9","ARK: Survival Evolved","3.98%","21:14","11.31%","152:16","30.49‱"
"10","Arma 3","3.39%","16:06","10.25%","247:07","27.47‱"
"11","Tom Clancy's Rainbow Six Siege","3.38%","13:44","3.98%","103:54","10.66‱"
"12","Team Fortress 2","3.06%","13:30","26.36%","91:42","68.97‱"
"13","PAYDAY 2: Ultimate Edition","2.91%","08:39","15.87%","51:55","52.45‱"
"14","Paladins","2.76%","05:41","7.57%","19:50","22.81‱"
"15","Cities: Skylines","2.48%","07:02","8.18%","38:56","21.86‱"
"16","Warframe","2.48%","13:12","10.32%","95:42","36.07‱"
"17","H1Z1: King of the Kill","2.36%","09:12","5.37%","47:11","17.79‱"
"18","The Elder Scrolls V: Skyrim","2.21%","09:42","17.44%","104:06","47.07‱"
"19","Unturned","2.18%","05:01","16.63%","19:03","52.55‱"
"20","Wallpaper Engine","2.18%","03:01","2.14%","11:32","5.72‱"
"21","The Forest","2.13%","05:03","8.52%","27:55","22.71‱"
"22","Call of Duty: Black Ops II","2.06%","02:48","9.73%","111:37","26.61‱"
"23","Dead by Daylight","2.05%","07:19","4.27%","48:59","11.54‱"
"24","Fallout 4","1.91%","12:37","7.34%","90:28","19.75‱"
"25","7 Days to Die","1.88%","15:11","4.16%","81:26","11.17‱"
"26","Rust","1.86%","12:33","7.12%","102:20","19.61‱"
"27","Terraria","1.86%","10:22","10.81%","63:26","29.21‱"
"28","Left 4 Dead 2","1.76%","02:34","18.41%","31:04","54.11‱"
"29","Counter-Strike: Source","1.73%","03:27","24.48%","196:06","71.31‱"
"30","Middle-earth: Shadow of Mordor","1.7%","05:15","6.09%","19:44","18.83‱"
"31","Call of Duty: Black Ops III","1.66%","05:51","4.7%","97:48","12.61‱"
"32","Brawlhalla","1.63%","02:58","6.99%","12:06","19.59‱"
"33","War Thunder","1.55%","06:01","8.81%","51:42","31.51‱"
"34","The Binding of Isaac: Rebirth","1.55%","05:36","3.33%","111:26","8.85‱"
"35","Age of Empires II HD","1.51%","04:50","7.67%","32:41","21.6‱"
"36","The Witcher 3: Wild Hunt","1.48%","10:35","4.44%","62:13","12.83‱"
"37","Borderlands 2","1.48%","06:57","12.07%","61:00","33.11‱"
"38","Portal 2","1.36%","03:10","11.24%","14:51","34.04‱"
"39","Sid Meier's Civilization V","1.36%","09:15","9.54%","96:25","26.27‱"
"40","Stardew Valley","1.31%","10:19","4.16%","43:51","11.51‱"
"41","The Elder Scrolls V: Skyrim Special Edition","1.23%","08:33","4.38%","28:29","24.49‱"
"42","Call of Duty: Modern Warfare 2","1.2%","03:50","12%","166:57","32.61‱"
"43","Farming Simulator 17","1.13%","14:41","1.39%","85:44","3.64‱"
"44","DayZ","1.11%","08:33","10.81%","88:48","28.36‱"
"45","Total War: WARHAMMER","1.11%","08:52","2.51%","62:43","7‱"
"46","American Truck Simulator","1.1%","04:59","2.13%","38:21","5.69‱"
"47","Factorio","1.1%","13:34","2.36%","85:23","6.26‱"
"48","Jotun: Valhalla Edition","1.06%","01:35","0.63%","01:52","6.09‱"
"49","Path of Exile","1.06%","09:41","6.97%","77:10","24.1‱"
"50","Just Cause 3","1.03%","04:41","2.65%","28:00","7.86‱"
