"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","29.65%","11:05","41.74%","375:17","103.14‱"
"2","PLAYERUNKNOWN'S BATTLEGROUNDS","19.4%","13:32","11.89%","83:44","29.28‱"
"3","Rocket League","8.56%","08:51","12.51%","107:30","31.27‱"
"4","Grand Theft Auto V","5.04%","11:14","9.49%","146:39","23.46‱"
"5","Dota 2","5.01%","20:18","22.87%","293:09","55.89‱"
"6","ARK: Survival Evolved","3.98%","21:11","11.8%","142:47","29.75‱"
"7","Garry's Mod","3.79%","05:01","18.13%","84:40","46.73‱"
"8","Tom Clancy's Rainbow Six Siege","3.51%","10:59","4.4%","112:49","10.9‱"
"9","Euro Truck Simulator 2","3.46%","09:04","8.43%","96:58","21.6‱"
"10","Arma 3","3.31%","17:18","10.94%","263:47","26.98‱"
"11","Team Fortress 2","2.45%","14:04","26.62%","86:50","65.06‱"
"12","Paladins","2.32%","07:47","8.23%","18:41","22.83‱"
"13","Dead by Daylight","2.31%","11:27","4.39%","53:56","11.29‱"
"14","ShellShock Live","2.28%","02:51","4.89%","24:49","12.09‱"
"15","Divinity: Original Sin 2","2.18%","26:09","0.95%","40:02","2.43‱"
"16","Wallpaper Engine","2.15%","02:25","2.48%","12:47","6.18‱"
"17","Fallout 4","2.09%","07:53","7.89%","89:42","19.81‱"
"18","Warframe","2.07%","16:58","10.67%","81:02","34.62‱"
"19","The Elder Scrolls V: Skyrim","1.92%","05:14","17.38%","107:28","43.82‱"
"20","Call of Duty: Black Ops II","1.9%","03:16","10.19%","128:22","25.98‱"
"21","Age of Empires II HD","1.82%","05:30","8.01%","31:57","21.18‱"
"22","Call of Duty: Black Ops III","1.79%","05:16","5.02%","89:48","12.49‱"
"23","Cities: Skylines","1.75%","04:31","8.73%","37:15","21.85‱"
"24","PAYDAY 2: Ultimate Edition","1.75%","04:44","16.13%","47:00","48.77‱"
"25","War Thunder","1.72%","07:43","8.9%","67:43","29.17‱"
"26","The Elder Scrolls V: Skyrim Special Edition","1.62%","07:14","4.96%","30:00","23.66‱"
"27","Total War: WARHAMMER II","1.61%","23:30","0.62%","23:30","1.64‱"
"28","Terraria","1.56%","06:34","11.08%","62:30","28.03‱"
"29","The Forest","1.56%","06:08","8.55%","25:14","21.38‱"
"30","Unturned","1.48%","05:25","16.98%","20:05","49.17‱"
"31","Sid Meier's Civilization V","1.48%","10:10","9.28%","94:08","24.02‱"
"32","H1Z1: King of the Kill","1.48%","07:27","5.45%","46:14","16.61‱"
"33","Stellaris","1.42%","17:36","2.06%","85:43","5.43‱"
"34","Counter-Strike: Source","1.39%","03:16","24.43%","194:48","66.7‱"
"35","Rust","1.37%","07:41","7.55%","94:15","19.38‱"
"36","Outlast","1.36%","01:21","3.08%","04:02","13.42‱"
"37","Brawlhalla","1.33%","05:59","7.6%","12:25","19.79‱"
"38","The Binding of Isaac: Rebirth","1.29%","05:31","3.21%","112:54","8‱"
"39","Middle-earth: Shadow of Mordor","1.22%","04:37","6.63%","18:02","19.11‱"
"40","Total War: WARHAMMER","1.19%","05:25","2.64%","66:19","6.81‱"
"41","The Witcher 3: Wild Hunt","1.19%","08:47","4.5%","74:21","12.16‱"
"42","Borderlands 2","1.19%","04:22","12.47%","55:37","32.01‱"
"43","Path of Exile","1.17%","18:28","7.8%","62:26","24.62‱"
"44","Company of Heroes 2","1.14%","06:48","5.05%","83:31","13.79‱"
"45","Star Wars: Battlefront 2 (Classic, 2005)","1.12%","01:04","3.36%","08:24","10.59‱"
"46","DayZ","1.11%","06:50","10.51%","94:18","25.81‱"
"47","Hearts of Iron IV","1.09%","10:42","1.25%","108:46","3.09‱"
"48","Left 4 Dead 2","1.09%","03:30","17.84%","30:53","49.04‱"
"49","Farming Simulator 17","1.09%","16:12","1.58%","99:01","3.88‱"
"50","7 Days to Die","1.06%","16:24","4.18%","82:53","10.59‱"
