"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","65.18%","19:54","49.18%","374:45","226.55‱"
"2","Rocket League","9.34%","06:42","6.7%","45:02","31.02‱"
"3","Brawlhalla","6.98%","03:48","11.75%","10:03","56.18‱"
"4","Unturned","4.97%","05:26","20.93%","16:46","110.84‱"
"5","Team Fortress 2","4.45%","09:02","36.44%","90:24","167.02‱"
"6","Dota 2","4.19%","12:37","21.88%","165:51","100.28‱"
"7","Warframe","3.14%","11:51","9.7%","85:24","59.53‱"
"8","Football Manager 2016","3.05%","29:46","2.05%","252:39","9.39‱"
"9","Counter-Strike","2.62%","03:49","23.38%","396:52","117.72‱"
"10","Garry's Mod","2.44%","03:46","12.18%","40:49","58.19‱"
"11","Grand Theft Auto V","2.27%","08:49","3.26%","84:06","15.09‱"
"12","H1Z1: King of the Kill","1.83%","04:34","1.94%","18:01","20.79‱"
"13","Rust","1.75%","17:05","3.95%","113:09","18.61‱"
"14","SMITE","1.66%","05:05","5.38%","20:13","34.54‱"
"15","War Thunder","1.66%","06:44","5.89%","27:55","39.58‱"
"16","Euro Truck Simulator 2","1.66%","03:48","3.48%","83:06","17.27‱"
"17","Warface","1.57%","05:18","9.88%","16:25","60.7‱"
"18","Left 4 Dead 2","1.57%","03:24","15.81%","32:27","78.14‱"
"19","Counter-Strike: Source","1.57%","02:33","18.51%","333:28","93.74‱"
"20","PAYDAY 2","1.48%","04:54","6.77%","42:37","32.7‱"
"21","Robocraft","1.48%","03:28","7.54%","14:10","44.94‱"
"22","Trove","1.48%","09:15","7.39%","27:19","42.59‱"
"23","Bloons TD Battles","1.31%","01:34","0.55%","01:34","2.85‱"
"24","Arma 3","1.31%","20:42","1.83%","146:25","8.55‱"
"25","Shakes and Fidget","1.22%","17:12","1.9%","24:22","10.9‱"
"26","Heroes & Generals","1.22%","11:54","8.16%","13:13","47.29‱"
"27","H1Z1","1.13%","18:38","4.39%","64:53","20.29‱"
"28","Pro Evolution Soccer 2016 myClub","1.05%","03:51","3.48%","12:00","23.14‱"
"29","Call of Duty: Black Ops III","1.05%","08:45","0.88%","75:53","4.02‱"
"30","Don't Starve Together Beta","0.96%","04:47","2.27%","14:40","12.74‱"
"31","Clicker Heroes","0.96%","25:21","5.23%","41:31","28.84‱"
"32","AdVenture Capitalist","0.96%","01:01","5.42%","30:29","30.35‱"
"33","Path of Exile","0.87%","09:35","6.22%","62:40","36.05‱"
"34","TrackMania Nations Forever","0.87%","01:23","6.48%","10:03","40.25‱"
"35","The Elder Scrolls V: Skyrim","0.87%","05:06","4.65%","71:05","23.98‱"
"36","Counter-Strike Nexon: Zombies","0.87%","04:54","7.14%","12:13","50.48‱"
"37","S.K.I.L.L. - Special Force 2","0.79%","08:17","4.13%","07:06","26.16‱"
"38","Football Manager 2015","0.79%","13:02","2.85%","426:59","13.25‱"
"39","Call of Duty: Modern Warfare 3 - Multiplayer","0.79%","04:48","2.85%","170:42","13.42‱"
"40","ARK: Survival Evolved","0.79%","13:32","2.85%","132:06","13.75‱"
"41","Call of Duty: Modern Warfare 2 - Multiplayer","0.79%","05:23","3.99%","228:39","18.78‱"
"42","Dirty Bomb","0.79%","12:33","5.78%","06:47","38.74‱"
"43","Dark Souls: Prepare to Die Edition","0.79%","07:25","1.39%","28:33","7.04‱"
"44","DARK SOULS III","0.79%","24:51","0.37%","32:05","1.68‱"
"45","Terraria","0.7%","04:54","4.65%","65:42","22.47‱"
"46","Magic Duels","0.7%","02:18","1.94%","22:58","11.07‱"
"47","Counter-Strike: Condition Zero","0.61%","00:43","16.03%","80:10","110.17‱"
"48","Dying Light","0.52%","04:02","1.24%","36:46","5.7‱"
"49","Tree of Savior (English Ver.)","0.52%","00:14","0.44%","01:02","2.52‱"
"50","theHunter","0.52%","00:31","4.79%","16:53","28.51‱"
