"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","64.45%","19:15","52.69%","553:54","206.87‱"
"2","PAYDAY 2: Ultimate Edition","21.27%","06:03","15.97%","24:34","87.18‱"
"3","Rocket League","12.73%","07:52","11.54%","126:46","45.36‱"
"4","Paladins","7.45%","04:21","18.62%","22:15","80.68‱"
"5","Grand Theft Auto V","4.45%","07:32","5.26%","116:28","20.69‱"
"6","H1Z1: King of the Kill","3.91%","05:06","6.06%","54:09","27.34‱"
"7","PLAYERUNKNOWN'S BATTLEGROUNDS","3.45%","18:55","1.89%","63:07","7.39‱"
"8","Football Manager 2017","3.36%","31:29","2.08%","309:30","8.27‱"
"9","Team Fortress 2","2.73%","06:14","33.88%","69:39","132.25‱"
"10","Brawlhalla","2.55%","03:16","15.22%","14:03","62.8‱"
"11","Euro Truck Simulator 2","2.45%","17:48","3.94%","219:47","15.52‱"
"12","Dota 2","2.36%","29:10","20.55%","180:32","80.24‱"
"13","Last Man Standing","2.09%","02:52","6.17%","04:13","32.51‱"
"14","Unturned","2.09%","09:17","21.99%","25:28","98.85‱"
"15","Garry's Mod","2%","07:26","11.32%","55:18","46.69‱"
"16","Counter-Strike","2%","04:29","18.89%","391:57","79.65‱"
"17","ARK: Survival Evolved","1.91%","19:08","3.1%","172:46","12.26‱"
"18","Warframe","1.45%","07:45","11.81%","83:39","62.65‱"
"19","DiRT 3 Complete Edition","1.36%","01:12","6.02%","07:35","32.51‱"
"20","War Thunder","1.36%","09:25","6.28%","44:05","36.65‱"
"21","Tom Clancy's Rainbow Six Siege","1.27%","13:35","1.55%","84:48","6.06‱"
"22","Fallout Shelter","1.27%","03:49","2.16%","11:03","10.05‱"
"23","Rust","1.18%","08:36","4.92%","98:23","19.95‱"
"24","Warface: Ice Breaker","1.18%","10:12","10.22%","20:13","53.93‱"
"25","SMITE","1.09%","21:45","7.34%","34:59","39.16‱"
"26","The Elder Scrolls V: Skyrim","1.09%","07:45","5.07%","82:27","20.83‱"
"27","Path of Exile","1%","10:26","5.83%","76:46","30.29‱"
"28","Outland","1%","01:06","0.68%","02:06","5.76‱"
"29","Infestation: The New Z","1%","05:18","5.41%","10:41","26.01‱"
"30","Left 4 Dead 2","1%","01:53","12.68%","29:13","55.26‱"
"31","Creativerse","0.91%","04:11","4.05%","08:41","17.58‱"
"32","Counter-Strike: Source","0.91%","02:31","13.44%","319:18","59.99‱"
"33","PRO EVOLUTION SOCCER 2017 TRIAL EDITION","0.91%","04:22","1.25%","11:14","6.35‱"
"34","Metin2","0.82%","13:12","1.44%","05:24","6.8‱"
"35","TrackMania Nations Forever","0.82%","02:23","8.29%","09:34","40.34‱"
"36","Football Manager 2016","0.73%","10:16","2.08%","553:21","8.13‱"
"37","Farming Simulator 17","0.73%","26:12","0.45%","228:46","1.92‱"
"38","Project CARS","0.64%","07:32","0.91%","27:17","4.43‱"
"39","Trove","0.64%","03:08","7.87%","20:09","35.46‱"
"40","Robocraft","0.64%","06:45","6.62%","19:32","33.99‱"
"41","The Elder Scrolls: Legends","0.64%","04:39","0.42%","07:24","2.51‱"
"42","Sid Meier's Civilization V","0.64%","14:10","2.88%","132:30","12.41‱"
"43","The Sims 3","0.64%","19:13","0.57%","76:03","2.51‱"
"44","Arma 3","0.55%","05:47","1.67%","121:03","6.65‱"
"45","Fallout 4","0.55%","43:41","1.74%","110:13","6.94‱"
"46","RaceRoom Racing Experience","0.55%","05:48","3.6%","10:27","29.7‱"
"47","Starbound","0.55%","04:47","0.64%","43:48","2.66‱"
"48","DayZ","0.55%","01:47","3.03%","94:16","11.82‱"
"49","Killing Floor 2","0.45%","03:11","0.61%","59:54","2.66‱"
"50","Mount & Blade: Warband","0.45%","11:43","1.06%","246:20","4.43‱"
