"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","62.64%","21:24","46.33%","389:02","203.32‱"
"2","Brawlhalla","9.59%","03:36","9.25%","08:02","42.61‱"
"3","Rocket League","6.1%","11:09","4.99%","54:04","22.23‱"
"4","Dota 2","3.8%","23:03","20.62%","168:57","89.85‱"
"5","Unturned","3.8%","06:02","20.51%","16:18","106.76‱"
"6","Team Fortress 2","3.67%","07:44","36.34%","84:54","158.4‱"
"7","Counter-Strike","3.05%","12:49","22.58%","448:43","106.99‱"
"8","Football Manager 2016","2.86%","37:44","1.89%","232:50","8.34‱"
"9","Garry's Mod","2.62%","03:44","12.96%","53:52","60.09‱"
"10","Pro Evolution Soccer 2016 myClub","2.43%","05:05","3.53%","07:02","19.92‱"
"11","Warframe","2.43%","14:56","9.38%","61:55","56.97‱"
"12","Grand Theft Auto V","2.37%","08:01","3.13%","98:54","13.78‱"
"13","Counter-Strike: Source","2.3%","09:25","17.8%","314:13","85.8‱"
"14","H1Z1: King of the Kill","2.18%","10:18","1.57%","15:02","16.9‱"
"15","Euro Truck Simulator 2","1.99%","06:13","4.25%","65:41","20.38‱"
"16","Path of Exile","1.74%","20:05","5.66%","41:21","31.03‱"
"17","PAYDAY 2","1.74%","06:24","7.09%","47:42","34.85‱"
"18","SMITE","1.62%","12:04","4.94%","19:14","26.86‱"
"19","Shakes and Fidget","1.62%","11:43","1.17%","15:15","6.14‱"
"20","Rust","1.56%","22:03","3.96%","73:58","17.25‱"
"21","ARK: Survival Evolved","1.43%","22:02","2.39%","91:36","10.88‱"
"22","War Thunder","1.37%","03:08","5.34%","24:40","37.05‱"
"23","Left 4 Dead 2","1.31%","01:37","15.46%","29:19","73.18‱"
"24","H1Z1","1.25%","12:00","3.88%","75:40","16.9‱"
"25","Trove","1.18%","06:46","7.15%","22:42","39.02‱"
"26","AdVenture Capitalist","1.12%","02:31","4.76%","23:12","25.59‱"
"27","Robocraft","1.12%","02:49","7.62%","12:08","41.68‱"
"28","Dirty Bomb","1.06%","06:23","5.63%","12:27","34.5‱"
"29","Heroes & Generals","1%","04:12","7.57%","06:47","42.49‱"
"30","The Elder Scrolls V: Skyrim","1%","09:36","5.45%","57:24","25.47‱"
"31","TrackMania Nations Forever","1%","01:36","6.77%","15:04","37.28‱"
"32","Insurgency","1%","02:34","3.08%","13:05","16.56‱"
"33","ARK: Survival Of The Fittest","1%","01:28","0.43%","01:28","4.86‱"
"34","Football Manager 2015","1%","19:26","2.47%","536:42","10.77‱"
"35","Governor of poker 3","0.93%","02:05","0.66%","02:39","3.36‱"
"36","Counter-Strike Nexon: Zombies","0.87%","04:53","6.62%","15:52","45.5‱"
"37","Warface","0.87%","07:22","8.98%","19:06","53.84‱"
"38","Borderlands 2","0.87%","04:58","3.8%","45:11","17.95‱"
"39","Clicker Heroes","0.87%","12:37","4.22%","73:48","23.97‱"
"40","Arma 3","0.87%","12:44","1.83%","116:34","8.11‱"
"41","S.K.I.L.L. - Special Force 2","0.81%","01:19","3.13%","08:23","19.57‱"
"42","Portal 2","0.81%","01:21","6.08%","13:25","30.1‱"
"43","Magic Duels","0.81%","06:51","1.91%","14:26","10.31‱"
"44","Terraria","0.75%","11:56","4.68%","49:22","21.07‱"
"45","Call of Duty: Black Ops III","0.75%","13:04","1.14%","58:51","5.09‱"
"46","DayZ","0.68%","06:51","3.03%","83:47","13.43‱"
"47","Farming Simulator 15","0.68%","10:24","0.66%","63:43","2.89‱"
"48","PlanetSide 2","0.62%","14:08","3.88%","44:21","24.08‱"
"49","Planetary Annihilation","0.62%","03:08","0.82%","04:11","7.18‱"
"50","Creativerse","0.62%","01:49","2.39%","05:22","11.69‱"
