"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","59.03%","22:54","38.18%","277:55","190.57‱"
"2","Counter-Strike","7.33%","10:17","30.56%","384:26","162.74‱"
"3","Team Fortress 2","6.44%","07:05","33.05%","78:04","163.44‱"
"4","Garry's Mod","5.55%","04:36","13.6%","39:39","71.51‱"
"5","Football Manager 2015","4.65%","42:38","2.92%","316:59","14.44‱"
"6","Counter-Strike: Source","4.11%","04:48","25.14%","328:19","133.15‱"
"7","H1Z1","3.94%","14:29","2.56%","53:28","12.68‱"
"8","Dota 2","3.76%","21:04","20.44%","130:29","101.1‱"
"9","Unturned","3.76%","06:42","17.52%","10:29","101.8‱"
"10","Warframe","3.58%","13:48","7.34%","97:30","47.2‱"
"11","DayZ","2.68%","12:30","4.91%","87:11","24.66‱"
"12","PAYDAY 2","2.68%","06:53","5.2%","33:41","28.88‱"
"13","Infinite Crisis™","2.5%","02:00","1%","02:00","5.99‱"
"14","Borderlands 2","2.33%","08:30","4.06%","62:10","21.13‱"
"15","Left 4 Dead 2","2.33%","06:00","17.74%","29:53","94.4‱"
"16","The Elder Scrolls V: Skyrim","1.79%","03:14","4.77%","86:47","25.01‱"
"17","Warface","1.79%","06:48","7.55%","08:46","54.25‱"
"18","Robocraft","1.79%","12:11","5.91%","20:35","37.69‱"
"19","AdVenture Capitalist","1.61%","02:44","0.64%","02:44","3.17‱"
"20","Euro Truck Simulator 2","1.61%","02:57","2.71%","42:36","15.15‱"
"21","Tom Clancy's Ghost Recon Phantoms - EU","1.43%","08:58","7.34%","27:04","50.02‱"
"22","Counter-Strike: Condition Zero","1.43%","05:35","21.72%","103:10","157.81‱"
"23","Rust","1.43%","01:55","3.77%","86:30","18.67‱"
"24","APB Reloaded","1.25%","01:31","4.42%","31:44","29.24‱"
"25","A.V.A - Alliance of Valiant Arms","1.07%","02:47","3.13%","40:29","18.67‱"
"26","ArcheAge","1.07%","13:51","0.57%","17:53","5.64‱"
"27","Insurgency","1.07%","00:52","2.71%","20:00","17.26‱"
"28","Terraria","1.07%","17:52","5.27%","60:22","27.48‱"
"29","Grand Theft Auto IV","1.07%","07:10","4.7%","18:29","27.48‱"
"30","DRAGON BALL XENOVERSE","1.07%","06:25","0.71%","44:38","3.52‱"
"31","Arma 3","1.07%","23:34","1.85%","111:16","9.16‱"
"32","No More Room in Hell","1.07%","01:14","4.63%","09:46","32.05‱"
"33","Call of Duty: Ghosts - Multiplayer","1.07%","03:27","2.28%","57:23","11.27‱"
"34","Call of Duty: Black Ops II - Multiplayer","0.89%","04:13","2.71%","203:05","13.74‱"
"35","Saints Row IV","0.89%","00:59","1.14%","18:32","9.51‱"
"36","Call of Duty: Black Ops II - Zombies","0.89%","05:32","2.07%","19:45","13.74‱"
"37","Counter-Strike Nexon: Zombies","0.89%","05:08","4.99%","07:30","42.62‱"
"38","Call of Duty: Modern Warfare 2 - Multiplayer","0.89%","00:52","6.27%","246:11","31‱"
"39","Portal 2","0.89%","01:50","5.7%","20:18","35.22‱"
"40","Football Manager 2014","0.89%","07:09","2.21%","562:34","10.92‱"
"41","War Thunder","0.89%","18:14","4.49%","24:47","33.11‱"
"42","Path of Exile","0.89%","01:21","3.92%","29:00","24.66‱"
"43","Aura Kingdom","0.72%","00:08","1.35%","05:01","8.1‱"
"44","Dead Island: Epidemic","0.72%","00:40","4.7%","02:40","47.55‱"
"45","Assassin's Creed Revelations","0.72%","00:27","0.93%","21:41","5.99‱"
"46","Test Drive Unlimited 2","0.72%","01:53","1.14%","40:16","5.64‱"
"47","Mount & Blade: Warband","0.72%","05:57","1.64%","177:31","8.45‱"
"48","The Forest","0.72%","00:29","0.85%","11:00","4.23‱"
"49","Spiral Knights","0.72%","00:26","1.57%","19:47","9.51‱"
"50","The Binding of Isaac: Rebirth","0.72%","10:09","0.57%","36:35","2.82‱"
