"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","56.21%","23:04","35.53%","278:02","188.91‱"
"2","Counter-Strike","8.17%","08:34","30.17%","386:32","170.77‱"
"3","Dota 2","6.27%","24:17","24.53%","153:24","129.41‱"
"4","Grand Theft Auto V","6.27%","26:11","2.52%","56:06","14.03‱"
"5","Team Fortress 2","6.27%","08:58","41.08%","76:01","216.73‱"
"6","Football Manager 2015","3.91%","33:26","2.2%","262:19","11.61‱"
"7","Counter-Strike: Source","3.43%","05:23","21.73%","288:18","126.26‱"
"8","Garry's Mod","3.08%","04:43","12.01%","57:24","65.79‱"
"9","AdVenture Capitalist","3.08%","08:08","1.65%","13:04","10.88‱"
"10","Warframe","2.96%","12:46","6.97%","54:30","45.23‱"
"11","The Elder Scrolls V: Skyrim","2.6%","07:52","5.14%","111:37","38.46‱"
"12","Unturned","2.49%","02:12","17.1%","09:58","106.43‱"
"13","H1Z1","2.37%","05:34","2.06%","54:51","10.88‱"
"14","Warface","2.13%","03:08","7.57%","10:59","55.15‱"
"15","Rust","2.01%","08:52","3.71%","101:31","19.59‱"
"16","Left 4 Dead 2","1.66%","05:06","17.19%","29:08","99.9‱"
"17","Euro Truck Simulator 2","1.66%","14:14","2.34%","92:56","13.06‱"
"18","Arma 3","1.54%","16:09","2.15%","94:08","139.57‱"
"19","PAYDAY 2","1.42%","03:24","5%","41:28","29.27‱"
"20","FreeStyle2: Street Basketball","1.3%","08:23","1.24%","06:23","10.16‱"
"21","DayZ","1.3%","02:24","3.62%","61:45","19.11‱"
"22","Sid Meier's Civilization V","1.18%","04:19","3.58%","70:57","19.59‱"
"23","Counter-Strike: Condition Zero","1.18%","05:48","20.22%","92:11","161.1‱"
"24","War Thunder","1.18%","09:05","4.86%","44:29","40.39‱"
"25","No More Room in Hell","1.07%","02:12","4.4%","06:11","35.07‱"
"26","Tom Clancy's Ghost Recon Phantoms - EU","1.07%","08:46","7.02%","32:45","46.93‱"
"27","Heroes & Generals","1.07%","04:31","6.65%","04:41","48.14‱"
"28","The Binding of Isaac: Rebirth","0.95%","08:24","0.69%","96:13","3.63‱"
"29","Crossfire Europe","0.95%","00:35","1.65%","04:24","16.21‱"
"30","Neverwinter","0.95%","03:35","3.03%","14:31","20.56‱"
"31","Magicka: Wizard Wars","0.95%","01:30","2.34%","01:25","20.8‱"
"32","Robocraft","0.95%","00:49","5.55%","09:18","39.91‱"
"33","Path of Exile","0.95%","04:42","3.94%","38:42","29.75‱"
"34","Don't Starve","0.83%","01:45","2.61%","16:57","14.51‱"
"35","Transformice","0.83%","01:39","1.01%","02:05","7.98‱"
"36","Survarium","0.83%","04:27","1.33%","02:24","12.09‱"
"37","Terraria","0.83%","03:04","4.95%","35:59","28.06‱"
"38","Marvel Heroes 2015","0.71%","01:22","1.56%","08:41","14.75‱"
"39","METAL SLUG DEFENSE","0.71%","04:16","0.28%","04:16","2.66‱"
"40","SpeedRunners","0.71%","01:37","1.05%","12:34","6.05‱"
"41","Call of Duty: Modern Warfare 3 - Multiplayer","0.71%","07:07","3.58%","173:11","19.11‱"
"42","Football Manager 2014","0.71%","55:17","1.97%","499:47","10.64‱"
"43","Blockstorm","0.59%","03:37","0.37%","03:28","2.42‱"
"44","Borderlands 2","0.59%","03:03","3.16%","56:05","17.17‱"
"45","PAYDAY: The Heist","0.59%","00:24","6.83%","06:37","47.17‱"
"46","The Witcher: Enhanced Edition","0.59%","01:32","1.93%","11:34","14.03‱"
"47","Insurgency","0.59%","07:27","2.06%","11:54","13.79‱"
"48","Copa Petrobras de Marcas","0.59%","00:53","0.73%","01:05","6.05‱"
"49","Call of Duty: Black Ops II - Multiplayer","0.59%","02:20","2.43%","172:13","13.06‱"
"50","Mount & Blade: Warband","0.59%","04:53","1.42%","151:20","7.98‱"
