"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","63.55%","16:32","52.24%","564:05","198.79‱"
"2","Rocket League","10.4%","08:45","11.5%","108:17","44.35‱"
"3","PLAYERUNKNOWN'S BATTLEGROUNDS","7.44%","15:52","4.26%","78:55","16.13‱"
"4","Paladins","5.73%","04:59","21.45%","19:19","90.64‱"
"5","Brawlhalla","3.53%","02:56","16.5%","18:49","67.01‱"
"6","Grand Theft Auto V","3.34%","09:24","5.84%","114:49","22.24‱"
"7","H1Z1: King of the Kill","3.24%","03:49","6.14%","55:27","25.02‱"
"8","Football Manager 2017","3.15%","25:23","2.35%","415:34","8.9‱"
"9","Team Fortress 2","2.96%","10:43","33.28%","73:32","125.95‱"
"10","Warframe","2.29%","11:27","11.79%","76:52","58.53‱"
"11","Euro Truck Simulator 2","2.29%","02:40","4.74%","66:34","18.77‱"
"12","Last Man Standing","2.1%","01:49","8.82%","05:56","41.98‱"
"13","Dota 2","2%","15:05","19.65%","155:36","74.37‱"
"14","PAYDAY 2: Ultimate Edition","2%","04:12","14.92%","28:27","74.23‱"
"15","Counter-Strike","1.62%","06:43","17.27%","408:43","71.18‱"
"16","Rust","1.62%","22:56","5.36%","166:33","20.71‱"
"17","Unturned","1.53%","02:23","22.74%","23:12","98.98‱"
"18","Black Squad","1.53%","01:59","3.27%","06:10","15.85‱"
"19","Tom Clancy's Rainbow Six Siege","1.53%","08:53","1.73%","58:20","6.67‱"
"20","Outlast","1.43%","02:55","1.84%","02:51","21.13‱"
"21","SMITE","1.34%","08:54","7.71%","37:31","39.62‱"
"22","Garry's Mod","1.34%","22:20","10.07%","66:25","39.34‱"
"23","Insurgency","1.05%","04:13","3.2%","21:09","14.04‱"
"24","Sid Meier's Civilization V","1.05%","10:21","3.71%","136:52","15.29‱"
"25","Trove","1.05%","03:06","9.48%","18:02","41.01‱"
"26","ARK: Survival Evolved","1.05%","14:16","3.34%","159:19","13.07‱"
"27","Business Tour - Online Multiplayer Board Game","0.95%","02:20","1.8%","04:27","8.48‱"
"28","Path of Exile","0.95%","12:10","6.32%","32:35","32.39‱"
"29","TrackMania Nations Forever","0.86%","01:01","9.66%","08:18","44.21‱"
"30","Gigantic","0.86%","01:22","1.54%","03:36","7.78‱"
"31","War Thunder","0.86%","05:54","6.98%","24:48","34.89‱"
"32","DiRT 3 Complete Edition","0.76%","00:37","5.88%","08:53","30.86‱"
"33","The Elder Scrolls V: Skyrim","0.76%","08:03","4.19%","78:53","16.68‱"
"34","Left 4 Dead 2","0.76%","02:04","14%","34:51","56.86‱"
"35","Terraria","0.76%","02:41","3.71%","67:15","14.74‱"
"36","Fallout 4","0.76%","08:35","1.51%","61:31","6.12‱"
"37","Counter-Strike: Source","0.76%","09:09","13.34%","299:19","56.58‱"
"38","Mad Max","0.67%","03:03","1.29%","21:06","5.28‱"
"39","Cities: Skylines","0.67%","05:40","1.58%","44:53","5.98‱"
"40","Crossout","0.67%","09:48","0.88%","15:24","4.73‱"
"41","The Elder Scrolls V: Skyrim Special Edition","0.67%","00:52","1.36%","26:13","9.87‱"
"42","Project CARS","0.67%","02:11","1.03%","27:06","4.31‱"
"43","Cuphead","0.67%","10:32","0.26%","10:32","0.97‱"
"44","Warface: Blackout","0.67%","05:44","10.07%","12:18","51.02‱"
"45","Football Manager 2016","0.67%","25:23","2.13%","522:29","8.06‱"
"46","Middle-earth: Shadow of Mordor","0.57%","04:07","2.31%","16:36","10.57‱"
"47","Mount & Blade: Warband","0.57%","05:19","1.43%","85:17","5.7‱"
"48","Napoleon: Total War","0.57%","04:33","0.77%","39:31","3.34‱"
"49","Europa Universalis IV","0.57%","13:03","0.62%","81:20","2.36‱"
"50","Wallpaper Engine","0.57%","00:07","0.92%","08:05","3.48‱"
