"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Dota 2","42.38%","22:22","55.87%","632:51","441.2‱"
"2","Counter-Strike: Global Offensive","15.52%","10:38","20.33%","137:56","163.62‱"
"3","Grand Theft Auto V","12.03%","09:24","14.71%","126:03","118.1‱"
"4","Left 4 Dead 2","5.04%","05:01","12.15%","38:53","104.86‱"
"5","Dead by Daylight","4.41%","12:25","4.01%","38:13","32.49‱"
"6","Don't Starve Together Beta","3.95%","07:27","9.31%","29:57","78.89‱"
"7","Tom Clancy's Rainbow Six Siege","2.63%","11:57","1.99%","88:04","16.02‱"
"8","Unturned","2.63%","05:59","10.4%","26:24","93.91‱"
"9","Warframe","1.91%","18:49","6.99%","73:43","85.11‱"
"10","Borderlands 2","1.88%","08:07","3.29%","36:38","28.84‱"
"11","Lost Castle","1.84%","06:18","1.93%","15:37","15.6‱"
"12","ARK: Survival Evolved","1.74%","29:07","2.67%","117:45","21.91‱"
"13","The Binding of Isaac: Rebirth","1.71%","06:31","1.75%","90:55","14.4‱"
"14","PAYDAY 2","1.5%","11:12","4.56%","47:46","39.34‱"
"15","The Witcher 3: Wild Hunt","1.39%","10:20","2.61%","41:21","23.4‱"
"16","Sid Meier's Civilization V","1.39%","07:47","3.41%","43:42","29.67‱"
"17","Don't Starve","1.32%","07:02","4.5%","31:14","40.38‱"
"18","Team Fortress 2","1.29%","05:25","11.05%","33:55","87.23‱"
"19","H1Z1: King of the Kill","1.12%","20:53","1.8%","95:13","23.86‱"
"20","Terraria","1.09%","09:27","3.28%","36:46","27.64‱"
"21","Garry's Mod","1.04%","04:30","4.21%","26:35","36.14‱"
"22","Insurgency","0.96%","03:55","2.18%","12:51","20‱"
"23","DARK SOULS III","0.96%","08:56","1.43%","62:04","11.45‱"
"24","NBA 2K17","0.96%","12:27","0.33%","12:27","3.11‱"
"25","NBA 2K16","0.93%","08:34","0.74%","119:47","6.64‱"
"26","This War of Mine","0.93%","04:04","1.79%","08:04","17.18‱"
"27","Evolve","0.92%","02:19","4.94%","07:02","57.97‱"
"28","Euro Truck Simulator 2","0.89%","06:11","1.49%","53:05","12.37‱"
"29","Fallout 4","0.87%","05:43","2.01%","65:19","16.68‱"
"30","Rust","0.87%","19:07","2.38%","65:31","19.55‱"
"31","BattleBlock Theater","0.86%","01:17","3.47%","10:59","28.92‱"
"32","Starbound","0.84%","06:11","1.06%","35:25","8.63‱"
"33","War Thunder","0.83%","07:04","3.79%","59:59","47.64‱"
"34","Tom Clancy's The Division","0.75%","13:33","2.45%","105:53","19.46‱"
"35","Rise of the Tomb Raider","0.72%","03:20","2.6%","20:59","21.25‱"
"36","Clicker Heroes","0.7%","16:48","2.53%","57:10","24.9‱"
"37","Cities: Skylines","0.66%","09:42","1.13%","27:59","9.79‱"
"38","The Elder Scrolls V: Skyrim","0.63%","08:49","2.65%","38:25","24.23‱"
"39","7 Days to Die","0.55%","21:02","1.14%","89:56","9.21‱"
"40","Arma 3","0.54%","26:03","0.88%","173:36","7.18‱"
"41","Besiege","0.52%","03:00","1.43%","10:01","12.53‱"
"42","Prison Architect","0.49%","02:39","0.97%","12:25","8.63‱"
"43","PRICE","0.49%","00:41","0.17%","00:41","2.49‱"
"44","Mount & Blade: Warband","0.49%","06:52","1.16%","54:28","10.17‱"
"45","Mad Max","0.47%","05:35","0.58%","16:10","6.52‱"
"46","Grim Dawn","0.46%","21:08","0.79%","70:38","6.35‱"
"47","HomeBehind","0.44%","02:00","1.28%","10:34","10.75‱"
"48","Tropico 4","0.44%","02:48","0.48%","05:57","6.43‱"
"49","Company of Heroes 2","0.43%","11:47","0.88%","141:50","7.72‱"
"50","The Forest","0.43%","03:40","1.01%","18:07","8.63‱"
