"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","PLAYERUNKNOWN'S BATTLEGROUNDS","62.56%","34:44","38.67%","122:53","273.42‱"
"2","Counter-Strike: Global Offensive","19.11%","08:26","26.22%","120:52","192.82‱"
"3","Dota 2","11.81%","15:32","37.18%","572:15","262.06‱"
"4","H1Z1: King of the Kill","11.15%","09:55","19.29%","133:59","138.67‱"
"5","Wallpaper Engine","8.36%","01:44","14.03%","16:32","99.73‱"
"6","Grand Theft Auto V","6.63%","08:10","14.33%","136:33","103.15‱"
"7","Tom Clancy's Rainbow Six Siege","3.55%","12:09","4.56%","116:45","32.85‱"
"8","Left 4 Dead 2","2.77%","04:01","13.67%","33:49","107.02‱"
"9","Tricolour Lovestory","1.74%","02:57","1.13%","02:59","12.55‱"
"10","Don't Starve Together","1.58%","05:43","9.55%","36:26","71.71‱"
"11","Insurgency","1.29%","03:22","3.31%","12:02","27.29‱"
"12","NBA 2K18","1.16%","22:46","0.69%","37:57","4.93‱"
"13","Warframe","1.16%","18:45","6.92%","63:23","74.25‱"
"14","Dead by Daylight","0.99%","05:24","4.67%","58:08","33.79‱"
"15","The Witcher 3: Wild Hunt","0.96%","05:48","3.85%","40:57","30.47‱"
"16","Tom Clancys The Division","0.8%","11:10","2.64%","100:18","18.86‱"
"17","DARK SOULS III","0.78%","07:54","2.19%","72:20","16.18‱"
"18","Unturned","0.72%","04:06","8.39%","23:48","67.68‱"
"19","Terraria","0.69%","08:22","3.49%","40:29","25.62‱"
"20","NBA 2K17","0.66%","07:02","1.1%","131:23","8.14‱"
"21","ARK: Survival Evolved","0.64%","18:13","2.74%","123:58","20‱"
"22","Tomb Raider","0.61%","04:52","2.49%","10:31","22.05‱"
"23","Lost Castle","0.6%","03:55","3.43%","22:10","24.51‱"
"24","Don't Starve","0.58%","04:48","4.4%","25:54","36.04‱"
"25","Sleeping Dogs: Definitive Edition","0.56%","05:14","0.76%","08:48","7.79‱"
"26","Darkest Dungeon","0.54%","07:06","0.48%","12:41","3.84‱"
"27","Tom Clancy's Ghost Recon Wildlands","0.52%","05:03","1.18%","51:07","8.56‱"
"28","The Binding of Isaac: Rebirth","0.52%","05:35","1.46%","81:06","10.59‱"
"29","Euro Truck Simulator 2","0.5%","06:17","1.95%","48:22","14.26‱"
"30","Shadowverse CCG","0.5%","13:27","0.8%","51:31","6.14‱"
"31","Outlast","0.49%","01:37","0.89%","02:50","11.46‱"
"32","H1Z1: King of the Kill Test Server","0.48%","00:43","6.4%","01:15","138.67‱"
"33","Sid Meiers Civilization VI","0.47%","06:15","1.97%","52:22","14.01‱"
"34","Cuphead","0.47%","03:48","0.27%","03:48","2.11‱"
"35","Material Girl","0.47%","01:57","1.21%","03:50","9.92‱"
"36","Stardew Valley","0.46%","06:54","2.37%","30:11","17.56‱"
"37","War Thunder","0.44%","06:53","2.89%","30:27","34.33‱"
"38","Rise of the Tomb Raider","0.43%","05:28","2.58%","19:16","20.05‱"
"39","BattleBlock Theater","0.42%","01:17","3.52%","10:21","26.18‱"
"40","PAYDAY 2: Ultimate Edition","0.42%","02:22","5.43%","29:33","54.31‱"
"41","Oxygen Not Included","0.42%","11:45","0.67%","25:57","4.97‱"
"42","Bastion","0.42%","01:56","0.78%","03:32","7.33‱"
"43","Borderlands 2","0.39%","06:24","3.15%","40:58","23.7‱"
"44","Stellaris","0.39%","13:08","0.67%","64:03","5.16‱"
"45","Assassin's Creed 2 Deluxe Edition","0.36%","06:52","0.82%","12:42","7.16‱"
"46","Assassins Creed IV Black Flag","0.36%","06:12","0.76%","18:29","8.12‱"
"47","Garry's Mod","0.33%","06:46","2.83%","31:52","21.59‱"
"48","Assassin's Creed Unity","0.33%","05:20","0.78%","22:37","7.98‱"
"49","Sid Meier's Civilization V","0.33%","06:46","2.76%","46:20","21.09‱"
"50","Warface: Blackout","0.32%","06:47","2.14%","10:18","23.28‱"
